block_id,sub_block_id,aic_time(us),aic_total_cycles,aiv_time(us),aiv_total_cycles,aiv_ub_read_bw_vector(GB/s),aiv_ub_write_bw_vector(GB/s),aiv_ub_read_bw_scalar(GB/s),aiv_ub_write_bw_scalar(GB/s),
0,vector0,NA,NA,30698.453125,50652449,69.193977,37.778320,0.024856,0.049708,
1,vector0,NA,NA,30908.857422,50999618,68.732346,37.526279,0.024690,0.049377,
2,vector0,NA,NA,30912.894531,51006275,68.727394,37.523579,0.024688,0.049373,
3,vector0,NA,NA,30603.835938,50496328,69.333344,37.854412,0.024906,0.049808,
4,vector0,NA,NA,30645.990234,50565883,69.325958,37.850380,0.024904,0.049803,
5,vector0,NA,NA,30819.503906,50852181,68.924896,37.631405,0.024759,0.049515,
6,vector0,NA,NA,30830.917969,50871014,68.896683,37.616005,0.024749,0.049495,
7,vector0,NA,NA,30701.466797,50657421,69.098000,37.725922,0.024822,0.049639,
8,vector0,NA,NA,30743.505859,50726786,69.095276,37.724430,0.024821,0.049637,
9,vector0,NA,NA,30645.591797,50565227,69.309265,37.841267,0.024898,0.049791,
10,vector0,NA,NA,30613.687500,50512585,69.297485,37.834827,0.024893,0.049783,
11,vector0,NA,NA,30678.890625,50620170,69.246208,37.806839,0.024875,0.049746,
12,vector0,NA,NA,30685.679688,50631373,69.233589,37.799950,0.024870,0.049737,
13,vector0,NA,NA,30953.177734,51072746,68.636612,37.474014,0.024656,0.049308,
14,vector0,NA,NA,30895.650391,50977826,68.678474,37.496872,0.024671,0.049338,
15,vector0,NA,NA,31080.937500,51283549,68.354477,37.319977,0.024555,0.049105,
16,vector0,NA,NA,31090.421875,51299196,68.332291,37.307861,0.024547,0.049089,
17,vector0,NA,NA,30719.535156,50687233,69.068161,37.709629,0.024811,0.049618,
18,vector0,NA,NA,30757.619141,50750071,69.074356,37.713009,0.024813,0.049622,
19,vector0,NA,NA,30768.361328,50767795,69.043495,37.696163,0.024802,0.049600,
20,vector0,NA,NA,30772.078125,50773929,69.043251,37.696030,0.024802,0.049600,
21,vector0,NA,NA,30629.302734,50538348,69.260803,37.814804,0.024880,0.049756,
22,vector0,NA,NA,30668.552734,50603110,69.257378,37.812935,0.024879,0.049754,
23,vector0,NA,NA,30737.216797,50716406,69.118858,37.737309,0.024829,0.049654,
24,vector0,NA,NA,30694.189453,50645411,69.123840,37.740025,0.024831,0.049658,
25,vector0,NA,NA,30722.796875,50692614,69.136444,37.746910,0.024835,0.049667,
26,vector0,NA,NA,30735.056641,50712843,69.119659,37.737751,0.024829,0.049655,
27,vector0,NA,NA,30778.662109,50784790,69.023087,37.685017,0.024795,0.049586,
28,vector0,NA,NA,30740.603516,50721996,69.026222,37.686733,0.024796,0.049588,
29,vector0,NA,NA,30757.359375,50749643,69.070892,37.711117,0.024812,0.049620,
30,vector0,NA,NA,30766.765625,50765164,69.052475,37.701065,0.024805,0.049607,
31,vector0,NA,NA,30672.111328,50608985,69.183067,37.772362,0.024852,0.049700,
32,vector0,NA,NA,30710.695312,50672649,69.166389,37.763260,0.024846,0.049688,
33,vector0,NA,NA,30791.621094,50806177,68.985962,37.664742,0.024781,0.049559,
34,vector0,NA,NA,30798.656250,50817784,68.978279,37.660553,0.024779,0.049553,
35,vector0,NA,NA,30650.410156,50573177,69.227989,37.796894,0.024868,0.049733,
36,vector0,NA,NA,30692.154297,50642055,69.210876,37.787548,0.024862,0.049720,
37,vector0,NA,NA,30684.474609,50629384,69.224144,37.794788,0.024867,0.049730,
38,vector0,NA,NA,30700.570312,50655939,69.201363,37.782356,0.024859,0.049714,
39,vector0,NA,NA,30673.046875,50610526,69.133621,37.745365,0.024834,0.049665,
