block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_time(us),aic_cube_ratio,aic_scalar_time(us),aic_scalar_ratio,aic_mte1_time(us),aic_mte1_ratio,aic_mte2_time(us),aic_mte2_ratio,aic_mte3_time(us),aic_mte3_ratio,aic_fixpipe_time(us),aic_fixpipe_ratio,aic_icache_miss_rate,aiv_time(us),aiv_total_cycles,aiv_vec_time(us),aiv_vec_ratio,aiv_scalar_time(us),aiv_scalar_ratio,aiv_mte2_time(us),aiv_mte2_ratio,aiv_mte3_time(us),aiv_mte3_ratio,aiv_icache_miss_rate,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30698.453125,50652449,12319.772461,0.401316,20917.730469,0.681394,3638.081787,0.118510,90.659393,0.002953,0.000000,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30908.857422,50999618,12321.457031,0.398638,20920.431641,0.676843,3824.538818,0.123736,93.593330,0.003028,0.000000,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30912.894531,51006275,12322.177734,0.398610,20921.689453,0.676795,3826.309814,0.123777,94.013336,0.003041,0.000000,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30603.835938,50496328,12306.538086,0.402124,20893.837891,0.682720,3618.042480,0.118222,100.272728,0.003276,0.000000,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30645.990234,50565883,12322.177734,0.402081,20922.992188,0.682732,3620.753418,0.118148,101.104240,0.003299,0.000000,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30819.503906,50852181,12320.252930,0.399755,20917.958984,0.678725,3704.892090,0.120213,93.209694,0.003024,0.000000,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30830.917969,50871014,12319.772461,0.399591,20919.175781,0.678513,3715.787354,0.120521,93.784851,0.003042,0.000000,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30701.466797,50657421,12303.892578,0.400759,20891.845703,0.680484,3696.541260,0.120403,90.296364,0.002941,0.000000,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30743.505859,50726786,12320.252930,0.400743,20919.480469,0.680452,3708.135742,0.120615,90.622421,0.002948,0.000000,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30645.591797,50565227,12319.049805,0.401984,20917.500000,0.682561,3618.883545,0.118088,89.403633,0.002917,0.000000,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30613.687500,50512585,12304.133789,0.401916,20891.476562,0.682423,3619.883545,0.118244,89.968483,0.002939,0.000000,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30678.890625,50620170,12321.215820,0.401619,20921.246094,0.681943,3617.604736,0.117918,89.458786,0.002916,0.000000,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30685.679688,50631373,12321.697266,0.401545,20923.507812,0.681866,3623.370850,0.118080,89.969093,0.002932,0.000000,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30953.177734,51072746,12321.936523,0.398083,20921.775391,0.675917,3830.990967,0.123767,91.730301,0.002964,0.000000,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30895.650391,50977826,12306.538086,0.398326,20895.830078,0.676336,3826.460693,0.123851,91.735756,0.002969,0.000000,
15,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31080.937500,51283549,12321.936523,0.396447,20923.267578,0.673186,4001.082520,0.128731,95.327271,0.003067,0.000000,
16,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31090.421875,51299196,12321.697266,0.396318,20922.482422,0.672956,4010.273438,0.128987,95.498787,0.003072,0.000000,
17,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30719.535156,50687233,12305.817383,0.400586,20894.529297,0.680171,3636.924316,0.118391,95.176361,0.003098,0.000000,
18,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30757.619141,50750071,12322.177734,0.400622,20924.732422,0.680311,3639.275146,0.118321,95.712730,0.003112,0.000000,
19,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30768.361328,50767795,12320.974609,0.400443,20920.267578,0.679928,3691.210938,0.119968,91.776367,0.002983,0.000000,
20,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30772.078125,50773929,12322.418945,0.400442,20926.492188,0.680048,3697.464844,0.120156,92.207275,0.002996,0.000000,
21,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30629.302734,50538348,12303.892578,0.401703,20893.566406,0.682143,3610.465576,0.117876,92.353333,0.003015,0.000000,
22,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30668.552734,50603110,12319.049805,0.401683,20916.072266,0.682004,3618.958740,0.118002,92.795761,0.003026,0.000000,
