block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_wait_ratio,aic_mte1_wait_ratio,aic_mte2_wait_ratio,aic_mte3_wait_ratio,aiv_time(us),aiv_total_cycles,aiv_vec_total_cflt_ratio,aiv_vec_bankgroup_cflt_ratio,aiv_vec_bank_cflt_ratio,aiv_vec_resc_cflt_ratio,aiv_vec_mte_cflt_ratio,aiv_vec_wait_ratio,aiv_mte1_wait_ratio,aiv_mte2_wait_ratio,aiv_mte3_wait_ratio,
0,vector0,NA,NA,NA,NA,NA,NA,30698.453125,50652449,0.036391,0.002022,0.034370,0.000000,0.000000,0.198767,0.000000,0.000000,0.019270,
1,vector0,NA,NA,NA,NA,NA,NA,30908.857422,50999618,0.036149,0.002008,0.034140,0.000000,0.000000,0.202750,0.000000,0.000000,0.019141,
2,vector0,NA,NA,NA,NA,NA,NA,30912.894531,51006275,0.036146,0.002008,0.034138,0.000000,0.000000,0.202651,0.000000,0.000000,0.019140,
3,vector0,NA,NA,NA,NA,NA,NA,30603.835938,50496328,0.036465,0.002026,0.034439,0.000000,0.000000,0.198539,0.000000,0.000000,0.019308,
4,vector0,NA,NA,NA,NA,NA,NA,30645.990234,50565883,0.036461,0.002026,0.034435,0.000000,0.000000,0.198682,0.000000,0.000000,0.019306,
5,vector0,NA,NA,NA,NA,NA,NA,30819.503906,50852181,0.036250,0.002014,0.034236,0.000000,0.000000,0.200207,0.000000,0.000000,0.019195,
6,vector0,NA,NA,NA,NA,NA,NA,30830.917969,50871014,0.036235,0.002013,0.034222,0.000000,0.000000,0.200499,0.000000,0.000000,0.019187,
7,vector0,NA,NA,NA,NA,NA,NA,30701.466797,50657421,0.036341,0.002019,0.034322,0.000000,0.000000,0.200243,0.000000,0.000000,0.019243,
8,vector0,NA,NA,NA,NA,NA,NA,30743.505859,50726786,0.036339,0.002019,0.034321,0.000000,0.000000,0.200449,0.000000,0.000000,0.019242,
9,vector0,NA,NA,NA,NA,NA,NA,30645.591797,50565227,0.036452,0.002025,0.034427,0.000000,0.000000,0.197550,0.000000,0.000000,0.019302,
