block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_ratio,aic_cube_fp16_ratio,aic_cube_int8_ratio,aic_cube_fops,aic_cube_total_instr_number,aic_cube_fp_instr_number,aic_cube_int_instr_number,aiv_time(us),aiv_total_cycles,aiv_vec_ratio,aiv_vec_fp32_ratio,aiv_vec_fp16_ratio,aiv_vec_int32_ratio,aiv_vec_int16_ratio,aiv_vec_misc_ratio,aiv_vec_fops,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1257000.125000,2074050333,0.422475,0.140167,0.000000,0.000000,0.000000,0.015793,19653849728,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1225861.250000,2022671021,0.422376,0.140134,0.000000,0.000000,0.000000,0.015790,19162483328,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1188999.375000,1961849009,0.424304,0.140774,0.000000,0.000000,0.000000,0.015862,18671116928,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1158178.500000,1910994410,0.424132,0.140717,0.000000,0.000000,0.000000,0.015855,18179750528,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1123846.000000,1854346039,0.425277,0.141097,0.000000,0.000000,0.000000,0.015898,17688460928,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1093052.375000,1803536539,0.425111,0.141042,0.000000,0.000000,0.000000,0.015892,17197094528,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1069911.000000,1765353025,0.421897,0.139975,0.000000,0.000000,0.000000,0.015772,16705728128,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1038823.812500,1714059229,0.421742,0.139924,0.000000,0.000000,0.000000,0.015766,16214361728,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,999244.187500,1648752924,0.425162,0.141058,0.000000,0.000000,0.000000,0.015894,15723072128,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,968425.750000,1597902432,0.424982,0.140999,0.000000,0.000000,0.000000,0.015887,15231705728,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,938028.687500,1547747385,0.424600,0.140872,0.000000,0.000000,0.000000,0.015873,14740339328,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,907213.875000,1496902934,0.424387,0.140801,0.000000,0.000000,0.000000,0.015865,14248972928,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,878896.437500,1450179115,0.422957,0.140327,0.000000,0.000000,0.000000,0.015811,13757683328,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,847929.625000,1399083866,0.422746,0.140257,0.000000,0.000000,0.000000,0.015804,13266316928,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,816103.812500,1346571210,0.422963,0.140329,0.000000,0.000000,0.000000,0.015812,12774950528,
15,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,785047.375000,1295328082,0.422783,0.140269,0.000000,0.000000,0.000000,0.015805,12283584128,
16,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,753014.625000,1242474071,0.423139,0.140387,0.000000,0.000000,0.000000,0.015818,11792294528,
17,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,721959.187500,1191232598,0.422951,0.140325,0.000000,0.000000,0.000000,0.015811,11300928128,
18,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,690094.187500,1138655346,0.423242,0.140421,0.000000,0.000000,0.000000,0.015822,10809561728,
19,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,658968.437500,1087297890,0.423085,0.140369,0.000000,0.000000,0.000000,0.015816,10318195328,
20,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,623664.125000,1029045842,0.425750,0.141254,0.000000,0.000000,0.000000,0.015916,9826905728,
