block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_write_cache_hit,aic_write_cache_miss_allocate,aic_r0_read_cache_hit,aic_r0_read_cache_miss_allocate,aic_r1_read_cache_hit,aic_r1_read_cache_miss_allocate,aic_write_hit_rate(%),aic_read_hit_rate(%),aic_total_hit_rate(%),aiv_time(us),aiv_total_cycles,aiv_write_cache_hit,aiv_write_cache_miss_allocate,aiv_r0_read_cache_hit,aiv_r0_read_cache_miss_allocate,aiv_r1_read_cache_hit,aiv_r1_read_cache_miss_allocate,aiv_write_hit_rate(%),aiv_read_hit_rate(%),aiv_total_hit_rate(%),
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1257000.125000,2074050333,255128,800,96822754,7600,96820844,7580,99.687408,99.992157,99.991760,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1225861.250000,2022671021,249530,0,94403287,5511,94405177,5552,100.000000,99.994141,99.994148,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1188999.375000,1961849009,240941,2191,91987131,1959,91989123,1969,99.098846,99.997871,99.996674,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1158178.500000,1910994410,235969,765,89570590,830,89568602,816,99.676849,99.999084,99.998657,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1123846.000000,1854346039,227609,2728,87152559,566,87148553,570,98.815651,99.999344,99.997780,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1093052.375000,1803536539,223939,0,84724154,5249,84728140,5266,100.000000,99.993790,99.993805,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1069911.000000,1765353025,217541,0,82300515,12694,82297379,12782,100.000000,99.984520,99.984543,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1038823.812500,1714059229,211143,0,79889843,551,79892895,546,100.000000,99.999313,99.999313,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,999244.187500,1648752924,199208,5538,77469932,447,77474213,466,97.295189,99.999413,99.995842,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,968425.750000,1597902432,198348,0,75052847,2018,75048561,2003,100.000000,99.997330,99.997330,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,938028.687500,1547747385,191950,0,72629553,1371,72633503,1373,100.000000,99.998116,99.998116,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,907213.875000,1496902934,185552,0,70213601,1461,70209644,1465,100.000000,99.997917,99.997917,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,878896.437500,1450179115,179155,0,67795661,996,67789535,1013,100.000000,99.998520,99.998512,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,847929.625000,1399083866,172757,0,65368774,1865,65374862,1886,100.000000,99.997131,99.997131,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,816103.812500,1346571210,166359,0,62954732,2550,62947723,2565,100.000000,99.995941,99.995949,
