block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_l1_read_bw(GB/s),aic_l1_write_bw(GB/s),aic_main_mem_read_bw(GB/s),aic_main_mem_write_bw(GB/s),aic_mte1_instructions,aic_mte1_ratio,aic_mte2_instructions,aic_mte2_ratio,aic_mte3_instructions,aic_mte3_ratio,aiv_time(us),aiv_total_cycles,aiv_ub_to_gm_bw(GB/s),aiv_gm_to_ub_bw(GB/s),aiv_main_mem_read_bw(GB/s),aiv_main_mem_write_bw(GB/s),aiv_mte2_instructions,aiv_mte2_ratio,aiv_mte3_instructions,aiv_mte3_ratio,read_main_memory_datas(KB),write_main_memory_datas(KB),GM_to_L1_datas(KB),GM_to_L1_bw_usage_rate(%),L1_to_GM_datas(KB)(estimate),L1_to_GM_bw_usage_rate(%)(estimate),L0C_to_L1_datas(KB),L0C_to_L1_bw_usage_rate(%),L0C_to_GM_datas(KB),L0C_to_GM_bw_usage_rate(%),GM_to_UB_datas(KB),GM_to_UB_bw_usage_rate(%),UB_to_GM_datas(KB),UB_to_GM_bw_usage_rate(%),
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1257000.125000,2074050333,0.024269,18.365887,18.365891,0.024271,2049301,0.126718,255910,0.024426,24207348.000000,31991.000000,NA,NA,NA,NA,NA,NA,NA,NA,24207344.000000,9.418404,31988.625000,0.013789,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1225861.250000,2022671021,0.024264,18.361816,18.361818,0.024266,1998092,0.127106,249512,0.024676,23602440.000000,31191.250000,NA,NA,NA,NA,NA,NA,NA,NA,23602438.000000,9.416316,31188.875000,0.013786,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1188999.375000,1961849009,0.024375,18.445883,18.445885,0.024376,1946882,0.122061,243114,0.024844,22997522.000000,30391.500000,NA,NA,NA,NA,NA,NA,NA,NA,22997520.000000,9.459427,30389.125000,0.013849,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1158178.500000,1910994410,0.024365,18.438652,18.438654,0.024367,1895672,0.122430,236716,0.025113,22392604.000000,29591.750000,NA,NA,NA,NA,NA,NA,NA,NA,22392602.000000,9.455719,29589.375000,0.013844,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1123846.000000,1854346039,0.024430,18.488693,18.488695,0.024432,1844470,0.122059,230319,0.025709,21787780.000000,28792.125000,NA,NA,NA,NA,NA,NA,NA,NA,21787778.000000,9.481381,28789.750000,0.013881,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1093052.375000,1803536539,0.024421,18.481768,18.481770,0.024423,1793259,0.122445,223921,0.025984,21182852.000000,27992.375000,NA,NA,NA,NA,NA,NA,NA,NA,21182848.000000,9.477830,27990.000000,0.013876,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1069911.000000,1765353025,0.024236,18.342302,18.342304,0.024238,1742048,0.126920,217523,0.026889,20577922.000000,27192.625000,NA,NA,NA,NA,NA,NA,NA,NA,20577918.000000,9.406309,27190.250000,0.013771,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1038823.812500,1714059229,0.024227,18.335846,18.335850,0.024230,1690836,0.127265,211125,0.027123,19972980.000000,26392.875000,NA,NA,NA,NA,NA,NA,NA,NA,19972976.000000,9.402998,26390.500000,0.013766,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,999244.187500,1648752924,0.024424,18.484859,18.484861,0.024426,1639632,0.121613,204728,0.025718,19368132.000000,25593.250000,NA,NA,NA,NA,NA,NA,NA,NA,19368130.000000,9.479415,25590.875000,0.013877,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,968425.750000,1597902432,0.024413,18.477367,18.477369,0.024416,1588419,0.121994,198330,0.025979,18763178.000000,24793.500000,NA,NA,NA,NA,NA,NA,NA,NA,18763176.000000,9.475573,24791.125000,0.013871,
