block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_l0a_read_bw(GB/s),aic_l0a_write_bw(GB/s),aic_l0b_read_bw(GB/s),aic_l0b_write_bw(GB/s),aic_l0c_read_bw_cube(GB/s),aic_l0c_write_bw_cube(GB/s),aiv_time(us),aiv_total_cycles,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1257000.125000,2074050333,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1225861.250000,2022671021,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1188999.375000,1961849009,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1158178.500000,1910994410,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1123846.000000,1854346039,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1093052.375000,1803536539,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1069911.000000,1765353025,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1038823.812500,1714059229,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,999244.187500,1648752924,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,968425.750000,1597902432,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,938028.687500,1547747385,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,907213.875000,1496902934,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,878896.437500,1450179115,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,847929.625000,1399083866,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,816103.812500,1346571210,
15,vector0,NA,NA,NA,NA,NA,NA,NA,NA,785047.375000,1295328082,
16,vector0,NA,NA,NA,NA,NA,NA,NA,NA,753014.625000,1242474071,
17,vector0,NA,NA,NA,NA,NA,NA,NA,NA,721959.187500,1191232598,
18,vector0,NA,NA,NA,NA,NA,NA,NA,NA,690094.187500,1138655346,
19,vector0,NA,NA,NA,NA,NA,NA,NA,NA,658968.437500,1087297890,
20,vector0,NA,NA,NA,NA,NA,NA,NA,NA,623664.125000,1029045842,
21,vector0,NA,NA,NA,NA,NA,NA,NA,NA,592769.875000,978070367,
22,vector0,NA,NA,NA,NA,NA,NA,NA,NA,561664.875000,926747058,
23,vector0,NA,NA,NA,NA,NA,NA,NA,NA,530822.562500,875857214,
24,vector0,NA,NA,NA,NA,NA,NA,NA,NA,501317.468750,827173793,
25,vector0,NA,NA,NA,NA,NA,NA,NA,NA,470270.593750,775946482,
26,vector0,NA,NA,NA,NA,NA,NA,NA,NA,438879.343750,724150881,
27,vector0,NA,NA,NA,NA,NA,NA,NA,NA,407869.687500,672984975,
28,vector0,NA,NA,NA,NA,NA,NA,NA,NA,375522.281250,619611801,
29,vector0,NA,NA,NA,NA,NA,NA,NA,NA,344445.750000,568335472,
30,vector0,NA,NA,NA,NA,NA,NA,NA,NA,311401.875000,513813088,
31,vector0,NA,NA,NA,NA,NA,NA,NA,NA,280504.468750,462832352,
32,vector0,NA,NA,NA,NA,NA,NA,NA,NA,249407.812500,411522882,
33,vector0,NA,NA,NA,NA,NA,NA,NA,NA,218491.187500,360510452,
34,vector0,NA,NA,NA,NA,NA,NA,NA,NA,187718.046875,309734774,
35,vector0,NA,NA,NA,NA,NA,NA,NA,NA,156650.000000,258472501,
36,vector0,NA,NA,NA,NA,NA,NA,NA,NA,124920.007812,206118017,
37,vector0,NA,NA,NA,NA,NA,NA,NA,NA,93891.539062,154921034,
38,vector0,NA,NA,NA,NA,NA,NA,NA,NA,62328.417969,102841892,
39,vector0,NA,NA,NA,NA,NA,NA,NA,NA,31268.449219,51592940,
