block_id,sub_block_id,aic_time(us),aic_total_cycles,aiv_time(us),aiv_total_cycles,aiv_ub_read_bw_vector(GB/s),aiv_ub_write_bw_vector(GB/s),aiv_ub_read_bw_scalar(GB/s),aiv_ub_write_bw_scalar(GB/s),
0,vector0,NA,NA,1257000.125000,2074050333,74.944275,36.889671,0.024270,0.048539,
1,vector0,NA,NA,1225861.250000,2022671021,74.926712,36.881023,0.024264,0.048528,
2,vector0,NA,NA,1188999.375000,1961849009,75.268768,37.049397,0.024375,0.048749,
3,vector0,NA,NA,1158178.500000,1910994410,75.238235,37.034363,0.024365,0.048729,
4,vector0,NA,NA,1123846.000000,1854346039,75.441345,37.134342,0.024431,0.048861,
5,vector0,NA,NA,1093052.375000,1803536539,75.411964,37.119884,0.024421,0.048842,
6,vector0,NA,NA,1069911.000000,1765353025,74.841751,36.839203,0.024236,0.048473,
7,vector0,NA,NA,1038823.812500,1714059229,74.814217,36.825653,0.024227,0.048455,
8,vector0,NA,NA,999244.187500,1648752924,75.420937,37.124298,0.024424,0.048848,
9,vector0,NA,NA,968425.750000,1597902432,75.389069,37.108604,0.024414,0.048827,
10,vector0,NA,NA,938028.687500,1547747385,75.321251,37.075226,0.024392,0.048783,
11,vector0,NA,NA,907213.875000,1496902934,75.283539,37.056664,0.024379,0.048759,
12,vector0,NA,NA,878896.437500,1450179115,75.029793,36.931767,0.024297,0.048594,
13,vector0,NA,NA,847929.625000,1399083866,74.992310,36.913315,0.024285,0.048570,
14,vector0,NA,NA,816103.812500,1346571210,75.030869,36.932293,0.024298,0.048595,
15,vector0,NA,NA,785047.375000,1295328082,74.998985,36.916603,0.024287,0.048574,
16,vector0,NA,NA,753014.625000,1242474071,75.062164,36.947693,0.024308,0.048615,
17,vector0,NA,NA,721959.187500,1191232598,75.028740,36.931244,0.024297,0.048594,
18,vector0,NA,NA,690094.187500,1138655346,75.080276,36.956612,0.024314,0.048627,
19,vector0,NA,NA,658968.437500,1087297890,75.052528,36.942951,0.024305,0.048609,
20,vector0,NA,NA,623664.125000,1029045842,75.525253,37.175644,0.024458,0.048915,
21,vector0,NA,NA,592769.875000,978070367,75.488266,37.157436,0.024446,0.048891,
22,vector0,NA,NA,561664.875000,926747058,75.475517,37.151165,0.024442,0.048883,
23,vector0,NA,NA,530822.562500,875857214,75.423935,37.125778,0.024425,0.048850,
24,vector0,NA,NA,501317.468750,827173793,75.165703,36.998653,0.024341,0.048682,
25,vector0,NA,NA,470270.593750,775946482,75.119850,36.976089,0.024327,0.048653,
26,vector0,NA,NA,438879.343750,724150881,75.126427,36.979324,0.024329,0.048657,
27,vector0,NA,NA,407869.687500,672984975,75.063713,36.948460,0.024308,0.048616,
28,vector0,NA,NA,375522.281250,619611801,75.258812,37.044491,0.024372,0.048743,
29,vector0,NA,NA,344445.750000,568335472,75.211082,37.021004,0.024356,0.048712,
30,vector0,NA,NA,311401.875000,513813088,75.628700,37.226566,0.024491,0.048982,
31,vector0,NA,NA,280504.468750,462832352,75.562782,37.194118,0.024470,0.048940,
32,vector0,NA,NA,249407.812500,411522882,75.542336,37.184044,0.024463,0.048926,
33,vector0,NA,NA,218491.187500,360510452,75.452133,37.139648,0.024434,0.048868,
34,vector0,NA,NA,187718.046875,309734774,75.274620,37.052273,0.024377,0.048753,
35,vector0,NA,NA,156650.000000,258472501,75.168747,37.000156,0.024343,0.048684,
36,vector0,NA,NA,124920.007812,206118017,75.410904,37.119358,0.024421,0.048841,
37,vector0,NA,NA,93891.539062,154921034,75.247574,37.038960,0.024368,0.048735,
38,vector0,NA,NA,62328.417969,102841892,75.565681,37.195541,0.024472,0.048942,
39,vector0,NA,NA,31268.449219,51592940,75.304939,37.067200,0.024388,0.048773,
