block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_time(us),aic_cube_ratio,aic_scalar_time(us),aic_scalar_ratio,aic_mte1_time(us),aic_mte1_ratio,aic_mte2_time(us),aic_mte2_ratio,aic_mte3_time(us),aic_mte3_ratio,aic_fixpipe_time(us),aic_fixpipe_ratio,aic_icache_miss_rate,aiv_time(us),aiv_total_cycles,aiv_vec_time(us),aiv_vec_ratio,aiv_scalar_time(us),aiv_scalar_ratio,aiv_mte2_time(us),aiv_mte2_ratio,aiv_mte3_time(us),aiv_mte3_ratio,aiv_icache_miss_rate,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1257000.125000,2074050333,531051.000000,0.422475,820352.062500,0.652627,159284.421875,0.126718,30703.072266,0.024426,0.000000,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1225861.250000,2022671021,517774.187500,0.422376,799842.437500,0.652474,155813.843750,0.127106,30249.958984,0.024676,0.000000,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1188999.375000,1961849009,504497.375000,0.424304,779329.687500,0.655450,145130.875000,0.122061,29539.451172,0.024844,0.000000,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1158178.500000,1910994410,491220.562500,0.424132,758822.687500,0.655186,141795.234375,0.122430,29085.892578,0.025113,0.000000,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1123846.000000,1854346039,477945.781250,0.425277,738310.812500,0.656950,137175.328125,0.122059,28893.250000,0.025709,0.000000,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1093052.375000,1803536539,464668.968750,0.425111,717798.562500,0.656692,133838.281250,0.122445,28401.347656,0.025984,0.000000,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1069911.000000,1765353025,451392.156250,0.421897,697288.437500,0.651726,135792.578125,0.126920,28768.449219,0.026889,0.000000,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1038823.812500,1714059229,438115.343750,0.421742,676777.375000,0.651484,132205.609375,0.127265,28176.056641,0.027123,0.000000,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,999244.187500,1648752924,424840.625000,0.425162,656266.875000,0.656763,121521.257812,0.121613,25698.421875,0.025718,0.000000,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,968425.750000,1597902432,411563.781250,0.424982,635756.562500,0.656485,118142.031250,0.121994,25158.574219,0.025979,0.000000,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,938028.687500,1547747385,398286.968750,0.424600,615246.937500,0.655894,113171.218750,0.120648,23224.847656,0.024759,0.000000,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,907213.875000,1496902934,385010.156250,0.424387,594736.625000,0.655564,109795.203125,0.121025,22774.734375,0.025104,0.000000,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,878896.437500,1450179115,371735.375000,0.422957,574227.562500,0.653351,111017.921875,0.126315,21545.958984,0.024515,0.000000,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,847929.625000,1399083866,358458.562500,0.422746,553714.125000,0.653019,107374.945312,0.126632,20993.544922,0.024759,0.000000,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,816103.812500,1346571210,345181.750000,0.422963,533203.187500,0.653352,102322.203125,0.125379,19989.869141,0.024494,0.000000,
15,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,785047.375000,1295328082,331904.937500,0.422783,512689.812500,0.653069,98703.320312,0.125729,19414.376953,0.024730,0.000000,
16,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,753014.625000,1242474071,318630.218750,0.423139,492183.343750,0.653617,94126.984375,0.125000,18680.298828,0.024807,0.000000,
17,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,721959.187500,1191232598,305353.375000,0.422951,471672.968750,0.653324,90583.445312,0.125469,18092.128906,0.025060,0.000000,
18,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,690094.187500,1138655346,292076.562500,0.423242,451160.593750,0.653767,86761.921875,0.125725,17680.757812,0.025621,0.000000,
19,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,658968.437500,1087297890,278799.750000,0.423085,430651.312500,0.653523,83197.382812,0.126254,17031.302734,0.025845,0.000000,
20,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,623664.125000,1029045842,265525.000000,0.425750,410139.625000,0.657629,75850.226562,0.121620,16319.693359,0.026167,0.000000,
21,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,592769.875000,978070367,252248.187500,0.425541,389629.562500,0.657303,72459.093750,0.122238,15652.209961,0.026405,0.000000,
22,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,561664.875000,926747058,238971.359375,0.425470,369121.468750,0.657192,67323.679688,0.119865,14232.043945,0.025339,0.000000,
23,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,530822.562500,875857214,225694.546875,0.425179,348608.468750,0.656733,63888.566406,0.120358,13623.564453,0.025665,0.000000,
24,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,501317.468750,827173793,212419.796875,0.423723,328102.000000,0.654480,61994.132812,0.123662,12712.348633,0.025358,0.000000,
