block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_wait_ratio,aic_mte1_wait_ratio,aic_mte2_wait_ratio,aic_mte3_wait_ratio,aiv_time(us),aiv_total_cycles,aiv_vec_total_cflt_ratio,aiv_vec_bankgroup_cflt_ratio,aiv_vec_bank_cflt_ratio,aiv_vec_resc_cflt_ratio,aiv_vec_mte_cflt_ratio,aiv_vec_wait_ratio,aiv_mte1_wait_ratio,aiv_mte2_wait_ratio,aiv_mte3_wait_ratio,
0,vector0,NA,NA,NA,NA,NA,NA,1257000.125000,2074050333,0.059225,0.052316,0.006910,0.000000,0.000000,0.204931,0.000000,0.000000,0.019409,
1,vector0,NA,NA,NA,NA,NA,NA,1225861.250000,2022671021,0.059212,0.052304,0.006908,0.000000,0.000000,0.205226,0.000000,0.000000,0.019405,
2,vector0,NA,NA,NA,NA,NA,NA,1188999.375000,1961849009,0.059482,0.052542,0.006940,0.000000,0.000000,0.199772,0.000000,0.000000,0.019493,
3,vector0,NA,NA,NA,NA,NA,NA,1158178.500000,1910994410,0.059458,0.052521,0.006937,0.000000,0.000000,0.200090,0.000000,0.000000,0.019486,
4,vector0,NA,NA,NA,NA,NA,NA,1123846.000000,1854346039,0.059618,0.052663,0.006955,0.000000,0.000000,0.199493,0.000000,0.000000,0.019538,
5,vector0,NA,NA,NA,NA,NA,NA,1093052.375000,1803536539,0.059595,0.052642,0.006953,0.000000,0.000000,0.199783,0.000000,0.000000,0.019530,
6,vector0,NA,NA,NA,NA,NA,NA,1069911.000000,1765353025,0.059144,0.052244,0.006900,0.000000,0.000000,0.205494,0.000000,0.000000,0.019383,
7,vector0,NA,NA,NA,NA,NA,NA,1038823.812500,1714059229,0.059123,0.052225,0.006898,0.000000,0.000000,0.205871,0.000000,0.000000,0.019376,
8,vector0,NA,NA,NA,NA,NA,NA,999244.187500,1648752924,0.059602,0.052649,0.006954,0.000000,0.000000,0.199268,0.000000,0.000000,0.019533,
9,vector0,NA,NA,NA,NA,NA,NA,968425.750000,1597902432,0.059577,0.052626,0.006951,0.000000,0.000000,0.199593,0.000000,0.000000,0.019524,
10,vector0,NA,NA,NA,NA,NA,NA,938028.687500,1547747385,0.059523,0.052579,0.006944,0.000000,0.000000,0.199992,0.000000,0.000000,0.019507,
11,vector0,NA,NA,NA,NA,NA,NA,907213.875000,1496902934,0.059494,0.052553,0.006941,0.000000,0.000000,0.200308,0.000000,0.000000,0.019497,
12,vector0,NA,NA,NA,NA,NA,NA,878896.437500,1450179115,0.059293,0.052376,0.006918,0.000000,0.000000,0.203998,0.000000,0.000000,0.019431,
13,vector0,NA,NA,NA,NA,NA,NA,847929.625000,1399083866,0.059263,0.052349,0.006914,0.000000,0.000000,0.204395,0.000000,0.000000,0.019422,
14,vector0,NA,NA,NA,NA,NA,NA,816103.812500,1346571210,0.059294,0.052376,0.006918,0.000000,0.000000,0.203766,0.000000,0.000000,0.019432,
15,vector0,NA,NA,NA,NA,NA,NA,785047.375000,1295328082,0.059269,0.052354,0.006915,0.000000,0.000000,0.204160,0.000000,0.000000,0.019423,
16,vector0,NA,NA,NA,NA,NA,NA,753014.625000,1242474071,0.059319,0.052398,0.006921,0.000000,0.000000,0.203775,0.000000,0.000000,0.019440,
17,vector0,NA,NA,NA,NA,NA,NA,721959.187500,1191232598,0.059292,0.052375,0.006917,0.000000,0.000000,0.204224,0.000000,0.000000,0.019431,
18,vector0,NA,NA,NA,NA,NA,NA,690094.187500,1138655346,0.059333,0.052411,0.006922,0.000000,0.000000,0.203592,0.000000,0.000000,0.019444,
19,vector0,NA,NA,NA,NA,NA,NA,658968.437500,1087297890,0.059311,0.052391,0.006920,0.000000,0.000000,0.204008,0.000000,0.000000,0.019437,
20,vector0,NA,NA,NA,NA,NA,NA,623664.125000,1029045842,0.059685,0.052721,0.006963,0.000000,0.000000,0.200391,0.000000,0.000000,0.019559,
21,vector0,NA,NA,NA,NA,NA,NA,592769.875000,978070367,0.059655,0.052696,0.006960,0.000000,0.000000,0.200993,0.000000,0.000000,0.019550,
22,vector0,NA,NA,NA,NA,NA,NA,561664.875000,926747058,0.059645,0.052687,0.006959,0.000000,0.000000,0.198395,0.000000,0.000000,0.019547,
23,vector0,NA,NA,NA,NA,NA,NA,530822.562500,875857214,0.059605,0.052651,0.006954,0.000000,0.000000,0.198941,0.000000,0.000000,0.019533,
24,vector0,NA,NA,NA,NA,NA,NA,501317.468750,827173793,0.059400,0.052470,0.006930,0.000000,0.000000,0.201920,0.000000,0.000000,0.019466,
25,vector0,NA,NA,NA,NA,NA,NA,470270.593750,775946482,0.059364,0.052438,0.006926,0.000000,0.000000,0.202321,0.000000,0.000000,0.019454,
26,vector0,NA,NA,NA,NA,NA,NA,438879.343750,724150881,0.059369,0.052443,0.006926,0.000000,0.000000,0.201624,0.000000,0.000000,0.019456,
27,vector0,NA,NA,NA,NA,NA,NA,407869.687500,672984975,0.059320,0.052399,0.006921,0.000000,0.000000,0.202108,0.000000,0.000000,0.019439,
28,vector0,NA,NA,NA,NA,NA,NA,375522.281250,619611801,0.059474,0.052535,0.006939,0.000000,0.000000,0.201125,0.000000,0.000000,0.019490,
29,vector0,NA,NA,NA,NA,NA,NA,344445.750000,568335472,0.059436,0.052502,0.006934,0.000000,0.000000,0.201695,0.000000,0.000000,0.019477,
