block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_ratio,aic_cube_fp16_ratio,aic_cube_int8_ratio,aic_cube_fops,aic_cube_total_instr_number,aic_cube_fp_instr_number,aic_cube_int_instr_number,aiv_time(us),aiv_total_cycles,aiv_vec_ratio,aiv_vec_fp32_ratio,aiv_vec_fp16_ratio,aiv_vec_int32_ratio,aiv_vec_int16_ratio,aiv_vec_misc_ratio,aiv_vec_fops,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1523885.625000,2514411369,0.427028,0.154736,0.000000,0.000000,0.000000,0.010588,25752416960,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1497044.500000,2470123580,0.427002,0.154731,0.000000,0.000000,0.000000,0.010587,25297909760,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1458597.125000,2406685301,0.427082,0.154751,0.000000,0.000000,0.000000,0.010589,24651522432,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1420532.000000,2343877911,0.427027,0.154734,0.000000,0.000000,0.000000,0.010588,24005537536,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1382282.500000,2280766245,0.427014,0.154733,0.000000,0.000000,0.000000,0.010588,23358948992,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1344101.000000,2217766566,0.426992,0.154728,0.000000,0.000000,0.000000,0.010587,22712960960,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1305903.500000,2154740609,0.426963,0.154721,0.000000,0.000000,0.000000,0.010587,22066570496,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1267698.250000,2091702203,0.426941,0.154715,0.000000,0.000000,0.000000,0.010586,21420176896,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1229312.875000,2028366196,0.427004,0.154732,0.000000,0.000000,0.000000,0.010588,20773783296,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1191105.250000,1965323603,0.426983,0.154726,0.000000,0.000000,0.000000,0.010587,20127386560,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1152779.875000,1902086835,0.427034,0.154736,0.000000,0.000000,0.000000,0.010588,19480989824,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1114568.000000,1839037234,0.427007,0.154729,0.000000,0.000000,0.000000,0.010587,18834391872,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1076386.125000,1776037080,0.426964,0.154717,0.000000,0.000000,0.000000,0.010587,18187790784,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1038088.687500,1712846396,0.426962,0.154720,0.000000,0.000000,0.000000,0.010587,17540985344,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,999803.062500,1649674974,0.426943,0.154721,0.000000,0.000000,0.000000,0.010587,16894179904,
15,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,961624.250000,1586680064,0.426893,0.154705,0.000000,0.000000,0.000000,0.010586,16247374464,
16,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,923241.250000,1523348040,0.426955,0.154724,0.000000,0.000000,0.000000,0.010587,15600763968,
17,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,884981.187500,1460219043,0.426941,0.154721,0.000000,0.000000,0.000000,0.010587,14953952256,
18,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,846614.625000,1396914209,0.427006,0.154737,0.000000,0.000000,0.000000,0.010588,14307140544,
19,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,808308.000000,1333708169,0.427010,0.154740,0.000000,0.000000,0.000000,0.010588,13660121344,
20,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,770064.812500,1270606976,0.426990,0.154729,0.000000,0.000000,0.000000,0.010588,13012900928,
21,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,731811.687500,1207489257,0.426955,0.154719,0.000000,0.000000,0.000000,0.010587,12365677376,
22,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,693381.750000,1144079897,0.427032,0.154745,0.000000,0.000000,0.000000,0.010589,11718246336,
23,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,655138.437500,1080978377,0.426988,0.154732,0.000000,0.000000,0.000000,0.010588,11071016512,
24,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,616861.187500,1017820962,0.426939,0.154720,0.000000,0.000000,0.000000,0.010587,10423381120,
25,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,578565.125000,954632475,0.426914,0.154715,0.000000,0.000000,0.000000,0.010587,9775940672,
26,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,540315.437500,891520431,0.426839,0.154689,0.000000,0.000000,0.000000,0.010585,9128094656,
27,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,501934.593750,828192074,0.426850,0.154695,0.000000,0.000000,0.000000,0.010586,8480044288,
28,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,463435.781250,764669074,0.427001,0.154742,0.000000,0.000000,0.000000,0.010589,7831984512,
29,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,425132.687500,701468903,0.426948,0.154726,0.000000,0.000000,0.000000,0.010588,7183921600,
30,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,386703.125000,638060134,0.427005,0.154743,0.000000,0.000000,0.000000,0.010589,6535248768,
31,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,348320.625000,574728993,0.426976,0.154737,0.000000,0.000000,0.000000,0.010589,5886365312,
32,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,309944.656250,511408720,0.426992,0.154738,0.000000,0.000000,0.000000,0.010589,5237874880,
33,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,271505.812500,447984569,0.426987,0.154741,0.000000,0.000000,0.000000,0.010589,4588365824,
34,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,233078.296875,384579190,0.426924,0.154721,0.000000,0.000000,0.000000,0.010588,3938444928,
35,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,194598.359375,321087294,0.426920,0.154724,0.000000,0.000000,0.000000,0.010588,3288300864,
36,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,156091.609375,257551146,0.426784,0.154683,0.000000,0.000000,0.000000,0.010586,2636930688,
37,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,117492.539062,193862686,0.426822,0.154704,0.000000,0.000000,0.000000,0.010587,1985123584,
38,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,78819.023438,130051393,0.426710,0.154675,0.000000,0.000000,0.000000,0.010586,1331455360,
39,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,40207.945312,66343108,0.423806,0.153640,0.000000,0.000000,0.000000,0.010516,674674816,
