block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_write_cache_hit,aic_write_cache_miss_allocate,aic_r0_read_cache_hit,aic_r0_read_cache_miss_allocate,aic_r1_read_cache_hit,aic_r1_read_cache_miss_allocate,aic_write_hit_rate(%),aic_read_hit_rate(%),aic_total_hit_rate(%),aiv_time(us),aiv_total_cycles,aiv_write_cache_hit,aiv_write_cache_miss_allocate,aiv_r0_read_cache_hit,aiv_r0_read_cache_miss_allocate,aiv_r1_read_cache_hit,aiv_r1_read_cache_miss_allocate,aiv_write_hit_rate(%),aiv_read_hit_rate(%),aiv_total_hit_rate(%),
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1523885.625000,2514411369,19,0,48151248,3445,48151342,3426,100.000000,99.992867,99.992867,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1497044.500000,2470123580,19,0,47305217,2728,47305125,2746,100.000000,99.994209,99.994217,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1458597.125000,2406685301,19,0,46097792,1150,46099074,1154,100.000000,99.997498,99.997498,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1420532.000000,2343877911,19,0,44892069,588,44890781,590,100.000000,99.998680,99.998680,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1382282.500000,2280766245,19,0,43682976,532,43682591,531,100.000000,99.998787,99.998787,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1344101.000000,2217766566,19,0,42472925,2602,42473314,2600,100.000000,99.993874,99.993881,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1305903.500000,2154740609,19,0,41259643,6254,41262565,6286,100.000000,99.984802,99.984802,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1267698.250000,2091702203,19,0,40060307,174,40057347,180,100.000000,99.999557,99.999565,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1229312.875000,2028366196,19,0,38850336,405,38850117,410,100.000000,99.998955,99.998947,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1191105.250000,1965323603,19,0,37641109,1024,37641334,1014,100.000000,99.997292,99.997299,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1152779.875000,1902086835,19,0,36432589,707,36433703,695,100.000000,99.998077,99.998077,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1114568.000000,1839037234,19,0,35224915,714,35223792,734,100.000000,99.997948,99.997940,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1076386.125000,1776037080,19,0,34016100,505,34015471,493,100.000000,99.998535,99.998528,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1038088.687500,1712846396,19,0,32806032,740,32806657,755,100.000000,99.997719,99.997719,
