block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_l1_read_bw(GB/s),aic_l1_write_bw(GB/s),aic_main_mem_read_bw(GB/s),aic_main_mem_write_bw(GB/s),aic_mte1_instructions,aic_mte1_ratio,aic_mte2_instructions,aic_mte2_ratio,aic_mte3_instructions,aic_mte3_ratio,aiv_time(us),aiv_total_cycles,aiv_ub_to_gm_bw(GB/s),aiv_gm_to_ub_bw(GB/s),aiv_main_mem_read_bw(GB/s),aiv_main_mem_write_bw(GB/s),aiv_mte2_instructions,aiv_mte2_ratio,aiv_mte3_instructions,aiv_mte3_ratio,read_main_memory_datas(KB),write_main_memory_datas(KB),GM_to_L1_datas(KB),GM_to_L1_bw_usage_rate(%),L1_to_GM_datas(KB)(estimate),L1_to_GM_bw_usage_rate(%)(estimate),L0C_to_L1_datas(KB),L0C_to_L1_bw_usage_rate(%),L0C_to_GM_datas(KB),L0C_to_GM_bw_usage_rate(%),GM_to_UB_datas(KB),GM_to_UB_bw_usage_rate(%),UB_to_GM_datas(KB),UB_to_GM_bw_usage_rate(%),
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1523885.625000,2514411369,0.000000,7.534016,7.534018,0.000001,2049139,0.088630,2047281,0.001628,12038683.000000,2.375000,NA,NA,NA,NA,NA,NA,NA,NA,12038680.000000,3.863598,0.000000,0.000000,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1497044.500000,2470123580,0.000000,7.534232,7.534235,0.000002,2013104,0.088718,2011105,0.001628,11826977.000000,2.375000,NA,NA,NA,NA,NA,NA,NA,NA,11826974.000000,3.863709,0.000000,0.000000,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1458597.125000,2406685301,0.000000,7.535319,7.535321,0.000002,1961686,0.088426,1959713,0.001629,11524896.000000,2.375000,NA,NA,NA,NA,NA,NA,NA,NA,11524894.000000,3.864266,0.000000,0.000000,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1420532.000000,2343877911,0.000000,7.534563,7.534565,0.000002,1910300,0.088554,1908353,0.001628,11223004.000000,2.375000,NA,NA,NA,NA,NA,NA,NA,NA,11223001.000000,3.863878,0.000000,0.000000,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1382282.500000,2280766245,0.000000,7.534575,7.534577,0.000002,1858866,0.088525,1856945,0.001628,10920829.000000,2.375000,NA,NA,NA,NA,NA,NA,NA,NA,10920826.000000,3.863885,0.000000,0.000000,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1344101.000000,2217766566,0.000000,7.534403,7.534405,0.000002,1807479,0.088691,1805585,0.001628,10618930.000000,2.375000,NA,NA,NA,NA,NA,NA,NA,NA,10618928.000000,3.863796,0.000000,0.000000,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1305903.500000,2154740609,0.000000,7.534175,7.534178,0.000002,1756060,0.088893,1754193,0.001628,10316844.000000,2.375000,NA,NA,NA,NA,NA,NA,NA,NA,10316841.000000,3.863680,0.000000,0.000000,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1267698.250000,2091702203,0.000000,7.533976,7.533978,0.000002,1704640,0.089032,1702801,0.001628,10014751.000000,2.375000,NA,NA,NA,NA,NA,NA,NA,NA,10014748.000000,3.863577,0.000000,0.000000,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1229312.875000,2028366196,0.000000,7.534869,7.534870,0.000002,1653220,0.088595,1651409,0.001628,9712658.000000,2.375000,NA,NA,NA,NA,NA,NA,NA,NA,9712656.000000,3.864035,0.000000,0.000000,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1191105.250000,1965323603,0.000000,7.534688,7.534690,0.000002,1601799,0.088709,1600017,0.001628,9410560.000000,2.375000,NA,NA,NA,NA,NA,NA,NA,NA,9410558.000000,3.863943,0.000000,0.000000,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1152779.875000,1902086835,0.000000,7.535266,7.535269,0.000002,1550378,0.088545,1548625,0.001628,9108462.000000,2.375000,NA,NA,NA,NA,NA,NA,NA,NA,9108459.000000,3.864239,0.000000,0.000000,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1114568.000000,1839037234,0.000000,7.535037,7.535038,0.000002,1498941,0.088615,1497217,0.001628,8806269.000000,2.375000,NA,NA,NA,NA,NA,NA,NA,NA,8806267.000000,3.864122,0.000000,0.000000,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1076386.125000,1776037080,0.000000,7.534575,7.534577,0.000002,1447503,0.088749,1445809,0.001628,8504071.000000,2.375000,NA,NA,NA,NA,NA,NA,NA,NA,8504068.000000,3.863884,0.000000,0.000000,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1038088.687500,1712846396,0.000000,7.534826,7.534829,0.000002,1396048,0.088869,1394385,0.001628,8201773.000000,2.375000,NA,NA,NA,NA,NA,NA,NA,NA,8201770.500000,3.864013,0.000000,0.000000,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,999803.062500,1649674974,0.000000,7.535007,7.535010,0.000002,1344593,0.089256,1342961,0.001628,7899475.000000,2.375000,NA,NA,NA,NA,NA,NA,NA,NA,7899472.000000,3.864106,0.000000,0.000000,
15,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,961624.250000,1586680064,0.000000,7.534367,7.534369,0.000002,1293138,0.089417,1291537,0.001628,7597177.000000,2.375000,NA,NA,NA,NA,NA,NA,NA,NA,7597174.000000,3.863778,0.000000,0.000000,
16,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,923241.250000,1523348040,0.000000,7.535424,7.535427,0.000002,1241697,0.089050,1240129,0.001628,7294961.000000,2.375000,NA,NA,NA,NA,NA,NA,NA,NA,7294958.000000,3.864320,0.000000,0.000000,
17,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,884981.187500,1460219043,0.000000,7.535425,7.535428,0.000003,1190240,0.089203,1188705,0.001628,6992651.000000,2.375000,NA,NA,NA,NA,NA,NA,NA,NA,6992648.500000,3.864321,0.000000,0.000000,
18,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,846614.625000,1396914209,0.000000,7.536374,7.536376,0.000003,1138783,0.088753,1137281,0.001628,6690341.000000,2.375000,NA,NA,NA,NA,NA,NA,NA,NA,6690338.500000,3.864807,0.000000,0.000000,
19,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,808308.000000,1333708169,0.000000,7.536728,7.536732,0.000003,1087308,0.088918,1085841,0.001628,6387925.500000,2.375000,NA,NA,NA,NA,NA,NA,NA,NA,6387923.000000,3.864989,0.000000,0.000000,
20,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,770064.812500,1270606976,0.000000,7.536381,7.536385,0.000003,1035817,0.088713,1034385,0.001628,6085416.000000,2.375000,NA,NA,NA,NA,NA,NA,NA,NA,6085413.000000,3.864811,0.000000,0.000000,
