block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_l0a_read_bw(GB/s),aic_l0a_write_bw(GB/s),aic_l0b_read_bw(GB/s),aic_l0b_write_bw(GB/s),aic_l0c_read_bw_cube(GB/s),aic_l0c_write_bw_cube(GB/s),aiv_time(us),aiv_total_cycles,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1523885.625000,2514411369,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1497044.500000,2470123580,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1458597.125000,2406685301,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1420532.000000,2343877911,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1382282.500000,2280766245,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1344101.000000,2217766566,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1305903.500000,2154740609,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1267698.250000,2091702203,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1229312.875000,2028366196,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1191105.250000,1965323603,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1152779.875000,1902086835,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1114568.000000,1839037234,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1076386.125000,1776037080,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,1038088.687500,1712846396,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,999803.062500,1649674974,
15,vector0,NA,NA,NA,NA,NA,NA,NA,NA,961624.250000,1586680064,
16,vector0,NA,NA,NA,NA,NA,NA,NA,NA,923241.250000,1523348040,
17,vector0,NA,NA,NA,NA,NA,NA,NA,NA,884981.187500,1460219043,
18,vector0,NA,NA,NA,NA,NA,NA,NA,NA,846614.625000,1396914209,
19,vector0,NA,NA,NA,NA,NA,NA,NA,NA,808308.000000,1333708169,
20,vector0,NA,NA,NA,NA,NA,NA,NA,NA,770064.812500,1270606976,
21,vector0,NA,NA,NA,NA,NA,NA,NA,NA,731811.687500,1207489257,
22,vector0,NA,NA,NA,NA,NA,NA,NA,NA,693381.750000,1144079897,
23,vector0,NA,NA,NA,NA,NA,NA,NA,NA,655138.437500,1080978377,
24,vector0,NA,NA,NA,NA,NA,NA,NA,NA,616861.187500,1017820962,
25,vector0,NA,NA,NA,NA,NA,NA,NA,NA,578565.125000,954632475,
26,vector0,NA,NA,NA,NA,NA,NA,NA,NA,540315.437500,891520431,
27,vector0,NA,NA,NA,NA,NA,NA,NA,NA,501934.593750,828192074,
28,vector0,NA,NA,NA,NA,NA,NA,NA,NA,463435.781250,764669074,
29,vector0,NA,NA,NA,NA,NA,NA,NA,NA,425132.687500,701468903,
30,vector0,NA,NA,NA,NA,NA,NA,NA,NA,386703.125000,638060134,
31,vector0,NA,NA,NA,NA,NA,NA,NA,NA,348320.625000,574728993,
32,vector0,NA,NA,NA,NA,NA,NA,NA,NA,309944.656250,511408720,
33,vector0,NA,NA,NA,NA,NA,NA,NA,NA,271505.812500,447984569,
34,vector0,NA,NA,NA,NA,NA,NA,NA,NA,233078.296875,384579190,
35,vector0,NA,NA,NA,NA,NA,NA,NA,NA,194598.359375,321087294,
36,vector0,NA,NA,NA,NA,NA,NA,NA,NA,156091.609375,257551146,
37,vector0,NA,NA,NA,NA,NA,NA,NA,NA,117492.539062,193862686,
38,vector0,NA,NA,NA,NA,NA,NA,NA,NA,78819.023438,130051393,
39,vector0,NA,NA,NA,NA,NA,NA,NA,NA,40207.945312,66343108,
