block_id,sub_block_id,aic_time(us),aic_total_cycles,aiv_time(us),aiv_total_cycles,aiv_ub_read_bw_vector(GB/s),aiv_ub_write_bw_vector(GB/s),aiv_ub_read_bw_scalar(GB/s),aiv_ub_write_bw_scalar(GB/s),
0,vector0,NA,NA,1523885.625000,2514411369,77.691330,45.817402,0.000000,0.020019,
1,vector0,NA,NA,1497044.500000,2470123580,77.688477,45.816067,0.000000,0.020018,
2,vector0,NA,NA,1458597.125000,2406685301,77.698936,45.822273,0.000000,0.020021,
3,vector0,NA,NA,1420532.000000,2343877911,77.690338,45.817261,0.000000,0.020018,
4,vector0,NA,NA,1382282.500000,2280766245,77.689636,45.816902,0.000000,0.020018,
5,vector0,NA,NA,1344101.000000,2217766566,77.687004,45.815407,0.000000,0.020017,
6,vector0,NA,NA,1305903.500000,2154740609,77.683769,45.813553,0.000000,0.020016,
7,vector0,NA,NA,1267698.250000,2091702203,77.680786,45.811859,0.000000,0.020016,
8,vector0,NA,NA,1229312.875000,2028366196,77.689003,45.816776,0.000000,0.020018,
9,vector0,NA,NA,1191105.250000,1965323603,77.686157,45.815159,0.000000,0.020017,
10,vector0,NA,NA,1152779.875000,1902086835,77.691048,45.818115,0.000000,0.020018,
11,vector0,NA,NA,1114568.000000,1839037234,77.687538,45.816116,0.000000,0.020017,
12,vector0,NA,NA,1076386.125000,1776037080,77.681587,45.812687,0.000000,0.020015,
13,vector0,NA,NA,1038088.687500,1712846396,77.682953,45.813572,0.000000,0.020016,
14,vector0,NA,NA,999803.062500,1649674974,77.683495,45.813984,0.000000,0.020016,
15,vector0,NA,NA,961624.250000,1586680064,77.675453,45.809341,0.000000,0.020013,
16,vector0,NA,NA,923241.250000,1523348040,77.684898,45.815006,0.000000,0.020016,
17,vector0,NA,NA,884981.187500,1460219043,77.683334,45.814186,0.000000,0.020015,
18,vector0,NA,NA,846614.625000,1396914209,77.691383,45.819057,0.000000,0.020017,
19,vector0,NA,NA,808308.000000,1333708169,77.693268,45.820282,0.000000,0.020017,
20,vector0,NA,NA,770064.812500,1270606976,77.687744,45.817150,0.000000,0.020016,
21,vector0,NA,NA,731811.687500,1207489257,77.682671,45.814297,0.000000,0.020014,
22,vector0,NA,NA,693381.750000,1144079897,77.695465,45.821991,0.000000,0.020018,
23,vector0,NA,NA,655138.437500,1080978377,77.689049,45.818371,0.000000,0.020016,
24,vector0,NA,NA,616861.187500,1017820962,77.683075,45.815029,0.000000,0.020014,
25,vector0,NA,NA,578565.125000,954632475,77.680389,45.813641,0.000000,0.020013,
26,vector0,NA,NA,540315.437500,891520431,77.667206,45.806080,0.000000,0.020009,
27,vector0,NA,NA,501934.593750,828192074,77.670441,45.808231,0.000000,0.020010,
28,vector0,NA,NA,463435.781250,764669074,77.693886,45.822330,0.000000,0.020016,
29,vector0,NA,NA,425132.687500,701468903,77.685776,45.817841,0.000000,0.020013,
30,vector0,NA,NA,386703.125000,638060134,77.694199,45.823166,0.000000,0.020015,
31,vector0,NA,NA,348320.625000,574728993,77.691216,45.821812,0.000000,0.020014,
32,vector0,NA,NA,309944.656250,511408720,77.691681,45.822563,0.000000,0.020013,
33,vector0,NA,NA,271505.812500,447984569,77.693039,45.823933,0.000000,0.020013,
34,vector0,NA,NA,233078.296875,384579190,77.682945,45.818699,0.000000,0.020009,
35,vector0,NA,NA,194598.359375,321087294,77.684517,45.820534,0.000000,0.020008,
36,vector0,NA,NA,156091.609375,257551146,77.664116,45.809742,0.000000,0.020002,
37,vector0,NA,NA,117492.539062,193862686,77.674294,45.817535,0.000001,0.020002,
38,vector0,NA,NA,78819.023438,130051393,77.659317,45.811672,0.000001,0.019994,
39,vector0,NA,NA,40207.945312,66343108,77.139381,45.511539,0.000001,0.019852,
