block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_time(us),aic_cube_ratio,aic_scalar_time(us),aic_scalar_ratio,aic_mte1_time(us),aic_mte1_ratio,aic_mte2_time(us),aic_mte2_ratio,aic_mte3_time(us),aic_mte3_ratio,aic_fixpipe_time(us),aic_fixpipe_ratio,aic_icache_miss_rate,aiv_time(us),aiv_total_cycles,aiv_vec_time(us),aiv_vec_ratio,aiv_scalar_time(us),aiv_scalar_ratio,aiv_mte2_time(us),aiv_mte2_ratio,aiv_mte3_time(us),aiv_mte3_ratio,aiv_icache_miss_rate,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1523885.625000,2514411369,650742.562500,0.427028,986591.875000,0.647419,135062.609375,0.088630,2481.552734,0.001628,0.000000,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1497044.500000,2470123580,639241.750000,0.427002,969160.687500,0.647383,132814.828125,0.088718,2437.703125,0.001628,0.000000,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1458597.125000,2406685301,622940.750000,0.427082,944394.187500,0.647467,128978.328125,0.088426,2375.409668,0.001629,0.000000,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1420532.000000,2343877911,606605.375000,0.427027,919646.875000,0.647396,125793.539062,0.088554,2313.155273,0.001628,0.000000,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1382282.500000,2280766245,590254.000000,0.427014,894868.062500,0.647384,122366.500000,0.088525,2250.842529,0.001628,0.000000,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1344101.000000,2217766566,573920.937500,0.426992,870118.500000,0.647361,119209.882812,0.088691,2188.587891,0.001628,0.000000,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1305903.500000,2154740609,557572.625000,0.426963,845361.500000,0.647338,116086.257812,0.088893,2126.294434,0.001628,0.000000,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1267698.250000,2091702203,541231.937500,0.426941,820590.687500,0.647308,112865.531250,0.089032,2064.001221,0.001628,0.000000,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1229312.875000,2028366196,524921.375000,0.427004,795828.062500,0.647376,108911.078125,0.088595,2001.707886,0.001628,0.000000,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1191105.250000,1965323603,508581.125000,0.426983,771053.875000,0.647343,105662.265625,0.088709,1939.414551,0.001628,0.000000,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1152779.875000,1902086835,492275.781250,0.427034,746292.125000,0.647385,102073.093750,0.088545,1877.121216,0.001628,0.000000,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1114568.000000,1839037234,475928.093750,0.427007,721523.125000,0.647357,98766.960938,0.088615,1814.808472,0.001628,0.000000,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1076386.125000,1776037080,459577.875000,0.426964,696743.812500,0.647299,95528.523438,0.088749,1752.495728,0.001628,0.000000,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1038088.687500,1712846396,443224.281250,0.426962,671968.125000,0.647313,92254.164062,0.088869,1690.163696,0.001628,0.000000,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,999803.062500,1649674974,426858.593750,0.426943,647181.187500,0.647309,89238.671875,0.089256,1627.831543,0.001628,0.000000,
15,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,961624.250000,1586680064,410510.968750,0.426893,622406.062500,0.647245,85985.171875,0.089417,1565.499390,0.001628,0.000000,
16,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,923241.250000,1523348040,394182.812500,0.426955,597640.437500,0.647329,82214.726562,0.089050,1503.186646,0.001628,0.000000,
17,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,884981.187500,1460219043,377834.968750,0.426941,572852.187500,0.647304,78942.742188,0.089203,1440.854492,0.001628,0.000000,
18,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,846614.625000,1396914209,361509.906250,0.427006,548065.500000,0.647361,75139.765625,0.088753,1378.522461,0.001628,0.000000,
19,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,808308.000000,1333708169,345155.375000,0.427010,523270.218750,0.647365,71873.484375,0.088918,1316.170898,0.001628,0.000000,
20,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,770064.812500,1270606976,328810.343750,0.426990,498482.125000,0.647325,68314.750000,0.088713,1253.800049,0.001628,0.000000,
21,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,731811.687500,1207489257,312450.625000,0.426955,473694.406250,0.647290,65004.691406,0.088827,1191.429077,0.001628,0.000000,
22,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,693381.750000,1144079897,296095.937500,0.427032,448883.968750,0.647384,61504.710938,0.088703,1129.038818,0.001628,0.000000,
23,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,655138.437500,1080978377,279736.562500,0.426988,424096.843750,0.647339,58181.703125,0.088808,1066.667847,0.001628,0.000000,
24,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,616861.187500,1017820962,263362.125000,0.426939,399278.968750,0.647275,54887.851562,0.088979,1004.258179,0.001628,0.000000,
25,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,578565.125000,954632475,246997.578125,0.426914,374469.156250,0.647238,51562.164062,0.089121,941.867859,0.001628,0.000000,
26,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,540315.437500,891520431,230627.890625,0.426839,349642.468750,0.647108,48266.699219,0.089331,879.438782,0.001628,0.000000,
27,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,501934.593750,828192074,214250.875000,0.426850,324825.531250,0.647147,44904.906250,0.089464,816.990295,0.001628,0.000000,
