block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_wait_ratio,aic_mte1_wait_ratio,aic_mte2_wait_ratio,aic_mte3_wait_ratio,aiv_time(us),aiv_total_cycles,aiv_vec_total_cflt_ratio,aiv_vec_bankgroup_cflt_ratio,aiv_vec_bank_cflt_ratio,aiv_vec_resc_cflt_ratio,aiv_vec_mte_cflt_ratio,aiv_vec_wait_ratio,aiv_mte1_wait_ratio,aiv_mte2_wait_ratio,aiv_mte3_wait_ratio,
0,vector0,NA,NA,NA,NA,NA,NA,1523885.625000,2514411369,0.052122,0.022391,0.029731,0.000000,0.000000,0.095159,0.000000,0.000000,0.015470,
1,vector0,NA,NA,NA,NA,NA,NA,1497044.500000,2470123580,0.052120,0.022390,0.029730,0.000000,0.000000,0.095259,0.000000,0.000000,0.015469,
2,vector0,NA,NA,NA,NA,NA,NA,1458597.125000,2406685301,0.052127,0.022393,0.029734,0.000000,0.000000,0.094936,0.000000,0.000000,0.015471,
3,vector0,NA,NA,NA,NA,NA,NA,1420532.000000,2343877911,0.052121,0.022390,0.029731,0.000000,0.000000,0.095064,0.000000,0.000000,0.015470,
4,vector0,NA,NA,NA,NA,NA,NA,1382282.500000,2280766245,0.052121,0.022390,0.029731,0.000000,0.000000,0.095107,0.000000,0.000000,0.015469,
5,vector0,NA,NA,NA,NA,NA,NA,1344101.000000,2217766566,0.052119,0.022389,0.029730,0.000000,0.000000,0.095187,0.000000,0.000000,0.015469,
6,vector0,NA,NA,NA,NA,NA,NA,1305903.500000,2154740609,0.052117,0.022388,0.029729,0.000000,0.000000,0.095411,0.000000,0.000000,0.015468,
7,vector0,NA,NA,NA,NA,NA,NA,1267698.250000,2091702203,0.052115,0.022387,0.029728,0.000000,0.000000,0.095521,0.000000,0.000000,0.015467,
8,vector0,NA,NA,NA,NA,NA,NA,1229312.875000,2028366196,0.052120,0.022389,0.029731,0.000000,0.000000,0.095056,0.000000,0.000000,0.015469,
9,vector0,NA,NA,NA,NA,NA,NA,1191105.250000,1965323603,0.052118,0.022388,0.029730,0.000000,0.000000,0.095176,0.000000,0.000000,0.015468,
10,vector0,NA,NA,NA,NA,NA,NA,1152779.875000,1902086835,0.052122,0.022390,0.029732,0.000000,0.000000,0.094998,0.000000,0.000000,0.015469,
11,vector0,NA,NA,NA,NA,NA,NA,1114568.000000,1839037234,0.052119,0.022389,0.029731,0.000000,0.000000,0.095106,0.000000,0.000000,0.015468,
12,vector0,NA,NA,NA,NA,NA,NA,1076386.125000,1776037080,0.052115,0.022387,0.029729,0.000000,0.000000,0.095295,0.000000,0.000000,0.015467,
13,vector0,NA,NA,NA,NA,NA,NA,1038088.687500,1712846396,0.052116,0.022387,0.029729,0.000000,0.000000,0.095397,0.000000,0.000000,0.015467,
14,vector0,NA,NA,NA,NA,NA,NA,999803.062500,1649674974,0.052117,0.022387,0.029730,0.000000,0.000000,0.095759,0.000000,0.000000,0.015467,
15,vector0,NA,NA,NA,NA,NA,NA,961624.250000,1586680064,0.052111,0.022385,0.029727,0.000000,0.000000,0.095913,0.000000,0.000000,0.015466,
16,vector0,NA,NA,NA,NA,NA,NA,923241.250000,1523348040,0.052118,0.022387,0.029730,0.000000,0.000000,0.095565,0.000000,0.000000,0.015468,
17,vector0,NA,NA,NA,NA,NA,NA,884981.187500,1460219043,0.052117,0.022387,0.029730,0.000000,0.000000,0.095685,0.000000,0.000000,0.015467,
18,vector0,NA,NA,NA,NA,NA,NA,846614.625000,1396914209,0.052122,0.022389,0.029733,0.000000,0.000000,0.095265,0.000000,0.000000,0.015469,
19,vector0,NA,NA,NA,NA,NA,NA,808308.000000,1333708169,0.052123,0.022389,0.029734,0.000000,0.000000,0.095440,0.000000,0.000000,0.015469,
20,vector0,NA,NA,NA,NA,NA,NA,770064.812500,1270606976,0.052120,0.022387,0.029732,0.000000,0.000000,0.095229,0.000000,0.000000,0.015468,
21,vector0,NA,NA,NA,NA,NA,NA,731811.687500,1207489257,0.052116,0.022386,0.029730,0.000000,0.000000,0.095325,0.000000,0.000000,0.015466,
22,vector0,NA,NA,NA,NA,NA,NA,693381.750000,1144079897,0.052125,0.022389,0.029736,0.000000,0.000000,0.095263,0.000000,0.000000,0.015469,
23,vector0,NA,NA,NA,NA,NA,NA,655138.437500,1080978377,0.052120,0.022387,0.029733,0.000000,0.000000,0.095267,0.000000,0.000000,0.015467,
24,vector0,NA,NA,NA,NA,NA,NA,616861.187500,1017820962,0.052116,0.022385,0.029731,0.000000,0.000000,0.095469,0.000000,0.000000,0.015466,
25,vector0,NA,NA,NA,NA,NA,NA,578565.125000,954632475,0.052115,0.022384,0.029731,0.000000,0.000000,0.095626,0.000000,0.000000,0.015465,
26,vector0,NA,NA,NA,NA,NA,NA,540315.437500,891520431,0.052106,0.022380,0.029726,0.000000,0.000000,0.095846,0.000000,0.000000,0.015463,
27,vector0,NA,NA,NA,NA,NA,NA,501934.593750,828192074,0.052108,0.022381,0.029727,0.000000,0.000000,0.095948,0.000000,0.000000,0.015463,
28,vector0,NA,NA,NA,NA,NA,NA,463435.781250,764669074,0.052124,0.022387,0.029737,0.000000,0.000000,0.095447,0.000000,0.000000,0.015467,
29,vector0,NA,NA,NA,NA,NA,NA,425132.687500,701468903,0.052118,0.022384,0.029734,0.000000,0.000000,0.095551,0.000000,0.000000,0.015465,
30,vector0,NA,NA,NA,NA,NA,NA,386703.125000,638060134,0.052124,0.022386,0.029738,0.000000,0.000000,0.095352,0.000000,0.000000,0.015467,
31,vector0,NA,NA,NA,NA,NA,NA,348320.625000,574728993,0.052122,0.022385,0.029737,0.000000,0.000000,0.095468,0.000000,0.000000,0.015466,
32,vector0,NA,NA,NA,NA,NA,NA,309944.656250,511408720,0.052122,0.022384,0.029738,0.000000,0.000000,0.095282,0.000000,0.000000,0.015465,
33,vector0,NA,NA,NA,NA,NA,NA,271505.812500,447984569,0.052123,0.022384,0.029740,0.000000,0.000000,0.095361,0.000000,0.000000,0.015465,
