block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_ratio,aic_cube_fp16_ratio,aic_cube_int8_ratio,aic_cube_fops,aic_cube_total_instr_number,aic_cube_fp_instr_number,aic_cube_int_instr_number,aiv_time(us),aiv_total_cycles,aiv_vec_ratio,aiv_vec_fp32_ratio,aiv_vec_fp16_ratio,aiv_vec_int32_ratio,aiv_vec_int16_ratio,aiv_vec_misc_ratio,aiv_vec_fops,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,34197.507812,56425886,0.397290,0.134003,0.000000,0.000000,0.000000,0.015099,511180928,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,31374.566406,51768036,0.399726,0.134824,0.000000,0.000000,0.000000,0.015192,471859328,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,33865.000000,55877246,0.401191,0.135318,0.000000,0.000000,0.000000,0.015247,511180928,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,31118.640625,51345756,0.403013,0.135933,0.000000,0.000000,0.000000,0.015316,471859328,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,33606.628906,55450939,0.404275,0.136359,0.000000,0.000000,0.000000,0.015364,511180928,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,31004.041016,51156667,0.404503,0.136435,0.000000,0.000000,0.000000,0.015373,471859328,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,33568.953125,55388772,0.404729,0.136512,0.000000,0.000000,0.000000,0.015382,511180928,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,30859.025391,50917390,0.406404,0.137077,0.000000,0.000000,0.000000,0.015445,471859328,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,33403.886719,55116415,0.406729,0.137186,0.000000,0.000000,0.000000,0.015458,511180928,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,31814.832031,52494472,0.394194,0.132958,0.000000,0.000000,0.000000,0.014981,471859328,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,34425.039062,56801317,0.394664,0.133117,0.000000,0.000000,0.000000,0.014999,511180928,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,32156.968750,53058998,0.390000,0.131544,0.000000,0.000000,0.000000,0.014822,471859328,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,34776.910156,57381901,0.390671,0.131770,0.000000,0.000000,0.000000,0.014847,511180928,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,30271.324219,49947684,0.414294,0.139738,0.000000,0.000000,0.000000,0.015745,471859328,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,32789.250000,54102266,0.414353,0.139758,0.000000,0.000000,0.000000,0.015747,511180928,
15,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,32170.298828,53080993,0.389839,0.131489,0.000000,0.000000,0.000000,0.014816,471859328,
16,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,34783.859375,57393370,0.390593,0.131744,0.000000,0.000000,0.000000,0.014844,511180928,
17,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,31869.310547,52584363,0.393520,0.132731,0.000000,0.000000,0.000000,0.014956,471859328,
18,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,34463.824219,56865307,0.394220,0.132967,0.000000,0.000000,0.000000,0.014982,511180928,
19,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,31073.062500,51270550,0.403604,0.136132,0.000000,0.000000,0.000000,0.015339,471859328,
20,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,33626.828125,55484266,0.404032,0.136277,0.000000,0.000000,0.000000,0.015355,511180928,
21,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,30960.314453,51084520,0.405074,0.136628,0.000000,0.000000,0.000000,0.015395,471859328,
22,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,33480.222656,55242368,0.405802,0.136873,0.000000,0.000000,0.000000,0.015422,511180928,
23,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,31152.082031,51400936,0.402581,0.135787,0.000000,0.000000,0.000000,0.015300,471859328,
24,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,33649.359375,55521444,0.403762,0.136186,0.000000,0.000000,0.000000,0.015345,511180928,
25,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,31394.740234,51801319,0.399469,0.134738,0.000000,0.000000,0.000000,0.015182,471859328,
26,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,33904.867188,55943034,0.400719,0.135159,0.000000,0.000000,0.000000,0.015229,511180928,
27,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,31572.244141,52094205,0.397223,0.133980,0.000000,0.000000,0.000000,0.015096,471859328,
28,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,34144.683594,56338729,0.397905,0.134210,0.000000,0.000000,0.000000,0.015122,511180928,
29,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,31886.089844,52612047,0.393313,0.132661,0.000000,0.000000,0.000000,0.014948,471859328,
30,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,34483.027344,56896994,0.394000,0.132893,0.000000,0.000000,0.000000,0.014974,511180928,
31,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,30225.005859,49871261,0.414929,0.139952,0.000000,0.000000,0.000000,0.015769,471859328,
32,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,32773.484375,54076248,0.414552,0.139825,0.000000,0.000000,0.000000,0.015755,511180928,
33,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,30273.517578,49951306,0.414264,0.139728,0.000000,0.000000,0.000000,0.015744,471859328,
34,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,32783.621094,54092975,0.414424,0.139782,0.000000,0.000000,0.000000,0.015750,511180928,
35,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,30324.048828,50034679,0.413574,0.139495,0.000000,0.000000,0.000000,0.015718,471859328,
36,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,32860.136719,54219226,0.413459,0.139456,0.000000,0.000000,0.000000,0.015713,511180928,
37,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,31830.117188,52519691,0.394005,0.132895,0.000000,0.000000,0.000000,0.014974,471859328,
38,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,34433.640625,56815507,0.394566,0.133084,0.000000,0.000000,0.000000,0.014995,511180928,
39,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,31157.429688,51409760,0.396583,0.133764,0.000000,0.000000,0.000000,0.015072,464908928,
