block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_write_cache_hit,aic_write_cache_miss_allocate,aic_r0_read_cache_hit,aic_r0_read_cache_miss_allocate,aic_r1_read_cache_hit,aic_r1_read_cache_miss_allocate,aic_write_hit_rate(%),aic_read_hit_rate(%),aic_total_hit_rate(%),aiv_time(us),aiv_total_cycles,aiv_write_cache_hit,aiv_write_cache_miss_allocate,aiv_r0_read_cache_hit,aiv_r0_read_cache_miss_allocate,aiv_r1_read_cache_hit,aiv_r1_read_cache_miss_allocate,aiv_write_hit_rate(%),aiv_read_hit_rate(%),aiv_total_hit_rate(%),
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34197.507812,56425886,15,416,3399144,6990,3406122,6962,3.480278,99.795403,99.789322,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31374.566406,51768036,15,384,3148065,1056,3144624,1057,3.759398,99.966438,99.960335,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33865.000000,55877246,15,416,3405979,1974,3409399,1994,3.480278,99.941811,99.935722,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31118.640625,51345756,15,384,3139894,2179,3150556,2173,3.759398,99.930862,99.924774,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33606.628906,55450939,15,416,3414616,449,3403970,439,3.480278,99.986984,99.980881,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31004.041016,51156667,15,384,3142996,962,3150014,958,3.759398,99.969498,99.963409,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33568.953125,55388772,15,416,3393924,19384,3387022,19272,3.480278,99.433159,99.427101,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30859.025391,50917390,15,384,3144388,2751,3145166,2753,3.759398,99.912567,99.906479,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33403.886719,55116415,15,416,3408721,1534,3407937,1538,3.480278,99.954956,99.948860,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31814.832031,52494472,15,384,3146949,208,3147821,208,3.759398,99.993393,99.987297,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34425.039062,56801317,15,416,3402631,7670,3401767,7662,3.480278,99.775185,99.769096,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32156.968750,53058998,15,384,3146312,590,3147850,562,3.759398,99.981697,99.975609,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34776.910156,57381901,15,416,3409927,821,3408395,843,3.480278,99.975601,99.969505,
