block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_l1_read_bw(GB/s),aic_l1_write_bw(GB/s),aic_main_mem_read_bw(GB/s),aic_main_mem_write_bw(GB/s),aic_mte1_instructions,aic_mte1_ratio,aic_mte2_instructions,aic_mte2_ratio,aic_mte3_instructions,aic_mte3_ratio,aiv_time(us),aiv_total_cycles,aiv_ub_to_gm_bw(GB/s),aiv_gm_to_ub_bw(GB/s),aiv_main_mem_read_bw(GB/s),aiv_main_mem_write_bw(GB/s),aiv_mte2_instructions,aiv_mte2_ratio,aiv_mte3_instructions,aiv_mte3_ratio,read_main_memory_datas(KB),write_main_memory_datas(KB),GM_to_L1_datas(KB),GM_to_L1_bw_usage_rate(%),L1_to_GM_datas(KB)(estimate),L1_to_GM_bw_usage_rate(%)(estimate),L0C_to_L1_datas(KB),L0C_to_L1_bw_usage_rate(%),L0C_to_GM_datas(KB),L0C_to_GM_bw_usage_rate(%),GM_to_UB_datas(KB),GM_to_UB_bw_usage_rate(%),UB_to_GM_datas(KB),UB_to_GM_bw_usage_rate(%),
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34197.507812,56425886,0.005801,23.771093,23.771151,0.005853,53277,0.324814,14,0.000077,852402.250000,209.875000,NA,NA,NA,NA,NA,NA,NA,NA,852400.125000,12.190305,208.000000,0.003296,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31374.566406,51768036,0.005836,23.917362,23.917427,0.005893,49180,0.320057,13,0.000072,786850.250000,193.875000,NA,NA,NA,NA,NA,NA,NA,NA,786848.125000,12.265314,192.000000,0.003316,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33865.000000,55877246,0.005858,24.004942,24.005001,0.005910,53278,0.317725,14,0.000074,852418.250000,209.875000,NA,NA,NA,NA,NA,NA,NA,NA,852416.125000,12.310226,208.000000,0.003328,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31118.640625,51345756,0.005884,24.114063,24.114128,0.005942,49180,0.316938,13,0.000072,786850.250000,193.875000,NA,NA,NA,NA,NA,NA,NA,NA,786848.125000,12.366186,192.000000,0.003343,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33606.628906,55450939,0.005903,24.189949,24.190008,0.005956,53279,0.314460,14,0.000073,852434.250000,209.875000,NA,NA,NA,NA,NA,NA,NA,NA,852432.125000,12.405102,208.000000,0.003354,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31004.041016,51156667,0.005906,24.203688,24.203753,0.005964,49181,0.308972,13,0.000072,786866.250000,193.875000,NA,NA,NA,NA,NA,NA,NA,NA,786864.125000,12.412147,192.000000,0.003356,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33568.953125,55388772,0.005909,24.217552,24.217611,0.005962,53280,0.309282,14,0.000074,852450.250000,209.875000,NA,NA,NA,NA,NA,NA,NA,NA,852448.125000,12.419257,208.000000,0.003357,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30859.025391,50917390,0.005934,24.317923,24.317987,0.005992,49182,0.309811,13,0.000075,786882.250000,193.875000,NA,NA,NA,NA,NA,NA,NA,NA,786880.125000,12.470730,192.000000,0.003371,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33403.886719,55116415,0.005938,24.337681,24.337742,0.005992,53281,0.309293,14,0.000073,852466.250000,209.875000,NA,NA,NA,NA,NA,NA,NA,NA,852464.125000,12.480862,208.000000,0.003374,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31814.832031,52494472,0.005755,23.587824,23.587885,0.005812,49183,0.330263,13,0.000074,786898.250000,193.875000,NA,NA,NA,NA,NA,NA,NA,NA,786896.125000,12.096320,192.000000,0.003270,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34425.039062,56801317,0.005762,23.615749,23.615810,0.005814,53281,0.329408,14,0.000074,852466.250000,209.875000,NA,NA,NA,NA,NA,NA,NA,NA,852464.125000,12.110641,208.000000,0.003274,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32156.968750,53058998,0.005694,23.337332,23.337395,0.005750,49184,0.337808,13,0.000075,786914.250000,193.875000,NA,NA,NA,NA,NA,NA,NA,NA,786912.125000,11.967862,192.000000,0.003235,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34776.910156,57381901,0.005704,23.377686,23.377743,0.005755,53283,0.336448,14,0.000074,852498.250000,209.875000,NA,NA,NA,NA,NA,NA,NA,NA,852496.125000,11.988557,208.000000,0.003241,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30271.324219,49947684,0.006049,24.791553,24.791620,0.006108,49185,0.295339,13,0.000079,786930.250000,193.875000,NA,NA,NA,NA,NA,NA,NA,NA,786928.125000,12.713616,192.000000,0.003437,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32789.250000,54102266,0.006050,24.795290,24.795351,0.006104,53284,0.295326,14,0.000079,852514.250000,209.875000,NA,NA,NA,NA,NA,NA,NA,NA,852512.125000,12.715533,208.000000,0.003437,
15,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32170.298828,53080993,0.005692,23.328611,23.328674,0.005747,49186,0.336491,13,0.000075,786946.250000,193.875000,NA,NA,NA,NA,NA,NA,NA,NA,786944.125000,11.963390,192.000000,0.003234,
16,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34783.859375,57393370,0.005703,23.373892,23.373949,0.005754,53285,0.335252,14,0.000075,852530.250000,209.875000,NA,NA,NA,NA,NA,NA,NA,NA,852528.125000,11.986611,208.000000,0.003240,
17,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31869.310547,52584363,0.005746,23.549896,23.549959,0.005802,49188,0.331278,13,0.000073,786978.250000,193.875000,NA,NA,NA,NA,NA,NA,NA,NA,786976.125000,12.076871,192.000000,0.003264,
18,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34463.824219,56865307,0.005756,23.591387,23.591446,0.005808,53286,0.329961,14,0.000074,852546.250000,209.875000,NA,NA,NA,NA,NA,NA,NA,NA,852544.125000,12.098147,208.000000,0.003270,
19,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31073.062500,51270550,0.005893,24.153852,24.153917,0.005950,49189,0.311771,13,0.000073,786994.250000,193.875000,NA,NA,NA,NA,NA,NA,NA,NA,786992.125000,12.386591,192.000000,0.003348,
20,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33626.828125,55484266,0.005899,24.179955,24.180016,0.005952,53289,0.311244,14,0.000074,852594.250000,209.875000,NA,NA,NA,NA,NA,NA,NA,NA,852592.125000,12.399976,208.000000,0.003352,
21,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30960.314453,51084520,0.005914,24.242800,24.242865,0.005972,49191,0.310361,13,0.000072,787026.250000,193.875000,NA,NA,NA,NA,NA,NA,NA,NA,787024.125000,12.432205,192.000000,0.003360,
22,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33480.222656,55242368,0.005925,24.286749,24.286808,0.005978,53291,0.309304,14,0.000073,852626.250000,209.875000,NA,NA,NA,NA,NA,NA,NA,NA,852624.125000,12.454742,208.000000,0.003366,
23,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31152.082031,51400936,0.005878,24.094543,24.094610,0.005935,49193,0.316148,13,0.000071,787058.250000,193.875000,NA,NA,NA,NA,NA,NA,NA,NA,787056.125000,12.356176,192.000000,0.003340,
24,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33649.359375,55521444,0.005895,24.165579,24.165638,0.005948,53293,0.314564,14,0.000074,852658.250000,209.875000,NA,NA,NA,NA,NA,NA,NA,NA,852656.125000,12.392605,208.000000,0.003349,
25,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31394.740234,51801319,0.005832,23.909285,23.909348,0.005889,49195,0.319749,13,0.000073,787090.250000,193.875000,NA,NA,NA,NA,NA,NA,NA,NA,787088.125000,12.261171,192.000000,0.003314,
26,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33904.867188,55943034,0.005851,23.985268,23.985327,0.005903,53297,0.317601,14,0.000073,852722.250000,209.875000,NA,NA,NA,NA,NA,NA,NA,NA,852720.125000,12.300138,208.000000,0.003324,
27,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31572.244141,52094205,0.005800,23.776312,23.776375,0.005856,49198,0.321067,13,0.000076,787138.250000,193.875000,NA,NA,NA,NA,NA,NA,NA,NA,787136.125000,12.192980,192.000000,0.003295,
28,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34144.683594,56338729,0.005810,23.818146,23.818205,0.005862,53300,0.320330,14,0.000077,852770.250000,209.875000,NA,NA,NA,NA,NA,NA,NA,NA,852768.125000,12.214433,208.000000,0.003301,
29,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31886.089844,52612047,0.005742,23.544682,23.544744,0.005799,49203,0.330770,13,0.000075,787218.250000,193.875000,NA,NA,NA,NA,NA,NA,NA,NA,787216.125000,12.074196,192.000000,0.003263,
30,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34483.027344,56896994,0.005753,23.586658,23.586716,0.005804,53305,0.329698,14,0.000077,852850.250000,209.875000,NA,NA,NA,NA,NA,NA,NA,NA,852848.125000,12.095722,208.000000,0.003268,
31,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30225.005859,49871261,0.006058,24.841158,24.841223,0.006117,49208,0.295062,13,0.000076,787298.250000,193.875000,NA,NA,NA,NA,NA,NA,NA,NA,787296.125000,12.739055,192.000000,0.003442,
32,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32773.484375,54076248,0.006053,24.820253,24.820314,0.006107,53312,0.295331,14,0.000077,852962.250000,209.875000,NA,NA,NA,NA,NA,NA,NA,NA,852960.125000,12.728335,208.000000,0.003439,
33,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30273.517578,49951306,0.006048,24.804878,24.804945,0.006107,49215,0.295328,13,0.000078,787410.250000,193.875000,NA,NA,NA,NA,NA,NA,NA,NA,787408.125000,12.720450,192.000000,0.003437,
34,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32783.621094,54092975,0.006051,24.817232,24.817293,0.006105,53322,0.295207,14,0.000077,853122.250000,209.875000,NA,NA,NA,NA,NA,NA,NA,NA,853120.125000,12.726786,208.000000,0.003438,
35,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30324.048828,50034679,0.006038,24.770084,24.770153,0.006097,49228,0.294324,13,0.000077,787618.250000,193.875000,NA,NA,NA,NA,NA,NA,NA,NA,787616.125000,12.702608,192.000000,0.003431,
36,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32860.136719,54219226,0.006037,24.768269,24.768330,0.006091,53341,0.294439,14,0.000077,853426.250000,209.875000,NA,NA,NA,NA,NA,NA,NA,NA,853424.125000,12.701676,208.000000,0.003430,
37,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31830.117188,52519691,0.005753,23.610052,23.610115,0.005809,49253,0.328424,13,0.000076,788018.250000,193.875000,NA,NA,NA,NA,NA,NA,NA,NA,788016.125000,12.107718,192.000000,0.003269,
38,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34433.640625,56815507,0.005761,23.658596,23.658655,0.005813,53391,0.327517,14,0.000075,854226.250000,209.875000,NA,NA,NA,NA,NA,NA,NA,NA,854224.125000,12.132613,208.000000,0.003273,
39,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31157.429688,51409760,0.005877,23.869051,23.869114,0.005934,48741,0.326001,13,0.000077,779826.250000,193.875000,NA,NA,NA,NA,NA,NA,NA,NA,779824.125000,12.240539,192.000000,0.003339,
