block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_l0a_read_bw(GB/s),aic_l0a_write_bw(GB/s),aic_l0b_read_bw(GB/s),aic_l0b_write_bw(GB/s),aic_l0c_read_bw_cube(GB/s),aic_l0c_write_bw_cube(GB/s),aiv_time(us),aiv_total_cycles,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,34197.507812,56425886,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,31374.566406,51768036,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,33865.000000,55877246,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,31118.640625,51345756,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,33606.628906,55450939,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,31004.041016,51156667,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,33568.953125,55388772,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,30859.025391,50917390,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,33403.886719,55116415,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,31814.832031,52494472,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,34425.039062,56801317,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,32156.968750,53058998,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,34776.910156,57381901,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,30271.324219,49947684,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,32789.250000,54102266,
15,vector0,NA,NA,NA,NA,NA,NA,NA,NA,32170.298828,53080993,
16,vector0,NA,NA,NA,NA,NA,NA,NA,NA,34783.859375,57393370,
17,vector0,NA,NA,NA,NA,NA,NA,NA,NA,31869.310547,52584363,
18,vector0,NA,NA,NA,NA,NA,NA,NA,NA,34463.824219,56865307,
19,vector0,NA,NA,NA,NA,NA,NA,NA,NA,31073.062500,51270550,
20,vector0,NA,NA,NA,NA,NA,NA,NA,NA,33626.828125,55484266,
21,vector0,NA,NA,NA,NA,NA,NA,NA,NA,30960.314453,51084520,
22,vector0,NA,NA,NA,NA,NA,NA,NA,NA,33480.222656,55242368,
23,vector0,NA,NA,NA,NA,NA,NA,NA,NA,31152.082031,51400936,
24,vector0,NA,NA,NA,NA,NA,NA,NA,NA,33649.359375,55521444,
25,vector0,NA,NA,NA,NA,NA,NA,NA,NA,31394.740234,51801319,
26,vector0,NA,NA,NA,NA,NA,NA,NA,NA,33904.867188,55943034,
27,vector0,NA,NA,NA,NA,NA,NA,NA,NA,31572.244141,52094205,
28,vector0,NA,NA,NA,NA,NA,NA,NA,NA,34144.683594,56338729,
29,vector0,NA,NA,NA,NA,NA,NA,NA,NA,31886.089844,52612047,
30,vector0,NA,NA,NA,NA,NA,NA,NA,NA,34483.027344,56896994,
31,vector0,NA,NA,NA,NA,NA,NA,NA,NA,30225.005859,49871261,
32,vector0,NA,NA,NA,NA,NA,NA,NA,NA,32773.484375,54076248,
33,vector0,NA,NA,NA,NA,NA,NA,NA,NA,30273.517578,49951306,
34,vector0,NA,NA,NA,NA,NA,NA,NA,NA,32783.621094,54092975,
35,vector0,NA,NA,NA,NA,NA,NA,NA,NA,30324.048828,50034679,
36,vector0,NA,NA,NA,NA,NA,NA,NA,NA,32860.136719,54219226,
37,vector0,NA,NA,NA,NA,NA,NA,NA,NA,31830.117188,52519691,
38,vector0,NA,NA,NA,NA,NA,NA,NA,NA,34433.640625,56815507,
39,vector0,NA,NA,NA,NA,NA,NA,NA,NA,31157.429688,51409760,
