block_id,sub_block_id,aic_time(us),aic_total_cycles,aiv_time(us),aiv_total_cycles,aiv_ub_read_bw_vector(GB/s),aiv_ub_write_bw_vector(GB/s),aiv_ub_read_bw_scalar(GB/s),aiv_ub_write_bw_scalar(GB/s),
0,vector0,NA,NA,34197.507812,56425886,70.163414,35.267330,0.023204,0.046404,
1,vector0,NA,NA,31374.566406,51768036,70.593605,35.483559,0.023346,0.046689,
2,vector0,NA,NA,33865.000000,55877246,70.852325,35.613605,0.023432,0.046860,
3,vector0,NA,NA,31118.640625,51345756,71.174179,35.775383,0.023538,0.047073,
4,vector0,NA,NA,33606.628906,55450939,71.397041,35.887405,0.023612,0.047220,
5,vector0,NA,NA,31004.041016,51156667,71.437263,35.907619,0.023625,0.047247,
6,vector0,NA,NA,33568.953125,55388772,71.477180,35.927685,0.023638,0.047273,
7,vector0,NA,NA,30859.025391,50917390,71.772964,36.076359,0.023736,0.047469,
8,vector0,NA,NA,33403.886719,55116415,71.830383,36.105221,0.023755,0.047507,
9,vector0,NA,NA,31814.832031,52494472,69.616707,34.992523,0.023023,0.046043,
10,vector0,NA,NA,34425.039062,56801317,69.699677,35.034229,0.023051,0.046098,
11,vector0,NA,NA,32156.968750,53058998,68.876015,34.620216,0.022778,0.045553,
12,vector0,NA,NA,34776.910156,57381901,68.994453,34.679756,0.022817,0.045631,
13,vector0,NA,NA,30271.324219,49947684,73.166397,36.776760,0.024197,0.048390,
14,vector0,NA,NA,32789.250000,54102266,73.176849,36.782017,0.024201,0.048397,
15,vector0,NA,NA,32170.298828,53080993,68.847473,34.605873,0.022769,0.045534,
16,vector0,NA,NA,34783.859375,57393370,68.980675,34.672829,0.022813,0.045622,
17,vector0,NA,NA,31869.310547,52584363,69.497696,34.932705,0.022984,0.045964,
18,vector0,NA,NA,34463.824219,56865307,69.621231,34.994804,0.023025,0.046046,
19,vector0,NA,NA,31073.062500,51270550,71.278580,35.827858,0.023573,0.047142,
20,vector0,NA,NA,33626.828125,55484266,71.354156,35.865849,0.023598,0.047192,
21,vector0,NA,NA,30960.314453,51084520,71.538155,35.958332,0.023659,0.047314,
22,vector0,NA,NA,33480.222656,55242368,71.666611,36.022900,0.023701,0.047399,
23,vector0,NA,NA,31152.082031,51400936,71.097778,35.736977,0.023513,0.047022,
24,vector0,NA,NA,33649.359375,55521444,71.306381,35.841835,0.023582,0.047160,
25,vector0,NA,NA,31394.740234,51801319,70.548241,35.460758,0.023331,0.046659,
26,vector0,NA,NA,33904.867188,55943034,70.769012,35.571728,0.023404,0.046805,
27,vector0,NA,NA,31572.244141,52094205,70.151611,35.261391,0.023200,0.046397,
28,vector0,NA,NA,34144.683594,56338729,70.271965,35.321888,0.023240,0.046476,
29,vector0,NA,NA,31886.089844,52612047,69.461128,34.914322,0.022972,0.045940,
30,vector0,NA,NA,34483.027344,56896994,69.582466,34.975315,0.023012,0.046020,
31,vector0,NA,NA,30225.005859,49871261,73.278519,36.833118,0.024234,0.048465,
32,vector0,NA,NA,32773.484375,54076248,73.212051,36.799709,0.024212,0.048421,
33,vector0,NA,NA,30273.517578,49951306,73.161095,36.774097,0.024195,0.048387,
34,vector0,NA,NA,32783.621094,54092975,73.189415,36.788334,0.024205,0.048406,
35,vector0,NA,NA,30324.048828,50034679,73.039185,36.712818,0.024155,0.048306,
36,vector0,NA,NA,32860.136719,54219226,73.018990,36.702671,0.024148,0.048293,
37,vector0,NA,NA,31830.117188,52519691,69.583275,34.975719,0.023012,0.046021,
38,vector0,NA,NA,34433.640625,56815507,69.682266,35.025478,0.023045,0.046086,
39,vector0,NA,NA,31157.429688,51409760,70.038498,35.204533,0.023163,0.046322,
