block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_time(us),aic_cube_ratio,aic_scalar_time(us),aic_scalar_ratio,aic_mte1_time(us),aic_mte1_ratio,aic_mte2_time(us),aic_mte2_ratio,aic_mte3_time(us),aic_mte3_ratio,aic_fixpipe_time(us),aic_fixpipe_ratio,aic_icache_miss_rate,aiv_time(us),aiv_total_cycles,aiv_vec_time(us),aiv_vec_ratio,aiv_scalar_time(us),aiv_scalar_ratio,aiv_mte2_time(us),aiv_mte2_ratio,aiv_mte3_time(us),aiv_mte3_ratio,aiv_icache_miss_rate,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34197.507812,56425886,13586.327148,0.397290,14884.700195,0.435257,11107.833008,0.324814,2.619394,0.000077,0.000000,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31374.566406,51768036,12541.226562,0.399726,13741.488281,0.437982,10041.645508,0.320057,2.273333,0.000072,0.000000,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33865.000000,55877246,13586.327148,0.401191,14886.191406,0.439575,10759.747070,0.317725,2.499394,0.000074,0.000000,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31118.640625,51345756,12541.226562,0.403013,13740.729492,0.441559,9862.676758,0.316938,2.228485,0.000072,0.000000,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33606.628906,55450939,13586.327148,0.404275,14886.016602,0.442949,10567.931641,0.314460,2.456364,0.000073,0.000000,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31004.041016,51156667,12541.226562,0.404503,13741.774414,0.443225,9579.375000,0.308972,2.230909,0.000072,0.000000,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33568.953125,55388772,13586.327148,0.404729,14887.041992,0.443477,10382.283203,0.309282,2.486061,0.000074,0.000000,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30859.025391,50917390,12541.226562,0.406404,13741.820312,0.445310,9560.475586,0.309811,2.319394,0.000075,0.000000,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33403.886719,55116415,13586.327148,0.406729,14887.271484,0.445675,10331.602539,0.309293,2.446061,0.000073,0.000000,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31814.832031,52494472,12541.226562,0.394194,13742.264648,0.431945,10507.255859,0.330263,2.343030,0.000074,0.000000,
