block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_wait_ratio,aic_mte1_wait_ratio,aic_mte2_wait_ratio,aic_mte3_wait_ratio,aiv_time(us),aiv_total_cycles,aiv_vec_total_cflt_ratio,aiv_vec_bankgroup_cflt_ratio,aiv_vec_bank_cflt_ratio,aiv_vec_resc_cflt_ratio,aiv_vec_mte_cflt_ratio,aiv_vec_wait_ratio,aiv_mte1_wait_ratio,aiv_mte2_wait_ratio,aiv_mte3_wait_ratio,
0,vector0,NA,NA,NA,NA,NA,NA,34197.507812,56425886,0.057565,0.050959,0.006606,0.000000,0.000000,0.363384,0.000000,0.000000,0.017931,
1,vector0,NA,NA,NA,NA,NA,NA,31374.566406,51768036,0.057917,0.051271,0.006646,0.000000,0.000000,0.357839,0.000000,0.000000,0.018041,
2,vector0,NA,NA,NA,NA,NA,NA,33865.000000,55877246,0.058130,0.051459,0.006671,0.000000,0.000000,0.355900,0.000000,0.000000,0.018107,
3,vector0,NA,NA,NA,NA,NA,NA,31118.640625,51345756,0.058394,0.051693,0.006701,0.000000,0.000000,0.352237,0.000000,0.000000,0.018189,
4,vector0,NA,NA,NA,NA,NA,NA,33606.628906,55450939,0.058577,0.051855,0.006722,0.000000,0.000000,0.350325,0.000000,0.000000,0.018246,
5,vector0,NA,NA,NA,NA,NA,NA,31004.041016,51156667,0.058610,0.051884,0.006726,0.000000,0.000000,0.349245,0.000000,0.000000,0.018256,
6,vector0,NA,NA,NA,NA,NA,NA,33568.953125,55388772,0.058642,0.051913,0.006729,0.000000,0.000000,0.349023,0.000000,0.000000,0.018267,
7,vector0,NA,NA,NA,NA,NA,NA,30859.025391,50917390,0.058885,0.052128,0.006757,0.000000,0.000000,0.348528,0.000000,0.000000,0.018342,
8,vector0,NA,NA,NA,NA,NA,NA,33403.886719,55116415,0.058932,0.052169,0.006763,0.000000,0.000000,0.347985,0.000000,0.000000,0.018357,
9,vector0,NA,NA,NA,NA,NA,NA,31814.832031,52494472,0.057116,0.050562,0.006554,0.000000,0.000000,0.366897,0.000000,0.000000,0.017791,
10,vector0,NA,NA,NA,NA,NA,NA,34425.039062,56801317,0.057184,0.050622,0.006562,0.000000,0.000000,0.366396,0.000000,0.000000,0.017812,
11,vector0,NA,NA,NA,NA,NA,NA,32156.968750,53058998,0.056508,0.050024,0.006485,0.000000,0.000000,0.375408,0.000000,0.000000,0.017602,
12,vector0,NA,NA,NA,NA,NA,NA,34776.910156,57381901,0.056605,0.050110,0.006496,0.000000,0.000000,0.374225,0.000000,0.000000,0.017632,
13,vector0,NA,NA,NA,NA,NA,NA,30271.324219,49947684,0.060028,0.053140,0.006888,0.000000,0.000000,0.335656,0.000000,0.000000,0.018698,
14,vector0,NA,NA,NA,NA,NA,NA,32789.250000,54102266,0.060037,0.053147,0.006889,0.000000,0.000000,0.335713,0.000000,0.000000,0.018701,
15,vector0,NA,NA,NA,NA,NA,NA,32170.298828,53080993,0.056485,0.050003,0.006482,0.000000,0.000000,0.372555,0.000000,0.000000,0.017595,
16,vector0,NA,NA,NA,NA,NA,NA,34783.859375,57393370,0.056594,0.050100,0.006494,0.000000,0.000000,0.371608,0.000000,0.000000,0.017629,
17,vector0,NA,NA,NA,NA,NA,NA,31869.310547,52584363,0.057018,0.050475,0.006543,0.000000,0.000000,0.368690,0.000000,0.000000,0.017761,
18,vector0,NA,NA,NA,NA,NA,NA,34463.824219,56865307,0.057120,0.050565,0.006555,0.000000,0.000000,0.367569,0.000000,0.000000,0.017792,
