block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_ratio,aic_cube_fp16_ratio,aic_cube_int8_ratio,aic_cube_fops,aic_cube_total_instr_number,aic_cube_fp_instr_number,aic_cube_int_instr_number,aiv_time(us),aiv_total_cycles,aiv_vec_ratio,aiv_vec_fp32_ratio,aiv_vec_fp16_ratio,aiv_vec_int32_ratio,aiv_vec_int16_ratio,aiv_vec_misc_ratio,aiv_vec_fops,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,38773.167969,63975725,0.357896,0.118189,0.000000,0.000000,0.000000,0.013317,511180928,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,35529.769531,58624118,0.360524,0.119057,0.000000,0.000000,0.000000,0.013415,471859328,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,38373.921875,63316972,0.361620,0.119418,0.000000,0.000000,0.000000,0.013456,511180928,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,35161.429688,58016355,0.364301,0.120304,0.000000,0.000000,0.000000,0.013555,471859328,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,38000.476562,62700787,0.365174,0.120592,0.000000,0.000000,0.000000,0.013588,511180928,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,35094.667969,57906203,0.364994,0.120533,0.000000,0.000000,0.000000,0.013581,471859328,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,38014.816406,62724443,0.365036,0.120547,0.000000,0.000000,0.000000,0.013583,511180928,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,35016.527344,57777274,0.365808,0.120802,0.000000,0.000000,0.000000,0.013612,471859328,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,37913.140625,62556681,0.366015,0.120870,0.000000,0.000000,0.000000,0.013619,511180928,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,36014.351562,59423680,0.355673,0.117455,0.000000,0.000000,0.000000,0.013234,471859328,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,38973.367188,64306055,0.356058,0.117582,0.000000,0.000000,0.000000,0.013249,511180928,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,36340.335938,59961554,0.352482,0.116401,0.000000,0.000000,0.000000,0.013116,471859328,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,39309.835938,64861234,0.353010,0.116575,0.000000,0.000000,0.000000,0.013135,511180928,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,34445.753906,56835496,0.371870,0.122803,0.000000,0.000000,0.000000,0.013837,471859328,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,37311.000000,61563148,0.371922,0.122820,0.000000,0.000000,0.000000,0.013839,511180928,
15,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,36358.414062,59991379,0.352307,0.116343,0.000000,0.000000,0.000000,0.013109,471859328,
16,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,39320.410156,64878677,0.352915,0.116544,0.000000,0.000000,0.000000,0.013132,511180928,
17,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,36100.769531,59566274,0.354821,0.117173,0.000000,0.000000,0.000000,0.013203,471859328,
18,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,39047.550781,64428460,0.355381,0.117358,0.000000,0.000000,0.000000,0.013224,511180928,
19,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,35136.980469,57976020,0.364554,0.120387,0.000000,0.000000,0.000000,0.013565,471859328,
20,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,38046.496094,62776715,0.364732,0.120446,0.000000,0.000000,0.000000,0.013571,511180928,
21,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,34976.183594,57710704,0.366230,0.120941,0.000000,0.000000,0.000000,0.013627,471859328,
22,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,37857.980469,62465669,0.366548,0.121046,0.000000,0.000000,0.000000,0.013639,511180928,
23,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,35281.910156,58215153,0.363057,0.119893,0.000000,0.000000,0.000000,0.013509,471859328,
24,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,38160.230469,62964379,0.363645,0.120087,0.000000,0.000000,0.000000,0.013531,511180928,
