block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_write_cache_hit,aic_write_cache_miss_allocate,aic_r0_read_cache_hit,aic_r0_read_cache_miss_allocate,aic_r1_read_cache_hit,aic_r1_read_cache_miss_allocate,aic_write_hit_rate(%),aic_read_hit_rate(%),aic_total_hit_rate(%),aiv_time(us),aiv_total_cycles,aiv_write_cache_hit,aiv_write_cache_miss_allocate,aiv_r0_read_cache_hit,aiv_r0_read_cache_miss_allocate,aiv_r1_read_cache_hit,aiv_r1_read_cache_miss_allocate,aiv_write_hit_rate(%),aiv_read_hit_rate(%),aiv_total_hit_rate(%),
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38773.167969,63975725,16,416,3398986,6975,3406281,6977,3.703704,99.795403,99.789314,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35529.769531,58624118,16,384,3150058,1017,3142724,1004,4.000000,99.967896,99.961800,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38373.921875,63316972,16,416,3404019,1981,3411360,1987,3.703704,99.941818,99.935722,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35161.429688,58016355,16,384,3143025,2174,3147426,2178,4.000000,99.930870,99.924774,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38000.476562,62700787,16,416,3411812,128,3407407,128,3.703704,99.996246,99.990150,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35094.667969,57906203,16,384,3143114,961,3149897,959,4.000000,99.969505,99.963402,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38014.816406,62724443,16,416,3393856,19336,3387091,19320,3.703704,99.433167,99.427101,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35016.527344,57777274,16,384,3144386,2757,3145169,2747,4.000000,99.912567,99.906479,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37913.140625,62556681,16,416,3408714,1538,3407945,1534,3.703704,99.954956,99.948860,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36014.351562,59423680,16,384,3145500,192,3149303,192,4.000000,99.993904,99.987801,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38973.367188,64306055,16,416,3403821,7946,3400038,7926,3.703704,99.767265,99.761185,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36340.335938,59961554,16,384,3147314,576,3146849,576,4.000000,99.981705,99.975609,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39309.835938,64861234,16,416,3408929,832,3409394,832,3.703704,99.975601,99.969505,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34445.753906,56835496,16,384,3143627,4656,3142468,4692,4.000000,99.851509,99.845421,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37311.000000,61563148,16,416,3408733,763,3409846,773,3.703704,99.977478,99.971382,
