block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_l1_read_bw(GB/s),aic_l1_write_bw(GB/s),aic_main_mem_read_bw(GB/s),aic_main_mem_write_bw(GB/s),aic_mte1_instructions,aic_mte1_ratio,aic_mte2_instructions,aic_mte2_ratio,aic_mte3_instructions,aic_mte3_ratio,aiv_time(us),aiv_total_cycles,aiv_ub_to_gm_bw(GB/s),aiv_gm_to_ub_bw(GB/s),aiv_main_mem_read_bw(GB/s),aiv_main_mem_write_bw(GB/s),aiv_mte2_instructions,aiv_mte2_ratio,aiv_mte3_instructions,aiv_mte3_ratio,read_main_memory_datas(KB),write_main_memory_datas(KB),GM_to_L1_datas(KB),GM_to_L1_bw_usage_rate(%),L1_to_GM_datas(KB)(estimate),L1_to_GM_bw_usage_rate(%)(estimate),L0C_to_L1_datas(KB),L0C_to_L1_bw_usage_rate(%),L0C_to_GM_datas(KB),L0C_to_GM_bw_usage_rate(%),GM_to_UB_datas(KB),GM_to_UB_bw_usage_rate(%),UB_to_GM_datas(KB),UB_to_GM_bw_usage_rate(%),
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38773.167969,63975725,0.005116,20.965843,20.965897,0.005165,53277,0.283396,14,0.000068,852402.375000,210.000000,NA,NA,NA,NA,NA,NA,NA,NA,852400.125000,10.751714,208.000000,0.002907,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35529.769531,58624118,0.005154,21.120230,21.120289,0.005207,49180,0.281392,13,0.000062,786850.375000,194.000000,NA,NA,NA,NA,NA,NA,NA,NA,786848.125000,10.830887,192.000000,0.002928,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38373.921875,63316972,0.005169,21.184370,21.184425,0.005219,53278,0.279195,14,0.000063,852418.375000,210.000000,NA,NA,NA,NA,NA,NA,NA,NA,852416.125000,10.863780,208.000000,0.002937,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35161.429688,58016355,0.005208,21.341478,21.341537,0.005262,49180,0.277643,13,0.000062,786850.375000,194.000000,NA,NA,NA,NA,NA,NA,NA,NA,786848.125000,10.944348,192.000000,0.002959,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38000.476562,62700787,0.005220,21.392960,21.393015,0.005270,53279,0.275509,14,0.000063,852434.375000,210.000000,NA,NA,NA,NA,NA,NA,NA,NA,852432.125000,10.970748,208.000000,0.002966,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35094.667969,57906203,0.005217,21.382511,21.382572,0.005272,49181,0.273202,13,0.000064,786866.375000,194.000000,NA,NA,NA,NA,NA,NA,NA,NA,786864.125000,10.965391,192.000000,0.002964,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38014.816406,62724443,0.005218,21.385290,21.385345,0.005268,53280,0.272927,14,0.000063,852450.375000,210.000000,NA,NA,NA,NA,NA,NA,NA,NA,852448.125000,10.966816,208.000000,0.002965,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35016.527344,57777274,0.005229,21.430662,21.430723,0.005284,49182,0.270913,13,0.000064,786882.375000,194.000000,NA,NA,NA,NA,NA,NA,NA,NA,786880.125000,10.990083,192.000000,0.002971,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37913.140625,62556681,0.005232,21.443043,21.443100,0.005282,53281,0.270405,14,0.000065,852466.375000,210.000000,NA,NA,NA,NA,NA,NA,NA,NA,852464.125000,10.996431,208.000000,0.002973,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36014.351562,59423680,0.005084,20.837322,20.837381,0.005137,49183,0.292552,13,0.000064,786898.375000,194.000000,NA,NA,NA,NA,NA,NA,NA,NA,786896.125000,10.685806,192.000000,0.002889,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38973.367188,64306055,0.005090,20.859709,20.859764,0.005139,53281,0.291734,14,0.000065,852466.375000,210.000000,NA,NA,NA,NA,NA,NA,NA,NA,852464.125000,10.697287,208.000000,0.002892,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36340.335938,59961554,0.005039,20.650824,20.650883,0.005091,49184,0.296892,13,0.000066,786914.375000,194.000000,NA,NA,NA,NA,NA,NA,NA,NA,786912.125000,10.590165,192.000000,0.002863,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39309.835938,64861234,0.005046,20.681940,20.681995,0.005095,53283,0.295958,14,0.000066,852498.375000,210.000000,NA,NA,NA,NA,NA,NA,NA,NA,852496.125000,10.606124,208.000000,0.002867,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34445.753906,56835496,0.005316,21.787102,21.787163,0.005371,49185,0.258461,13,0.000068,786930.375000,194.000000,NA,NA,NA,NA,NA,NA,NA,NA,786928.125000,11.172873,192.000000,0.003020,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37311.000000,61563148,0.005317,21.790329,21.790384,0.005368,53284,0.258518,14,0.000069,852514.375000,210.000000,NA,NA,NA,NA,NA,NA,NA,NA,852512.125000,11.174528,208.000000,0.003021,
15,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36358.414062,59991379,0.005036,20.641396,20.641455,0.005089,49186,0.297799,13,0.000065,786946.375000,194.000000,NA,NA,NA,NA,NA,NA,NA,NA,786944.125000,10.585332,192.000000,0.002861,
16,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39320.410156,64878677,0.005045,20.677155,20.677208,0.005093,53285,0.296656,14,0.000066,852530.375000,210.000000,NA,NA,NA,NA,NA,NA,NA,NA,852528.125000,10.603668,208.000000,0.002866,
17,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36100.769531,59566274,0.005072,20.789555,20.789614,0.005125,49188,0.292848,13,0.000065,786978.375000,194.000000,NA,NA,NA,NA,NA,NA,NA,NA,786976.125000,10.661310,192.000000,0.002882,
18,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39047.550781,64428460,0.005080,20.822035,20.822088,0.005129,53286,0.291632,14,0.000065,852546.375000,210.000000,NA,NA,NA,NA,NA,NA,NA,NA,852544.125000,10.677966,208.000000,0.002886,
19,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35136.980469,57976020,0.005211,21.360235,21.360296,0.005265,49189,0.273186,13,0.000064,786994.375000,194.000000,NA,NA,NA,NA,NA,NA,NA,NA,786992.125000,10.953966,192.000000,0.002961,
20,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38046.496094,62776715,0.005214,21.371092,21.371149,0.005264,53289,0.272743,14,0.000065,852594.375000,210.000000,NA,NA,NA,NA,NA,NA,NA,NA,852592.125000,10.959534,208.000000,0.002962,
21,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34976.183594,57710704,0.005235,21.459309,21.459368,0.005290,49191,0.273646,13,0.000064,787026.375000,194.000000,NA,NA,NA,NA,NA,NA,NA,NA,787024.125000,11.004774,192.000000,0.002975,
22,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37857.980469,62465669,0.005240,21.478317,21.478374,0.005290,53291,0.272516,14,0.000063,852626.375000,210.000000,NA,NA,NA,NA,NA,NA,NA,NA,852624.125000,11.014522,208.000000,0.002977,
23,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35281.910156,58215153,0.005190,21.274221,21.274284,0.005244,49193,0.276942,13,0.000062,787058.375000,194.000000,NA,NA,NA,NA,NA,NA,NA,NA,787056.125000,10.909857,192.000000,0.002949,
24,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38160.230469,62964379,0.005198,21.308998,21.309053,0.005248,53293,0.275159,14,0.000063,852658.375000,210.000000,NA,NA,NA,NA,NA,NA,NA,NA,852656.125000,10.927691,208.000000,0.002954,
25,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35452.347656,58496374,0.005165,21.172808,21.172869,0.005219,49195,0.283088,13,0.000063,787090.375000,194.000000,NA,NA,NA,NA,NA,NA,NA,NA,787088.125000,10.857850,192.000000,0.002935,
26,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38332.640625,63248860,0.005175,21.214748,21.214804,0.005225,53297,0.280766,14,0.000064,852722.375000,210.000000,NA,NA,NA,NA,NA,NA,NA,NA,852720.125000,10.879358,208.000000,0.002940,
27,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35717.617188,58934067,0.005126,21.016842,21.016901,0.005180,49198,0.284425,13,0.000067,787138.375000,194.000000,NA,NA,NA,NA,NA,NA,NA,NA,787136.125000,10.777867,192.000000,0.002913,
28,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38641.640625,63758708,0.005133,21.046288,21.046343,0.005183,53300,0.283512,14,0.000067,852770.375000,210.000000,NA,NA,NA,NA,NA,NA,NA,NA,852768.125000,10.792968,208.000000,0.002917,
29,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36003.378906,59405575,0.005086,20.852148,20.852207,0.005139,49203,0.293260,13,0.000066,787218.375000,194.000000,NA,NA,NA,NA,NA,NA,NA,NA,787216.125000,10.693410,192.000000,0.002890,
30,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38954.207031,64274445,0.005092,20.879372,20.879427,0.005141,53305,0.292097,14,0.000066,852850.375000,210.000000,NA,NA,NA,NA,NA,NA,NA,NA,852848.125000,10.707371,208.000000,0.002893,
31,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34348.066406,56674307,0.005331,21.859283,21.859346,0.005386,49208,0.258009,13,0.000067,787298.375000,194.000000,NA,NA,NA,NA,NA,NA,NA,NA,787296.125000,11.209888,192.000000,0.003029,
32,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37244.558594,61453521,0.005326,21.840672,21.840729,0.005377,53312,0.258460,14,0.000067,852962.375000,210.000000,NA,NA,NA,NA,NA,NA,NA,NA,852960.125000,11.200344,208.000000,0.003026,
33,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34437.851562,56822451,0.005317,21.805395,21.805456,0.005372,49215,0.258171,13,0.000069,787410.375000,194.000000,NA,NA,NA,NA,NA,NA,NA,NA,787408.125000,11.182254,192.000000,0.003021,
34,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37300.660156,61546087,0.005318,21.811913,21.811970,0.005369,53322,0.258069,14,0.000070,853122.375000,210.000000,NA,NA,NA,NA,NA,NA,NA,NA,853120.125000,11.185596,208.000000,0.003022,
