block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_l0a_read_bw(GB/s),aic_l0a_write_bw(GB/s),aic_l0b_read_bw(GB/s),aic_l0b_write_bw(GB/s),aic_l0c_read_bw_cube(GB/s),aic_l0c_write_bw_cube(GB/s),aiv_time(us),aiv_total_cycles,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,38773.167969,63975725,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,35529.769531,58624118,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,38373.921875,63316972,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,35161.429688,58016355,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,38000.476562,62700787,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,35094.667969,57906203,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,38014.816406,62724443,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,35016.527344,57777274,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,37913.140625,62556681,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,36014.351562,59423680,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,38973.367188,64306055,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,36340.335938,59961554,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,39309.835938,64861234,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,34445.753906,56835496,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,37311.000000,61563148,
15,vector0,NA,NA,NA,NA,NA,NA,NA,NA,36358.414062,59991379,
16,vector0,NA,NA,NA,NA,NA,NA,NA,NA,39320.410156,64878677,
17,vector0,NA,NA,NA,NA,NA,NA,NA,NA,36100.769531,59566274,
18,vector0,NA,NA,NA,NA,NA,NA,NA,NA,39047.550781,64428460,
19,vector0,NA,NA,NA,NA,NA,NA,NA,NA,35136.980469,57976020,
20,vector0,NA,NA,NA,NA,NA,NA,NA,NA,38046.496094,62776715,
21,vector0,NA,NA,NA,NA,NA,NA,NA,NA,34976.183594,57710704,
22,vector0,NA,NA,NA,NA,NA,NA,NA,NA,37857.980469,62465669,
23,vector0,NA,NA,NA,NA,NA,NA,NA,NA,35281.910156,58215153,
24,vector0,NA,NA,NA,NA,NA,NA,NA,NA,38160.230469,62964379,
25,vector0,NA,NA,NA,NA,NA,NA,NA,NA,35452.347656,58496374,
26,vector0,NA,NA,NA,NA,NA,NA,NA,NA,38332.640625,63248860,
27,vector0,NA,NA,NA,NA,NA,NA,NA,NA,35717.617188,58934067,
28,vector0,NA,NA,NA,NA,NA,NA,NA,NA,38641.640625,63758708,
29,vector0,NA,NA,NA,NA,NA,NA,NA,NA,36003.378906,59405575,
30,vector0,NA,NA,NA,NA,NA,NA,NA,NA,38954.207031,64274445,
31,vector0,NA,NA,NA,NA,NA,NA,NA,NA,34348.066406,56674307,
32,vector0,NA,NA,NA,NA,NA,NA,NA,NA,37244.558594,61453521,
33,vector0,NA,NA,NA,NA,NA,NA,NA,NA,34437.851562,56822451,
34,vector0,NA,NA,NA,NA,NA,NA,NA,NA,37300.660156,61546087,
35,vector0,NA,NA,NA,NA,NA,NA,NA,NA,34353.390625,56683095,
36,vector0,NA,NA,NA,NA,NA,NA,NA,NA,37231.230469,61431532,
37,vector0,NA,NA,NA,NA,NA,NA,NA,NA,35950.632812,59318545,
38,vector0,NA,NA,NA,NA,NA,NA,NA,NA,38905.347656,64193822,
39,vector0,NA,NA,NA,NA,NA,NA,NA,NA,35335.570312,58303692,
