block_id,sub_block_id,aic_time(us),aic_total_cycles,aiv_time(us),aiv_total_cycles,aiv_ub_read_bw_vector(GB/s),aiv_ub_write_bw_vector(GB/s),aiv_ub_read_bw_scalar(GB/s),aiv_ub_write_bw_scalar(GB/s),
0,vector0,NA,NA,38773.167969,63975725,61.883362,31.105396,0.020466,0.040928,
1,vector0,NA,NA,35529.769531,58624118,62.337688,31.333759,0.020616,0.041229,
2,vector0,NA,NA,38373.921875,63316972,62.527203,31.429020,0.020679,0.041354,
3,vector0,NA,NA,35161.429688,58016355,62.990719,31.662003,0.020832,0.041661,
4,vector0,NA,NA,38000.476562,62700787,63.141682,31.737885,0.020882,0.041760,
5,vector0,NA,NA,35094.667969,57906203,63.110550,31.722233,0.020872,0.041740,
6,vector0,NA,NA,38014.816406,62724443,63.117863,31.725912,0.020874,0.041745,
7,vector0,NA,NA,35016.527344,57777274,63.251381,31.793022,0.020918,0.041833,
8,vector0,NA,NA,37913.140625,62556681,63.287132,31.810995,0.020930,0.041857,
9,vector0,NA,NA,36014.351562,59423680,61.498920,30.912155,0.020339,0.040674,
10,vector0,NA,NA,38973.367188,64306055,61.565479,30.945614,0.020360,0.040718,
11,vector0,NA,NA,36340.335938,59961554,60.947254,30.634865,0.020156,0.040309,
12,vector0,NA,NA,39309.835938,64861234,61.038513,30.680737,0.020186,0.040369,
13,vector0,NA,NA,34445.753906,56835496,64.299469,32.319839,0.021265,0.042526,
14,vector0,NA,NA,37311.000000,61563148,64.308487,32.324375,0.021268,0.042532,
15,vector0,NA,NA,36358.414062,59991379,60.916950,30.619631,0.020146,0.040289,
16,vector0,NA,NA,39320.410156,64878677,61.022099,30.672487,0.020181,0.040359,
17,vector0,NA,NA,36100.769531,59566274,61.351704,30.838158,0.020290,0.040577,
18,vector0,NA,NA,39047.550781,64428460,61.448513,30.886822,0.020322,0.040641,
19,vector0,NA,NA,35136.980469,57976020,63.034550,31.684032,0.020846,0.041690,
20,vector0,NA,NA,38046.496094,62776715,63.065308,31.699495,0.020856,0.041710,
21,vector0,NA,NA,34976.183594,57710704,63.324341,31.829695,0.020942,0.041881,
22,vector0,NA,NA,37857.980469,62465669,63.379345,31.857346,0.020960,0.041918,
23,vector0,NA,NA,35281.910156,58215153,62.775620,31.553883,0.020761,0.041518,
24,vector0,NA,NA,38160.230469,62964379,62.877346,31.605017,0.020794,0.041586,
25,vector0,NA,NA,35452.347656,58496374,62.473824,31.402187,0.020661,0.041319,
26,vector0,NA,NA,38332.640625,63248860,62.594540,31.462866,0.020701,0.041399,
27,vector0,NA,NA,35717.617188,58934067,62.009842,31.168968,0.020508,0.041012,
28,vector0,NA,NA,38641.640625,63758708,62.093998,31.211271,0.020535,0.041067,
29,vector0,NA,NA,36003.378906,59405575,61.517662,30.921577,0.020345,0.040686,
30,vector0,NA,NA,38954.207031,64274445,61.595760,30.960835,0.020371,0.040738,
31,vector0,NA,NA,34348.066406,56674307,64.482338,32.411758,0.021325,0.042647,
32,vector0,NA,NA,37244.558594,61453521,64.423210,32.382038,0.021306,0.042608,
33,vector0,NA,NA,34437.851562,56822451,64.314224,32.327255,0.021270,0.042536,
34,vector0,NA,NA,37300.660156,61546087,64.326317,32.333336,0.021274,0.042544,
35,vector0,NA,NA,34353.390625,56683095,64.472351,32.406734,0.021322,0.042640,
36,vector0,NA,NA,37231.230469,61431532,64.446274,32.393631,0.021313,0.042623,
37,vector0,NA,NA,35950.632812,59318545,61.607922,30.966944,0.020375,0.040746,
38,vector0,NA,NA,38905.347656,64193822,61.673115,30.999716,0.020396,0.040789,
39,vector0,NA,NA,35335.570312,58303692,61.757019,31.041885,0.020424,0.040845,
