block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_time(us),aic_cube_ratio,aic_scalar_time(us),aic_scalar_ratio,aic_mte1_time(us),aic_mte1_ratio,aic_mte2_time(us),aic_mte2_ratio,aic_mte3_time(us),aic_mte3_ratio,aic_fixpipe_time(us),aic_fixpipe_ratio,aic_icache_miss_rate,aiv_time(us),aiv_total_cycles,aiv_vec_time(us),aiv_vec_ratio,aiv_scalar_time(us),aiv_scalar_ratio,aiv_mte2_time(us),aiv_mte2_ratio,aiv_mte3_time(us),aiv_mte3_ratio,aiv_icache_miss_rate,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38773.167969,63975725,13876.770508,0.357896,20431.988281,0.526962,10988.155273,0.283396,2.625455,0.000068,0.000000,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35529.769531,58624118,12809.328125,0.360524,18860.703125,0.530842,9997.799805,0.281392,2.218788,0.000062,0.000000,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38373.921875,63316972,13876.770508,0.361620,20432.662109,0.532462,10713.805664,0.279195,2.429091,0.000063,0.000000,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35161.429688,58016355,12809.328125,0.364301,18861.189453,0.536417,9762.315430,0.277643,2.191515,0.000062,0.000000,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38000.476562,62700787,13876.770508,0.365174,20434.017578,0.537731,10469.488281,0.275509,2.395758,0.000063,0.000000,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35094.667969,57906203,12809.328125,0.364994,18862.332031,0.537470,9587.935547,0.273202,2.239394,0.000064,0.000000,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38014.816406,62724443,13876.770508,0.365036,20434.037109,0.537528,10375.254883,0.272927,2.397576,0.000063,0.000000,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35016.527344,57777274,12809.328125,0.365808,18862.765625,0.538682,9486.418945,0.270913,2.240606,0.000064,0.000000,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37913.140625,62556681,13876.770508,0.366015,20434.632812,0.538985,10251.915039,0.270405,2.467879,0.000065,0.000000,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36014.351562,59423680,12809.328125,0.355673,18862.884766,0.523760,10536.077148,0.292552,2.315758,0.000064,0.000000,
