block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_wait_ratio,aic_mte1_wait_ratio,aic_mte2_wait_ratio,aic_mte3_wait_ratio,aiv_time(us),aiv_total_cycles,aiv_vec_total_cflt_ratio,aiv_vec_bankgroup_cflt_ratio,aiv_vec_bank_cflt_ratio,aiv_vec_resc_cflt_ratio,aiv_vec_mte_cflt_ratio,aiv_vec_wait_ratio,aiv_mte1_wait_ratio,aiv_mte2_wait_ratio,aiv_mte3_wait_ratio,
0,vector0,NA,NA,NA,NA,NA,NA,38773.167969,63975725,0.050771,0.044945,0.005826,0.000000,0.000000,0.289333,0.000000,0.000000,0.015815,
1,vector0,NA,NA,NA,NA,NA,NA,35529.769531,58624118,0.051144,0.045275,0.005869,0.000000,0.000000,0.287350,0.000000,0.000000,0.015931,
2,vector0,NA,NA,NA,NA,NA,NA,38373.921875,63316972,0.051299,0.045413,0.005887,0.000000,0.000000,0.285252,0.000000,0.000000,0.015980,
3,vector0,NA,NA,NA,NA,NA,NA,35161.429688,58016355,0.051680,0.045749,0.005930,0.000000,0.000000,0.282669,0.000000,0.000000,0.016098,
4,vector0,NA,NA,NA,NA,NA,NA,38000.476562,62700787,0.051804,0.045859,0.005945,0.000000,0.000000,0.280572,0.000000,0.000000,0.016137,
5,vector0,NA,NA,NA,NA,NA,NA,35094.667969,57906203,0.051778,0.045836,0.005942,0.000000,0.000000,0.275904,0.000000,0.000000,0.016129,
6,vector0,NA,NA,NA,NA,NA,NA,38014.816406,62724443,0.051784,0.045842,0.005942,0.000000,0.000000,0.276050,0.000000,0.000000,0.016131,
7,vector0,NA,NA,NA,NA,NA,NA,35016.527344,57777274,0.051894,0.045939,0.005955,0.000000,0.000000,0.276584,0.000000,0.000000,0.016165,
8,vector0,NA,NA,NA,NA,NA,NA,37913.140625,62556681,0.051923,0.045965,0.005958,0.000000,0.000000,0.276181,0.000000,0.000000,0.016174,
9,vector0,NA,NA,NA,NA,NA,NA,36014.351562,59423680,0.050456,0.044666,0.005790,0.000000,0.000000,0.297528,0.000000,0.000000,0.015717,
10,vector0,NA,NA,NA,NA,NA,NA,38973.367188,64306055,0.050510,0.044714,0.005796,0.000000,0.000000,0.296743,0.000000,0.000000,0.015734,
11,vector0,NA,NA,NA,NA,NA,NA,36340.335938,59961554,0.050003,0.044265,0.005738,0.000000,0.000000,0.305361,0.000000,0.000000,0.015576,
12,vector0,NA,NA,NA,NA,NA,NA,39309.835938,64861234,0.050078,0.044331,0.005747,0.000000,0.000000,0.304023,0.000000,0.000000,0.015599,
13,vector0,NA,NA,NA,NA,NA,NA,34445.753906,56835496,0.052754,0.046700,0.006054,0.000000,0.000000,0.264814,0.000000,0.000000,0.016432,
14,vector0,NA,NA,NA,NA,NA,NA,37311.000000,61563148,0.052761,0.046706,0.006055,0.000000,0.000000,0.265011,0.000000,0.000000,0.016435,
15,vector0,NA,NA,NA,NA,NA,NA,36358.414062,59991379,0.049978,0.044243,0.005735,0.000000,0.000000,0.302789,0.000000,0.000000,0.015568,
16,vector0,NA,NA,NA,NA,NA,NA,39320.410156,64878677,0.050065,0.044320,0.005745,0.000000,0.000000,0.301851,0.000000,0.000000,0.015595,
17,vector0,NA,NA,NA,NA,NA,NA,36100.769531,59566274,0.050335,0.044559,0.005776,0.000000,0.000000,0.297877,0.000000,0.000000,0.015679,
18,vector0,NA,NA,NA,NA,NA,NA,39047.550781,64428460,0.050414,0.044629,0.005785,0.000000,0.000000,0.296758,0.000000,0.000000,0.015704,
19,vector0,NA,NA,NA,NA,NA,NA,35136.980469,57976020,0.051716,0.045781,0.005935,0.000000,0.000000,0.277967,0.000000,0.000000,0.016109,
20,vector0,NA,NA,NA,NA,NA,NA,38046.496094,62776715,0.051741,0.045803,0.005937,0.000000,0.000000,0.277699,0.000000,0.000000,0.016117,
21,vector0,NA,NA,NA,NA,NA,NA,34976.183594,57710704,0.051953,0.045992,0.005962,0.000000,0.000000,0.279423,0.000000,0.000000,0.016183,
22,vector0,NA,NA,NA,NA,NA,NA,37857.980469,62465669,0.051999,0.046032,0.005967,0.000000,0.000000,0.278320,0.000000,0.000000,0.016197,
23,vector0,NA,NA,NA,NA,NA,NA,35281.910156,58215153,0.051503,0.045593,0.005910,0.000000,0.000000,0.280387,0.000000,0.000000,0.016043,
24,vector0,NA,NA,NA,NA,NA,NA,38160.230469,62964379,0.051587,0.045667,0.005920,0.000000,0.000000,0.278661,0.000000,0.000000,0.016069,
25,vector0,NA,NA,NA,NA,NA,NA,35452.347656,58496374,0.051256,0.045374,0.005882,0.000000,0.000000,0.288119,0.000000,0.000000,0.015966,
26,vector0,NA,NA,NA,NA,NA,NA,38332.640625,63248860,0.051355,0.045462,0.005893,0.000000,0.000000,0.285869,0.000000,0.000000,0.015997,
27,vector0,NA,NA,NA,NA,NA,NA,35717.617188,58934067,0.050875,0.045037,0.005838,0.000000,0.000000,0.288925,0.000000,0.000000,0.015847,
28,vector0,NA,NA,NA,NA,NA,NA,38641.640625,63758708,0.050944,0.045098,0.005846,0.000000,0.000000,0.288315,0.000000,0.000000,0.015869,
29,vector0,NA,NA,NA,NA,NA,NA,36003.378906,59405575,0.050471,0.044679,0.005792,0.000000,0.000000,0.297603,0.000000,0.000000,0.015722,
30,vector0,NA,NA,NA,NA,NA,NA,38954.207031,64274445,0.050535,0.044736,0.005799,0.000000,0.000000,0.296556,0.000000,0.000000,0.015742,
31,vector0,NA,NA,NA,NA,NA,NA,34348.066406,56674307,0.052904,0.046833,0.006071,0.000000,0.000000,0.263830,0.000000,0.000000,0.016479,
32,vector0,NA,NA,NA,NA,NA,NA,37244.558594,61453521,0.052855,0.046790,0.006065,0.000000,0.000000,0.264238,0.000000,0.000000,0.016464,
33,vector0,NA,NA,NA,NA,NA,NA,34437.851562,56822451,0.052766,0.046711,0.006055,0.000000,0.000000,0.264635,0.000000,0.000000,0.016436,
34,vector0,NA,NA,NA,NA,NA,NA,37300.660156,61546087,0.052776,0.046719,0.006056,0.000000,0.000000,0.264474,0.000000,0.000000,0.016439,
35,vector0,NA,NA,NA,NA,NA,NA,34353.390625,56683095,0.052895,0.046825,0.006070,0.000000,0.000000,0.263582,0.000000,0.000000,0.016477,
36,vector0,NA,NA,NA,NA,NA,NA,37231.230469,61431532,0.052874,0.046806,0.006068,0.000000,0.000000,0.263907,0.000000,0.000000,0.016470,
37,vector0,NA,NA,NA,NA,NA,NA,35950.632812,59318545,0.050545,0.044745,0.005800,0.000000,0.000000,0.298059,0.000000,0.000000,0.015745,
38,vector0,NA,NA,NA,NA,NA,NA,38905.347656,64193822,0.050599,0.044792,0.005806,0.000000,0.000000,0.296881,0.000000,0.000000,0.015761,
39,vector0,NA,NA,NA,NA,NA,NA,35335.570312,58303692,0.050668,0.044853,0.005814,0.000000,0.000000,0.289941,0.000000,0.000000,0.015783,
