block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_ratio,aic_cube_fp16_ratio,aic_cube_int8_ratio,aic_cube_fops,aic_cube_total_instr_number,aic_cube_fp_instr_number,aic_cube_int_instr_number,aiv_time(us),aiv_total_cycles,aiv_vec_ratio,aiv_vec_fp32_ratio,aiv_vec_fp16_ratio,aiv_vec_int32_ratio,aiv_vec_int16_ratio,aiv_vec_misc_ratio,aiv_vec_fops,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,33634.777344,55497384,0.412572,0.136245,0.000000,0.000000,0.000000,0.015352,511180928,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,30958.441406,51081427,0.413759,0.136636,0.000000,0.000000,0.000000,0.015396,471859328,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,33547.359375,55353143,0.413647,0.136600,0.000000,0.000000,0.000000,0.015392,511180928,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,30956.933594,51078941,0.413779,0.136643,0.000000,0.000000,0.000000,0.015396,471859328,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,33543.222656,55346321,0.413698,0.136616,0.000000,0.000000,0.000000,0.015393,511180928,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,30967.083984,51095689,0.413643,0.136598,0.000000,0.000000,0.000000,0.015391,471859328,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,33556.468750,55368174,0.413535,0.136562,0.000000,0.000000,0.000000,0.015387,511180928,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,30978.966797,51115296,0.413485,0.136546,0.000000,0.000000,0.000000,0.015386,471859328,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,33556.246094,55367810,0.413538,0.136563,0.000000,0.000000,0.000000,0.015387,511180928,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,31027.287109,51195023,0.412841,0.136333,0.000000,0.000000,0.000000,0.015362,471859328,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,33611.593750,55459130,0.412857,0.136339,0.000000,0.000000,0.000000,0.015362,511180928,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,31035.761719,51209008,0.412728,0.136296,0.000000,0.000000,0.000000,0.015357,471859328,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,33627.687500,55485684,0.412659,0.136273,0.000000,0.000000,0.000000,0.015355,511180928,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,30996.570312,51144340,0.413250,0.136468,0.000000,0.000000,0.000000,0.015377,471859328,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,33563.273438,55379404,0.413451,0.136535,0.000000,0.000000,0.000000,0.015384,511180928,
