block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_write_cache_hit,aic_write_cache_miss_allocate,aic_r0_read_cache_hit,aic_r0_read_cache_miss_allocate,aic_r1_read_cache_hit,aic_r1_read_cache_miss_allocate,aic_write_hit_rate(%),aic_read_hit_rate(%),aic_total_hit_rate(%),aiv_time(us),aiv_total_cycles,aiv_write_cache_hit,aiv_write_cache_miss_allocate,aiv_r0_read_cache_hit,aiv_r0_read_cache_miss_allocate,aiv_r1_read_cache_hit,aiv_r1_read_cache_miss_allocate,aiv_write_hit_rate(%),aiv_read_hit_rate(%),aiv_total_hit_rate(%),
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33634.777344,55497384,16,416,3388138,7107,3388329,6973,3.703704,99.792656,99.786545,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30958.441406,51081427,16,384,3133587,955,3133695,966,4.000000,99.969360,99.963234,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33547.359375,55353143,16,416,3395987,1970,3395840,1998,3.703704,99.941612,99.935493,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30956.933594,51078941,16,384,3130491,2166,3130264,2186,4.000000,99.930542,99.924416,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33543.222656,55346321,16,416,3396050,272,3396269,260,3.703704,99.992165,99.986038,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30967.083984,51095689,16,384,3134230,952,3134205,968,4.000000,99.969383,99.963264,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33556.468750,55368174,16,416,3374641,19284,3374690,19244,3.703704,99.432404,99.426308,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30978.966797,51115296,16,384,3131031,2728,3130876,2776,4.000000,99.912186,99.906059,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33556.246094,55367810,16,416,3392911,1541,3393028,1531,3.703704,99.954750,99.948631,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31027.287109,51195023,16,384,3135004,190,3135223,194,4.000000,99.993881,99.987755,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33611.593750,55459130,16,416,3386614,8003,3386397,7997,3.703704,99.764328,99.758217,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31035.761719,51209008,16,384,3131172,577,3131247,575,4.000000,99.981613,99.975479,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33627.687500,55485684,16,416,3392818,828,3392737,836,3.703704,99.975487,99.969360,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30996.570312,51144340,16,384,3129059,2479,3128592,2545,4.000000,99.919785,99.913658,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33563.273438,55379404,16,416,3392187,774,3392600,762,3.703704,99.977371,99.971245,
15,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31030.833984,51200876,16,384,3131142,698,3131277,710,4.000000,99.977524,99.971397,
16,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33612.117188,55459996,16,416,3392533,1278,3392382,1282,3.703704,99.962288,99.956161,
17,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30999.015625,51148377,16,384,3129963,964,3130152,956,4.000000,99.969345,99.963211,
18,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33589.582031,55422808,16,416,3392026,1354,3391865,1334,3.703704,99.960396,99.954269,
19,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30982.816406,51121650,16,384,3128666,838,3128761,826,4.000000,99.973419,99.967285,
20,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33573.765625,55396712,16,416,3389298,641,3389213,643,3.703704,99.981056,99.974922,
21,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30953.812500,51073790,16,384,3127897,1799,3127866,1785,4.000000,99.942741,99.936615,
22,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33535.906250,55334250,16,416,3386807,3196,3386844,3204,3.703704,99.905609,99.899483,
23,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30958.531250,51081577,16,384,3126824,959,3126763,961,4.000000,99.969307,99.963173,
24,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33539.242188,55339750,16,416,3385513,3587,3385578,3581,3.703704,99.894257,99.888123,
25,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30969.423828,51099547,16,384,3126168,1786,3126011,1798,4.000000,99.942711,99.936577,
26,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33548.214844,55354551,16,416,3385078,1163,3385245,1141,3.703704,99.965981,99.959846,
27,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31010.318359,51167023,16,384,3121209,5552,3120762,5552,4.000000,99.822426,99.816299,
28,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33585.605469,55416250,16,416,3382112,2634,3382575,2618,3.703704,99.922417,99.916275,
29,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31017.076172,51178177,16,384,3123695,477,3123952,471,4.000000,99.984825,99.978683,
30,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33603.128906,55445158,16,416,3381254,2625,3381041,2587,3.703704,99.922989,99.916847,
31,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30952.730469,51072004,16,384,3120624,1540,3120419,1532,4.000000,99.950806,99.944656,
32,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33531.589844,55327123,16,416,3376408,3079,3376599,3101,3.703704,99.908562,99.902420,
33,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30998.462891,51147463,16,384,3116881,253,3116354,259,4.000000,99.991791,99.985634,
34,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33569.171875,55389136,16,416,3373375,2502,3373908,2490,3.703704,99.926071,99.919914,
35,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30985.171875,51125533,16,384,3107020,2508,3108043,2480,4.000000,99.919807,99.913643,
36,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33560.324219,55374537,16,416,3366594,505,3365605,499,3.703704,99.985092,99.978912,
37,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31044.474609,51223385,16,384,3098768,253,3098375,255,4.000000,99.991806,99.985611,
38,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33615.753906,55465991,16,416,3338759,4223,3339148,4225,3.703704,99.873657,99.867439,
39,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30425.347656,50201826,21,379,2953532,682,2953483,674,5.250000,99.977051,99.970642,
