block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_l1_read_bw(GB/s),aic_l1_write_bw(GB/s),aic_main_mem_read_bw(GB/s),aic_main_mem_write_bw(GB/s),aic_mte1_instructions,aic_mte1_ratio,aic_mte2_instructions,aic_mte2_ratio,aic_mte3_instructions,aic_mte3_ratio,aiv_time(us),aiv_total_cycles,aiv_ub_to_gm_bw(GB/s),aiv_gm_to_ub_bw(GB/s),aiv_main_mem_read_bw(GB/s),aiv_main_mem_write_bw(GB/s),aiv_mte2_instructions,aiv_mte2_ratio,aiv_mte3_instructions,aiv_mte3_ratio,read_main_memory_datas(KB),write_main_memory_datas(KB),GM_to_L1_datas(KB),GM_to_L1_bw_usage_rate(%),L1_to_GM_datas(KB)(estimate),L1_to_GM_bw_usage_rate(%)(estimate),L0C_to_L1_datas(KB),L0C_to_L1_bw_usage_rate(%),L0C_to_GM_datas(KB),L0C_to_GM_bw_usage_rate(%),GM_to_UB_datas(KB),GM_to_UB_bw_usage_rate(%),UB_to_GM_datas(KB),UB_to_GM_bw_usage_rate(%),
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33634.777344,55497384,0.005898,24.067177,24.067240,0.005954,53053,0.136495,14,0.000078,848818.375000,210.000000,NA,NA,NA,NA,NA,NA,NA,NA,848816.125000,12.342142,208.000000,0.003351,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30958.441406,51081427,0.005915,24.140268,24.140339,0.005976,48980,0.132594,13,0.000072,783650.375000,194.000000,NA,NA,NA,NA,NA,NA,NA,NA,783648.125000,12.379625,192.000000,0.003361,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33547.359375,55353143,0.005913,24.148540,24.148603,0.005970,53094,0.132820,14,0.000073,849474.375000,210.000000,NA,NA,NA,NA,NA,NA,NA,NA,849472.125000,12.383866,208.000000,0.003360,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30956.933594,51078941,0.005915,24.125671,24.125740,0.005976,48948,0.132477,13,0.000071,783138.375000,194.000000,NA,NA,NA,NA,NA,NA,NA,NA,783136.125000,12.372139,192.000000,0.003361,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33543.222656,55346321,0.005914,24.141056,24.141119,0.005971,53071,0.132580,14,0.000071,849106.375000,210.000000,NA,NA,NA,NA,NA,NA,NA,NA,849104.125000,12.380030,208.000000,0.003360,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30967.083984,51095689,0.005913,24.137966,24.138035,0.005974,48989,0.133735,13,0.000072,783794.375000,194.000000,NA,NA,NA,NA,NA,NA,NA,NA,783792.125000,12.378445,192.000000,0.003360,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33556.468750,55368174,0.005911,24.113791,24.113855,0.005968,53032,0.133992,14,0.000071,848482.375000,210.000000,NA,NA,NA,NA,NA,NA,NA,NA,848480.125000,12.366047,208.000000,0.003359,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30978.966797,51115296,0.005911,24.117380,24.117449,0.005972,48966,0.133946,13,0.000072,783426.375000,194.000000,NA,NA,NA,NA,NA,NA,NA,NA,783424.125000,12.367887,192.000000,0.003358,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33556.246094,55367810,0.005911,24.118046,24.118109,0.005968,53041,0.133899,14,0.000074,848626.375000,210.000000,NA,NA,NA,NA,NA,NA,NA,NA,848624.125000,12.368229,208.000000,0.003359,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31027.287109,51195023,0.005901,24.092113,24.092182,0.005963,48991,0.135358,13,0.000074,783826.375000,194.000000,NA,NA,NA,NA,NA,NA,NA,NA,783824.125000,12.354930,192.000000,0.003353,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33611.593750,55459130,0.005902,24.078331,24.078394,0.005958,53041,0.135540,14,0.000076,848626.375000,210.000000,NA,NA,NA,NA,NA,NA,NA,NA,848624.125000,12.347861,208.000000,0.003353,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31035.761719,51209008,0.005900,24.058495,24.058563,0.005961,48936,0.138253,13,0.000077,782946.375000,194.000000,NA,NA,NA,NA,NA,NA,NA,NA,782944.125000,12.337689,192.000000,0.003352,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33627.687500,55485684,0.005899,24.060453,24.060518,0.005956,53027,0.138102,14,0.000076,848402.375000,210.000000,NA,NA,NA,NA,NA,NA,NA,NA,848400.125000,12.338695,208.000000,0.003352,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30996.570312,51144340,0.005907,24.085466,24.085535,0.005969,48929,0.134408,13,0.000077,782834.375000,194.000000,NA,NA,NA,NA,NA,NA,NA,NA,782832.125000,12.351521,192.000000,0.003356,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33563.273438,55379404,0.005910,24.103449,24.103512,0.005967,53020,0.134421,14,0.000076,848290.375000,210.000000,NA,NA,NA,NA,NA,NA,NA,NA,848288.125000,12.360744,208.000000,0.003358,
15,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31030.833984,51200876,0.005901,24.063299,24.063368,0.005962,48938,0.135763,13,0.000077,782978.375000,194.000000,NA,NA,NA,NA,NA,NA,NA,NA,782976.125000,12.340153,192.000000,0.003353,
