block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_l0a_read_bw(GB/s),aic_l0a_write_bw(GB/s),aic_l0b_read_bw(GB/s),aic_l0b_write_bw(GB/s),aic_l0c_read_bw_cube(GB/s),aic_l0c_write_bw_cube(GB/s),aiv_time(us),aiv_total_cycles,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,33634.777344,55497384,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,30958.441406,51081427,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,33547.359375,55353143,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,30956.933594,51078941,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,33543.222656,55346321,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,30967.083984,51095689,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,33556.468750,55368174,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,30978.966797,51115296,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,33556.246094,55367810,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,31027.287109,51195023,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,33611.593750,55459130,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,31035.761719,51209008,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,33627.687500,55485684,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,30996.570312,51144340,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,33563.273438,55379404,
15,vector0,NA,NA,NA,NA,NA,NA,NA,NA,31030.833984,51200876,
16,vector0,NA,NA,NA,NA,NA,NA,NA,NA,33612.117188,55459996,
17,vector0,NA,NA,NA,NA,NA,NA,NA,NA,30999.015625,51148377,
18,vector0,NA,NA,NA,NA,NA,NA,NA,NA,33589.582031,55422808,
19,vector0,NA,NA,NA,NA,NA,NA,NA,NA,30982.816406,51121650,
20,vector0,NA,NA,NA,NA,NA,NA,NA,NA,33573.765625,55396712,
21,vector0,NA,NA,NA,NA,NA,NA,NA,NA,30953.812500,51073790,
22,vector0,NA,NA,NA,NA,NA,NA,NA,NA,33535.906250,55334250,
23,vector0,NA,NA,NA,NA,NA,NA,NA,NA,30958.531250,51081577,
24,vector0,NA,NA,NA,NA,NA,NA,NA,NA,33539.242188,55339750,
25,vector0,NA,NA,NA,NA,NA,NA,NA,NA,30969.423828,51099547,
26,vector0,NA,NA,NA,NA,NA,NA,NA,NA,33548.214844,55354551,
27,vector0,NA,NA,NA,NA,NA,NA,NA,NA,31010.318359,51167023,
28,vector0,NA,NA,NA,NA,NA,NA,NA,NA,33585.605469,55416250,
29,vector0,NA,NA,NA,NA,NA,NA,NA,NA,31017.076172,51178177,
30,vector0,NA,NA,NA,NA,NA,NA,NA,NA,33603.128906,55445158,
31,vector0,NA,NA,NA,NA,NA,NA,NA,NA,30952.730469,51072004,
32,vector0,NA,NA,NA,NA,NA,NA,NA,NA,33531.589844,55327123,
33,vector0,NA,NA,NA,NA,NA,NA,NA,NA,30998.462891,51147463,
34,vector0,NA,NA,NA,NA,NA,NA,NA,NA,33569.171875,55389136,
35,vector0,NA,NA,NA,NA,NA,NA,NA,NA,30985.171875,51125533,
36,vector0,NA,NA,NA,NA,NA,NA,NA,NA,33560.324219,55374537,
37,vector0,NA,NA,NA,NA,NA,NA,NA,NA,31044.474609,51223385,
38,vector0,NA,NA,NA,NA,NA,NA,NA,NA,33615.753906,55465991,
39,vector0,NA,NA,NA,NA,NA,NA,NA,NA,30425.347656,50201826,
