block_id,sub_block_id,aic_time(us),aic_total_cycles,aiv_time(us),aiv_total_cycles,aiv_ub_read_bw_vector(GB/s),aiv_ub_write_bw_vector(GB/s),aiv_ub_read_bw_scalar(GB/s),aiv_ub_write_bw_scalar(GB/s),
0,vector0,NA,NA,33634.777344,55497384,71.337296,35.857372,0.023592,0.047181,
1,vector0,NA,NA,30958.441406,51081427,71.542480,35.960506,0.023660,0.047316,
2,vector0,NA,NA,33547.359375,55353143,71.523186,35.950809,0.023654,0.047304,
3,vector0,NA,NA,30956.933594,51078941,71.545967,35.962257,0.023661,0.047319,
4,vector0,NA,NA,33543.222656,55346321,71.532005,35.955242,0.023657,0.047310,
5,vector0,NA,NA,30967.083984,51095689,71.522514,35.950470,0.023654,0.047303,
6,vector0,NA,NA,33556.468750,55368174,71.503769,35.941051,0.023647,0.047291,
7,vector0,NA,NA,30978.966797,51115296,71.495079,35.936680,0.023644,0.047285,
8,vector0,NA,NA,33556.246094,55367810,71.504242,35.941288,0.023647,0.047291,
9,vector0,NA,NA,31027.287109,51195023,71.383736,35.880714,0.023608,0.047211,
10,vector0,NA,NA,33611.593750,55459130,71.386497,35.882107,0.023608,0.047213,
11,vector0,NA,NA,31035.761719,51209008,71.364250,35.870918,0.023601,0.047199,
12,vector0,NA,NA,33627.687500,55485684,71.352333,35.864933,0.023597,0.047191,
13,vector0,NA,NA,30996.570312,51144340,71.454475,35.916271,0.023631,0.047258,
14,vector0,NA,NA,33563.273438,55379404,71.489273,35.933765,0.023642,0.047281,
15,vector0,NA,NA,31030.833984,51200876,71.375580,35.876614,0.023605,0.047206,
16,vector0,NA,NA,33612.117188,55459996,71.385384,35.881546,0.023608,0.047213,
17,vector0,NA,NA,30999.015625,51148377,71.448845,35.913437,0.023629,0.047255,
18,vector0,NA,NA,33589.582031,55422808,71.433281,35.905621,0.023624,0.047244,
19,vector0,NA,NA,30982.816406,51121650,71.486198,35.932217,0.023642,0.047279,
20,vector0,NA,NA,33573.765625,55396712,71.466934,35.922535,0.023635,0.047266,
21,vector0,NA,NA,30953.812500,51073790,71.553185,35.965885,0.023664,0.047324,
22,vector0,NA,NA,33535.906250,55334250,71.547615,35.963089,0.023662,0.047320,
23,vector0,NA,NA,30958.531250,51081577,71.542274,35.960403,0.023660,0.047316,
24,vector0,NA,NA,33539.242188,55339750,71.540497,35.959511,0.023659,0.047315,
25,vector0,NA,NA,30969.423828,51099547,71.517113,35.947754,0.023652,0.047300,
26,vector0,NA,NA,33548.214844,55354551,71.521362,35.949894,0.023653,0.047302,
27,vector0,NA,NA,31010.318359,51167023,71.422798,35.900349,0.023621,0.047237,
28,vector0,NA,NA,33585.605469,55416250,71.441734,35.909870,0.023627,0.047250,
29,vector0,NA,NA,31017.076172,51178177,71.407242,35.892529,0.023615,0.047227,
30,vector0,NA,NA,33603.128906,55445158,71.404480,35.891144,0.023614,0.047225,
31,vector0,NA,NA,30952.730469,51072004,71.555679,35.967140,0.023665,0.047325,
32,vector0,NA,NA,33531.589844,55327123,71.556824,35.967716,0.023665,0.047326,
33,vector0,NA,NA,30998.462891,51147463,71.450119,35.914078,0.023630,0.047255,
34,vector0,NA,NA,33569.171875,55389136,71.476707,35.927448,0.023638,0.047273,
35,vector0,NA,NA,30985.171875,51125533,71.480766,35.929485,0.023640,0.047276,
36,vector0,NA,NA,33560.324219,55374537,71.495552,35.936920,0.023644,0.047285,
37,vector0,NA,NA,31044.474609,51223385,71.344215,35.860851,0.023595,0.047185,
38,vector0,NA,NA,33615.753906,55465991,71.377663,35.877666,0.023605,0.047207,
39,vector0,NA,NA,30425.347656,50201826,71.723732,36.051609,0.023720,0.047436,
