block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_time(us),aic_cube_ratio,aic_scalar_time(us),aic_scalar_ratio,aic_mte1_time(us),aic_mte1_ratio,aic_mte2_time(us),aic_mte2_ratio,aic_mte3_time(us),aic_mte3_ratio,aic_fixpipe_time(us),aic_fixpipe_ratio,aic_icache_miss_rate,aiv_time(us),aiv_total_cycles,aiv_vec_time(us),aiv_vec_ratio,aiv_scalar_time(us),aiv_scalar_ratio,aiv_mte2_time(us),aiv_mte2_ratio,aiv_mte3_time(us),aiv_mte3_ratio,aiv_icache_miss_rate,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33634.777344,55497384,13876.770508,0.412572,21716.908203,0.645668,4590.985352,0.136495,2.630303,0.000078,0.000000,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30958.441406,51081427,12809.328125,0.413759,20047.470703,0.647561,4104.907715,0.132594,2.244242,0.000072,0.000000,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33547.359375,55353143,13876.770508,0.413647,21720.365234,0.647454,4455.772949,0.132820,2.441212,0.000073,0.000000,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30956.933594,51078941,12809.328125,0.413779,20045.886719,0.647541,4101.094727,0.132477,2.186061,0.000071,0.000000,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33543.222656,55346321,13876.770508,0.413698,21719.560547,0.647510,4447.152344,0.132580,2.394546,0.000071,0.000000,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30967.083984,51095689,12809.328125,0.413643,20049.333984,0.647440,4141.386719,0.133735,2.220000,0.000072,0.000000,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33556.468750,55368174,13876.770508,0.413535,21717.919922,0.647205,4496.314941,0.133992,2.376364,0.000071,0.000000,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30978.966797,51115296,12809.328125,0.413485,20048.712891,0.647172,4149.504883,0.133946,2.218182,0.000072,0.000000,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33556.246094,55367810,13876.770508,0.413538,21719.156250,0.647246,4493.158203,0.133899,2.466667,0.000074,0.000000,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31027.287109,51195023,12809.328125,0.412841,20050.687500,0.646228,4199.782227,0.135358,2.295758,0.000074,0.000000,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33611.593750,55459130,13876.770508,0.412857,21715.972656,0.646086,4555.725586,0.135540,2.541212,0.000076,0.000000,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31035.761719,51209008,12809.328125,0.412728,20044.453125,0.645850,4290.786133,0.138253,2.379394,0.000077,0.000000,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33627.687500,55485684,13876.770508,0.412659,21715.546875,0.645764,4644.045898,0.138102,2.558182,0.000076,0.000000,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30996.570312,51144340,12809.328125,0.413250,20048.925781,0.646811,4166.194336,0.134408,2.378788,0.000077,0.000000,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33563.273438,55379404,13876.770508,0.413451,21715.992188,0.647017,4511.613770,0.134421,2.541212,0.000076,0.000000,
15,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31030.833984,51200876,12809.328125,0.412794,20048.554688,0.646085,4212.851074,0.135763,2.385455,0.000077,0.000000,
16,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33612.117188,55459996,13876.770508,0.412850,21715.947266,0.646075,4569.667480,0.135953,2.603636,0.000077,0.000000,
17,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30999.015625,51148377,12809.328125,0.413217,20043.566406,0.646587,4184.640137,0.134993,2.290909,0.000074,0.000000,
18,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33589.582031,55422808,13876.770508,0.413127,21715.310547,0.646490,4537.432129,0.135085,2.503636,0.000075,0.000000,
19,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30982.816406,51121650,12809.328125,0.413433,20042.285156,0.646884,4162.321289,0.134343,2.235758,0.000072,0.000000,
20,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33573.765625,55396712,13876.770508,0.413322,21712.152344,0.646700,4520.853516,0.134654,2.446667,0.000073,0.000000,
21,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30953.812500,51073790,12809.328125,0.413821,20043.183594,0.647519,4112.434082,0.132857,2.310909,0.000075,0.000000,
22,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33535.906250,55334250,13876.770508,0.413788,21713.337891,0.647465,4457.354980,0.132913,2.498788,0.000075,0.000000,
23,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30958.531250,51081577,12809.328125,0.413758,20040.771484,0.647342,4114.060059,0.132889,2.196970,0.000071,0.000000,
24,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33539.242188,55339750,13876.770508,0.413747,21712.062500,0.647363,4465.073242,0.133130,2.406667,0.000072,0.000000,
25,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30969.423828,51099547,12809.328125,0.413612,20042.753906,0.647179,4124.452148,0.133178,2.250909,0.000073,0.000000,
26,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33548.214844,55354551,13876.770508,0.413637,21710.248047,0.647136,4466.270996,0.133130,2.427273,0.000072,0.000000,
27,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31010.318359,51167023,12809.328125,0.413067,20040.003906,0.646237,4187.418945,0.135033,2.393939,0.000077,0.000000,
28,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33585.605469,55416250,13876.770508,0.413176,21708.132812,0.646352,4534.659180,0.135018,2.585454,0.000077,0.000000,
29,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31017.076172,51178177,12809.328125,0.412977,20039.822266,0.646090,4191.339355,0.135130,2.386667,0.000077,0.000000,
30,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33603.128906,55445158,13876.770508,0.412961,21707.076172,0.645984,4545.609863,0.135273,2.617576,0.000078,0.000000,
31,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30952.730469,51072004,12809.328125,0.413835,20036.158203,0.647315,4113.655273,0.132901,2.269091,0.000073,0.000000,
32,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33531.589844,55327123,13876.770508,0.413842,21703.648438,0.647260,4455.080078,0.132862,2.520606,0.000075,0.000000,
33,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30998.462891,51147463,12809.328125,0.413225,20033.023438,0.646259,4152.931641,0.133972,2.273333,0.000073,0.000000,
34,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33569.171875,55389136,13876.770508,0.413378,21701.216797,0.646463,4497.663086,0.133982,2.506667,0.000075,0.000000,
35,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30985.171875,51125533,12809.328125,0.413402,20025.681641,0.646299,4142.973145,0.133708,2.311515,0.000075,0.000000,
36,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33560.324219,55374537,13876.770508,0.413487,21691.890625,0.646355,4481.815918,0.133545,2.511515,0.000075,0.000000,
37,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31044.474609,51223385,12809.328125,0.412612,20015.408203,0.644733,4231.098633,0.136292,2.416970,0.000078,0.000000,
38,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33615.753906,55465991,13876.770508,0.412806,21670.724609,0.644660,4569.095703,0.135921,2.593333,0.000077,0.000000,
39,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30425.347656,50201826,12620.649414,0.414807,19630.646484,0.645207,4041.379395,0.132829,2.386667,0.000078,0.000000,
