block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_wait_ratio,aic_mte1_wait_ratio,aic_mte2_wait_ratio,aic_mte3_wait_ratio,aiv_time(us),aiv_total_cycles,aiv_vec_total_cflt_ratio,aiv_vec_bankgroup_cflt_ratio,aiv_vec_bank_cflt_ratio,aiv_vec_resc_cflt_ratio,aiv_vec_mte_cflt_ratio,aiv_vec_wait_ratio,aiv_mte1_wait_ratio,aiv_mte2_wait_ratio,aiv_mte3_wait_ratio,
0,vector0,NA,NA,NA,NA,NA,NA,33634.777344,55497384,0.058528,0.051811,0.006716,0.000000,0.000000,0.204832,0.000000,0.000000,0.018234,
1,vector0,NA,NA,NA,NA,NA,NA,30958.441406,51081427,0.058696,0.051960,0.006736,0.000000,0.000000,0.202490,0.000000,0.000000,0.018287,
2,vector0,NA,NA,NA,NA,NA,NA,33547.359375,55353143,0.058680,0.051946,0.006734,0.000000,0.000000,0.202767,0.000000,0.000000,0.018282,
3,vector0,NA,NA,NA,NA,NA,NA,30956.933594,51078941,0.058699,0.051963,0.006736,0.000000,0.000000,0.202642,0.000000,0.000000,0.018288,
4,vector0,NA,NA,NA,NA,NA,NA,33543.222656,55346321,0.058687,0.051953,0.006735,0.000000,0.000000,0.202751,0.000000,0.000000,0.018284,
5,vector0,NA,NA,NA,NA,NA,NA,30967.083984,51095689,0.058680,0.051946,0.006734,0.000000,0.000000,0.203037,0.000000,0.000000,0.018282,
6,vector0,NA,NA,NA,NA,NA,NA,33556.468750,55368174,0.058664,0.051932,0.006732,0.000000,0.000000,0.203182,0.000000,0.000000,0.018277,
7,vector0,NA,NA,NA,NA,NA,NA,30978.966797,51115296,0.058657,0.051926,0.006731,0.000000,0.000000,0.203005,0.000000,0.000000,0.018275,
8,vector0,NA,NA,NA,NA,NA,NA,33556.246094,55367810,0.058665,0.051933,0.006732,0.000000,0.000000,0.202842,0.000000,0.000000,0.018277,
9,vector0,NA,NA,NA,NA,NA,NA,31027.287109,51195023,0.058566,0.051845,0.006721,0.000000,0.000000,0.204875,0.000000,0.000000,0.018246,
10,vector0,NA,NA,NA,NA,NA,NA,33611.593750,55459130,0.058568,0.051847,0.006721,0.000000,0.000000,0.205013,0.000000,0.000000,0.018247,
11,vector0,NA,NA,NA,NA,NA,NA,31035.761719,51209008,0.058550,0.051831,0.006719,0.000000,0.000000,0.204682,0.000000,0.000000,0.018241,
12,vector0,NA,NA,NA,NA,NA,NA,33627.687500,55485684,0.058540,0.051822,0.006718,0.000000,0.000000,0.204786,0.000000,0.000000,0.018238,
13,vector0,NA,NA,NA,NA,NA,NA,30996.570312,51144340,0.058624,0.051896,0.006727,0.000000,0.000000,0.204176,0.000000,0.000000,0.018264,
14,vector0,NA,NA,NA,NA,NA,NA,33563.273438,55379404,0.058652,0.051922,0.006731,0.000000,0.000000,0.203603,0.000000,0.000000,0.018273,
15,vector0,NA,NA,NA,NA,NA,NA,31030.833984,51200876,0.058559,0.051839,0.006720,0.000000,0.000000,0.204612,0.000000,0.000000,0.018244,
16,vector0,NA,NA,NA,NA,NA,NA,33612.117188,55459996,0.058567,0.051846,0.006721,0.000000,0.000000,0.204724,0.000000,0.000000,0.018247,
17,vector0,NA,NA,NA,NA,NA,NA,30999.015625,51148377,0.058619,0.051892,0.006727,0.000000,0.000000,0.203886,0.000000,0.000000,0.018263,
18,vector0,NA,NA,NA,NA,NA,NA,33589.582031,55422808,0.058606,0.051881,0.006725,0.000000,0.000000,0.204039,0.000000,0.000000,0.018259,
19,vector0,NA,NA,NA,NA,NA,NA,30982.816406,51121650,0.058650,0.051919,0.006730,0.000000,0.000000,0.203015,0.000000,0.000000,0.018272,
20,vector0,NA,NA,NA,NA,NA,NA,33573.765625,55396712,0.058634,0.051905,0.006728,0.000000,0.000000,0.203268,0.000000,0.000000,0.018267,
21,vector0,NA,NA,NA,NA,NA,NA,30953.812500,51073790,0.058705,0.051968,0.006737,0.000000,0.000000,0.202377,0.000000,0.000000,0.018290,
22,vector0,NA,NA,NA,NA,NA,NA,33535.906250,55334250,0.058700,0.051964,0.006736,0.000000,0.000000,0.202460,0.000000,0.000000,0.018288,
23,vector0,NA,NA,NA,NA,NA,NA,30958.531250,51081577,0.058696,0.051960,0.006736,0.000000,0.000000,0.202783,0.000000,0.000000,0.018287,
24,vector0,NA,NA,NA,NA,NA,NA,33539.242188,55339750,0.058694,0.051959,0.006735,0.000000,0.000000,0.202899,0.000000,0.000000,0.018286,
25,vector0,NA,NA,NA,NA,NA,NA,30969.423828,51099547,0.058675,0.051942,0.006733,0.000000,0.000000,0.203142,0.000000,0.000000,0.018280,
26,vector0,NA,NA,NA,NA,NA,NA,33548.214844,55354551,0.058679,0.051945,0.006734,0.000000,0.000000,0.203100,0.000000,0.000000,0.018281,
27,vector0,NA,NA,NA,NA,NA,NA,31010.318359,51167023,0.058598,0.051873,0.006724,0.000000,0.000000,0.203908,0.000000,0.000000,0.018256,
28,vector0,NA,NA,NA,NA,NA,NA,33585.605469,55416250,0.058613,0.051887,0.006726,0.000000,0.000000,0.203699,0.000000,0.000000,0.018261,
29,vector0,NA,NA,NA,NA,NA,NA,31017.076172,51178177,0.058585,0.051862,0.006723,0.000000,0.000000,0.203900,0.000000,0.000000,0.018252,
30,vector0,NA,NA,NA,NA,NA,NA,33603.128906,55445158,0.058583,0.051860,0.006723,0.000000,0.000000,0.204030,0.000000,0.000000,0.018252,
31,vector0,NA,NA,NA,NA,NA,NA,30952.730469,51072004,0.058707,0.051970,0.006737,0.000000,0.000000,0.202455,0.000000,0.000000,0.018290,
