block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_ratio,aic_cube_fp16_ratio,aic_cube_int8_ratio,aic_cube_fops,aic_cube_total_instr_number,aic_cube_fp_instr_number,aic_cube_int_instr_number,aiv_time(us),aiv_total_cycles,aiv_vec_ratio,aiv_vec_fp32_ratio,aiv_vec_fp16_ratio,aiv_vec_int32_ratio,aiv_vec_int16_ratio,aiv_vec_misc_ratio,aiv_vec_fops,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,28382.914062,46831806,0.487776,0.161455,0.000000,0.000000,0.000000,0.018192,511180928,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,26118.921875,43096220,0.489283,0.161954,0.000000,0.000000,0.000000,0.018248,471859328,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,28299.490234,46694162,0.489214,0.161931,0.000000,0.000000,0.000000,0.018246,511180928,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,26107.751953,43077792,0.489492,0.162023,0.000000,0.000000,0.000000,0.018256,471859328,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,28204.656250,46537684,0.490859,0.162475,0.000000,0.000000,0.000000,0.018307,511180928,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,26047.390625,42978195,0.490626,0.162398,0.000000,0.000000,0.000000,0.018298,471859328,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,28195.101562,46521917,0.491025,0.162530,0.000000,0.000000,0.000000,0.018313,511180928,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,26062.152344,43002551,0.490349,0.162306,0.000000,0.000000,0.000000,0.018288,471859328,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,28224.630859,46570638,0.490511,0.162360,0.000000,0.000000,0.000000,0.018294,511180928,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,26105.746094,43074478,0.489530,0.162035,0.000000,0.000000,0.000000,0.018258,471859328,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,28311.564453,46714079,0.489005,0.161862,0.000000,0.000000,0.000000,0.018238,511180928,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,26041.662109,42968745,0.490734,0.162434,0.000000,0.000000,0.000000,0.018303,471859328,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,28237.146484,46591293,0.490294,0.162288,0.000000,0.000000,0.000000,0.018286,511180928,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,26107.689453,43077690,0.489493,0.162023,0.000000,0.000000,0.000000,0.018256,471859328,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,28282.062500,46665405,0.489515,0.162030,0.000000,0.000000,0.000000,0.018257,511180928,
15,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,26111.074219,43083272,0.489430,0.162002,0.000000,0.000000,0.000000,0.018254,471859328,
16,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,28275.849609,46655153,0.489623,0.162066,0.000000,0.000000,0.000000,0.018261,511180928,
17,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,26060.052734,42999086,0.490388,0.162319,0.000000,0.000000,0.000000,0.018290,471859328,
18,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,28303.541016,46700843,0.489144,0.161907,0.000000,0.000000,0.000000,0.018243,511180928,
19,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,26025.193359,42941568,0.491045,0.162537,0.000000,0.000000,0.000000,0.018314,471859328,
20,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,28195.308594,46522261,0.491021,0.162529,0.000000,0.000000,0.000000,0.018313,511180928,
21,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,26059.394531,42998001,0.490400,0.162323,0.000000,0.000000,0.000000,0.018290,471859328,
22,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,28258.666016,46626801,0.489920,0.162165,0.000000,0.000000,0.000000,0.018272,511180928,
23,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,26106.111328,43075085,0.489523,0.162033,0.000000,0.000000,0.000000,0.018257,471859328,
24,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,28300.605469,46695999,0.489194,0.161924,0.000000,0.000000,0.000000,0.018245,511180928,
25,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,26100.720703,43066188,0.489624,0.162066,0.000000,0.000000,0.000000,0.018261,471859328,
26,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,28212.529297,46550672,0.490722,0.162430,0.000000,0.000000,0.000000,0.018302,511180928,
27,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,26107.568359,43077487,0.489496,0.162024,0.000000,0.000000,0.000000,0.018256,471859328,
28,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,28226.224609,46573273,0.490484,0.162351,0.000000,0.000000,0.000000,0.018293,511180928,
29,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,26043.496094,42971768,0.490700,0.162423,0.000000,0.000000,0.000000,0.018301,471859328,
30,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,28254.203125,46619435,0.489998,0.162190,0.000000,0.000000,0.000000,0.018275,511180928,
31,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,26076.886719,43026865,0.490072,0.162215,0.000000,0.000000,0.000000,0.018278,471859328,
32,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,28253.367188,46618055,0.490012,0.162195,0.000000,0.000000,0.000000,0.018276,511180928,
33,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,26085.193359,43040569,0.489915,0.162163,0.000000,0.000000,0.000000,0.018272,471859328,
34,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,28216.755859,46557646,0.490648,0.162405,0.000000,0.000000,0.000000,0.018299,511180928,
35,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,26029.464844,42948617,0.490964,0.162510,0.000000,0.000000,0.000000,0.018311,471859328,
36,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,28207.128906,46541764,0.490816,0.162461,0.000000,0.000000,0.000000,0.018306,511180928,
37,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,26056.203125,42992736,0.490461,0.162343,0.000000,0.000000,0.000000,0.018292,471859328,
38,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,28215.408203,46555422,0.490672,0.162413,0.000000,0.000000,0.000000,0.018300,511180928,
39,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,25673.146484,42360693,0.490446,0.162339,0.000000,0.000000,0.000000,0.018292,464908928,
