block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_write_cache_hit,aic_write_cache_miss_allocate,aic_r0_read_cache_hit,aic_r0_read_cache_miss_allocate,aic_r1_read_cache_hit,aic_r1_read_cache_miss_allocate,aic_write_hit_rate(%),aic_read_hit_rate(%),aic_total_hit_rate(%),aiv_time(us),aiv_total_cycles,aiv_write_cache_hit,aiv_write_cache_miss_allocate,aiv_r0_read_cache_hit,aiv_r0_read_cache_miss_allocate,aiv_r1_read_cache_hit,aiv_r1_read_cache_miss_allocate,aiv_write_hit_rate(%),aiv_read_hit_rate(%),aiv_total_hit_rate(%),
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28382.914062,46831806,432,0,97004,34204,97063,34148,100.000000,73.953102,73.995911,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26118.921875,43096220,400,0,65864,1219,65867,1213,100.000000,98.187279,98.192665,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28299.490234,46694162,432,0,93060,2824,93070,2809,100.000000,97.062523,97.069122,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26107.751953,43077792,400,0,68369,2934,68354,2954,100.000000,95.871284,95.882835,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28204.656250,46537684,432,0,16802,164,16809,164,100.000000,99.033562,99.045708,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26047.390625,42978195,400,0,22347,1282,22344,1278,100.000000,94.582123,94.627602,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28195.101562,46521917,432,0,1800,2118,1803,2106,100.000000,46.032963,48.855793,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26062.152344,43002551,400,0,27530,3835,27529,3845,100.000000,87.758812,87.836365,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28224.630859,46570638,432,0,35905,64,35922,64,100.000000,99.822113,99.823174,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26105.746094,43074478,400,0,72461,965,72454,955,100.000000,98.692413,98.695961,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28311.564453,46714079,432,0,80667,10911,80632,10977,100.000000,88.051552,88.079666,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26041.662109,42968745,400,0,16920,833,16891,831,100.000000,95.309372,95.361671,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28237.146484,46591293,432,0,39294,1086,39317,1090,100.000000,97.306496,97.320824,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26107.689453,43077690,400,0,60349,5530,60334,5518,100.000000,91.613213,91.638603,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28282.062500,46665405,432,0,78667,1020,78664,1028,100.000000,98.715012,98.718483,
15,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26111.074219,43083272,400,0,79341,1119,79338,1117,100.000000,98.610443,98.613892,
