block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_l1_read_bw(GB/s),aic_l1_write_bw(GB/s),aic_main_mem_read_bw(GB/s),aic_main_mem_write_bw(GB/s),aic_mte1_instructions,aic_mte1_ratio,aic_mte2_instructions,aic_mte2_ratio,aic_mte3_instructions,aic_mte3_ratio,aiv_time(us),aiv_total_cycles,aiv_ub_to_gm_bw(GB/s),aiv_gm_to_ub_bw(GB/s),aiv_main_mem_read_bw(GB/s),aiv_main_mem_write_bw(GB/s),aiv_mte2_instructions,aiv_mte2_ratio,aiv_mte3_instructions,aiv_mte3_ratio,read_main_memory_datas(KB),write_main_memory_datas(KB),GM_to_L1_datas(KB),GM_to_L1_bw_usage_rate(%),L1_to_GM_datas(KB)(estimate),L1_to_GM_bw_usage_rate(%)(estimate),L0C_to_L1_datas(KB),L0C_to_L1_bw_usage_rate(%),L0C_to_GM_datas(KB),L0C_to_GM_bw_usage_rate(%),GM_to_UB_datas(KB),GM_to_UB_bw_usage_rate(%),UB_to_GM_datas(KB),UB_to_GM_bw_usage_rate(%),
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28382.914062,46831806,0.006989,1.102094,1.102170,0.007056,2052,0.007833,14,0.000091,32802.375000,210.000000,NA,NA,NA,NA,NA,NA,NA,NA,32800.125000,0.565176,208.000000,0.003971,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26118.921875,43096220,0.007010,0.612251,0.612333,0.007083,1050,0.004516,13,0.000092,16770.375000,194.000000,NA,NA,NA,NA,NA,NA,NA,NA,16768.125000,0.313975,192.000000,0.003983,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28299.490234,46694162,0.007009,0.807710,0.807786,0.007077,1500,0.004726,14,0.000086,23970.375000,210.000000,NA,NA,NA,NA,NA,NA,NA,NA,23968.125000,0.414210,208.000000,0.003983,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26107.751953,43077792,0.007013,0.651087,0.651169,0.007087,1116,0.004075,13,0.000086,17826.375000,194.000000,NA,NA,NA,NA,NA,NA,NA,NA,17824.125000,0.333891,192.000000,0.003985,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28204.656250,46537684,0.007033,0.143370,0.143446,0.007101,267,0.001186,14,0.000084,4242.375000,210.000000,NA,NA,NA,NA,NA,NA,NA,NA,4240.125000,0.073523,208.000000,0.003996,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26047.390625,42978195,0.007030,0.216168,0.216250,0.007103,371,0.001618,13,0.000084,5906.375000,194.000000,NA,NA,NA,NA,NA,NA,NA,NA,5904.125000,0.110855,192.000000,0.003994,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28195.101562,46521917,0.007035,0.033017,0.033093,0.007103,63,0.000752,14,0.000084,978.375000,210.000000,NA,NA,NA,NA,NA,NA,NA,NA,976.125000,0.016932,208.000000,0.003997,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26062.152344,43002551,0.007026,0.286888,0.286971,0.007099,492,0.002202,13,0.000085,7842.375000,194.000000,NA,NA,NA,NA,NA,NA,NA,NA,7840.125000,0.147122,192.000000,0.003992,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28224.630859,46570638,0.007028,0.303832,0.303908,0.007096,564,0.001911,14,0.000085,8994.375000,210.000000,NA,NA,NA,NA,NA,NA,NA,NA,8992.125000,0.155812,208.000000,0.003993,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26105.746094,43074478,0.007014,0.670425,0.670507,0.007087,1149,0.003995,13,0.000086,18354.375000,194.000000,NA,NA,NA,NA,NA,NA,NA,NA,18352.125000,0.343808,192.000000,0.003985,
