block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_l0a_read_bw(GB/s),aic_l0a_write_bw(GB/s),aic_l0b_read_bw(GB/s),aic_l0b_write_bw(GB/s),aic_l0c_read_bw_cube(GB/s),aic_l0c_write_bw_cube(GB/s),aiv_time(us),aiv_total_cycles,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,28382.914062,46831806,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,26118.921875,43096220,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,28299.490234,46694162,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,26107.751953,43077792,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,28204.656250,46537684,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,26047.390625,42978195,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,28195.101562,46521917,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,26062.152344,43002551,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,28224.630859,46570638,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,26105.746094,43074478,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,28311.564453,46714079,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,26041.662109,42968745,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,28237.146484,46591293,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,26107.689453,43077690,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,28282.062500,46665405,
15,vector0,NA,NA,NA,NA,NA,NA,NA,NA,26111.074219,43083272,
16,vector0,NA,NA,NA,NA,NA,NA,NA,NA,28275.849609,46655153,
17,vector0,NA,NA,NA,NA,NA,NA,NA,NA,26060.052734,42999086,
18,vector0,NA,NA,NA,NA,NA,NA,NA,NA,28303.541016,46700843,
19,vector0,NA,NA,NA,NA,NA,NA,NA,NA,26025.193359,42941568,
20,vector0,NA,NA,NA,NA,NA,NA,NA,NA,28195.308594,46522261,
21,vector0,NA,NA,NA,NA,NA,NA,NA,NA,26059.394531,42998001,
22,vector0,NA,NA,NA,NA,NA,NA,NA,NA,28258.666016,46626801,
23,vector0,NA,NA,NA,NA,NA,NA,NA,NA,26106.111328,43075085,
24,vector0,NA,NA,NA,NA,NA,NA,NA,NA,28300.605469,46695999,
25,vector0,NA,NA,NA,NA,NA,NA,NA,NA,26100.720703,43066188,
26,vector0,NA,NA,NA,NA,NA,NA,NA,NA,28212.529297,46550672,
27,vector0,NA,NA,NA,NA,NA,NA,NA,NA,26107.568359,43077487,
28,vector0,NA,NA,NA,NA,NA,NA,NA,NA,28226.224609,46573273,
29,vector0,NA,NA,NA,NA,NA,NA,NA,NA,26043.496094,42971768,
30,vector0,NA,NA,NA,NA,NA,NA,NA,NA,28254.203125,46619435,
31,vector0,NA,NA,NA,NA,NA,NA,NA,NA,26076.886719,43026865,
32,vector0,NA,NA,NA,NA,NA,NA,NA,NA,28253.367188,46618055,
33,vector0,NA,NA,NA,NA,NA,NA,NA,NA,26085.193359,43040569,
34,vector0,NA,NA,NA,NA,NA,NA,NA,NA,28216.755859,46557646,
35,vector0,NA,NA,NA,NA,NA,NA,NA,NA,26029.464844,42948617,
36,vector0,NA,NA,NA,NA,NA,NA,NA,NA,28207.128906,46541764,
37,vector0,NA,NA,NA,NA,NA,NA,NA,NA,26056.203125,42992736,
38,vector0,NA,NA,NA,NA,NA,NA,NA,NA,28215.408203,46555422,
39,vector0,NA,NA,NA,NA,NA,NA,NA,NA,25673.146484,42360693,
