block_id,sub_block_id,aic_time(us),aic_total_cycles,aiv_time(us),aiv_total_cycles,aiv_ub_read_bw_vector(GB/s),aiv_ub_write_bw_vector(GB/s),aiv_ub_read_bw_scalar(GB/s),aiv_ub_write_bw_scalar(GB/s),
0,vector0,NA,NA,28382.914062,46831806,84.537270,42.492279,0.027958,0.055911,
1,vector0,NA,NA,26118.921875,43096220,84.798439,42.623554,0.028044,0.056084,
2,vector0,NA,NA,28299.490234,46694162,84.786476,42.617542,0.028040,0.056076,
3,vector0,NA,NA,26107.751953,43077792,84.834717,42.641788,0.028056,0.056108,
4,vector0,NA,NA,28204.656250,46537684,85.071556,42.760838,0.028134,0.056264,
5,vector0,NA,NA,26047.390625,42978195,85.031311,42.740604,0.028121,0.056238,
6,vector0,NA,NA,28195.101562,46521917,85.100388,42.775330,0.028144,0.056283,
7,vector0,NA,NA,26062.152344,43002551,84.983147,42.716396,0.028105,0.056206,
8,vector0,NA,NA,28224.630859,46570638,85.011353,42.730576,0.028114,0.056224,
9,vector0,NA,NA,26105.746094,43074478,84.841232,42.645065,0.028058,0.056112,
10,vector0,NA,NA,28311.564453,46714079,84.750313,42.599369,0.028028,0.056052,
11,vector0,NA,NA,26041.662109,42968745,85.050018,42.750008,0.028127,0.056250,
12,vector0,NA,NA,28237.146484,46591293,84.973671,42.711636,0.028102,0.056200,
13,vector0,NA,NA,26107.689453,43077690,84.834923,42.641891,0.028056,0.056108,
14,vector0,NA,NA,28282.062500,46665405,84.838722,42.643806,0.028057,0.056110,
15,vector0,NA,NA,26111.074219,43083272,84.823921,42.636364,0.028053,0.056100,
16,vector0,NA,NA,28275.849609,46655153,84.857361,42.653175,0.028063,0.056123,
17,vector0,NA,NA,26060.052734,42999086,84.989998,42.719837,0.028107,0.056210,
18,vector0,NA,NA,28303.541016,46700843,84.774338,42.611443,0.028036,0.056068,
19,vector0,NA,NA,26025.193359,42941568,85.103836,42.777061,0.028145,0.056286,
20,vector0,NA,NA,28195.308594,46522261,85.099762,42.775017,0.028144,0.056283,
21,vector0,NA,NA,26059.394531,42998001,84.992142,42.720917,0.028108,0.056212,
22,vector0,NA,NA,28258.666016,46626801,84.908958,42.679111,0.028080,0.056157,
23,vector0,NA,NA,26106.111328,43075085,84.840050,42.644470,0.028058,0.056111,
24,vector0,NA,NA,28300.605469,46695999,84.783134,42.615864,0.028039,0.056074,
25,vector0,NA,NA,26100.720703,43066188,84.857567,42.653275,0.028064,0.056123,
26,vector0,NA,NA,28212.529297,46550672,85.047813,42.748905,0.028126,0.056249,
27,vector0,NA,NA,26107.568359,43077487,84.835312,42.642090,0.028056,0.056108,
28,vector0,NA,NA,28226.224609,46573273,85.006554,42.728165,0.028113,0.056221,
29,vector0,NA,NA,26043.496094,42971768,85.044029,42.746998,0.028125,0.056246,
30,vector0,NA,NA,28254.203125,46619435,84.922371,42.685852,0.028085,0.056166,
31,vector0,NA,NA,26076.886719,43026865,84.935127,42.692261,0.028089,0.056174,
32,vector0,NA,NA,28253.367188,46618055,84.924889,42.687115,0.028086,0.056167,
33,vector0,NA,NA,26085.193359,43040569,84.908081,42.678665,0.028080,0.056156,
34,vector0,NA,NA,28216.755859,46557646,85.035080,42.742504,0.028122,0.056240,
35,vector0,NA,NA,26029.464844,42948617,85.089867,42.770039,0.028140,0.056276,
36,vector0,NA,NA,28207.128906,46541764,85.064102,42.757092,0.028132,0.056259,
37,vector0,NA,NA,26056.203125,42992736,85.002548,42.726151,0.028112,0.056219,
38,vector0,NA,NA,28215.408203,46555422,85.039139,42.744545,0.028124,0.056243,
39,vector0,NA,NA,25673.146484,42360693,85.000076,42.724907,0.028111,0.056217,
