block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_time(us),aic_cube_ratio,aic_scalar_time(us),aic_scalar_ratio,aic_mte1_time(us),aic_mte1_ratio,aic_mte2_time(us),aic_mte2_ratio,aic_mte3_time(us),aic_mte3_ratio,aic_fixpipe_time(us),aic_fixpipe_ratio,aic_icache_miss_rate,aiv_time(us),aiv_total_cycles,aiv_vec_time(us),aiv_vec_ratio,aiv_scalar_time(us),aiv_scalar_ratio,aiv_mte2_time(us),aiv_mte2_ratio,aiv_mte3_time(us),aiv_mte3_ratio,aiv_icache_miss_rate,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28382.914062,46831806,13844.499023,0.487776,17713.707031,0.624098,222.312729,0.007833,2.575151,0.000091,0.000000,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26118.921875,43096220,12779.539062,0.489283,16301.831055,0.624139,117.950912,0.004516,2.411515,0.000092,0.000000,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28299.490234,46694162,13844.499023,0.489214,17679.835938,0.624740,133.736359,0.004726,2.423030,0.000086,0.000000,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26107.751953,43077792,12779.539062,0.489492,16304.693359,0.624515,106.397575,0.004075,2.235758,0.000086,0.000000,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28204.656250,46537684,13844.499023,0.490859,17606.927734,0.624256,33.443638,0.001186,2.369091,0.000084,0.000000,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26047.390625,42978195,12779.539062,0.490626,16261.015625,0.624286,42.137577,0.001618,2.193939,0.000084,0.000000,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28195.101562,46521917,13844.499023,0.491025,17595.910156,0.624077,21.212727,0.000752,2.374545,0.000084,0.000000,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26062.152344,43002551,12779.539062,0.490349,16268.764648,0.624229,57.396969,0.002202,2.215152,0.000085,0.000000,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28224.630859,46570638,13844.499023,0.490511,17625.896484,0.624486,53.933334,0.001911,2.397576,0.000085,0.000000,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26105.746094,43074478,12779.539062,0.489530,16308.336914,0.624703,104.285454,0.003995,2.246667,0.000086,0.000000,
