block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_wait_ratio,aic_mte1_wait_ratio,aic_mte2_wait_ratio,aic_mte3_wait_ratio,aiv_time(us),aiv_total_cycles,aiv_vec_total_cflt_ratio,aiv_vec_bankgroup_cflt_ratio,aiv_vec_bank_cflt_ratio,aiv_vec_resc_cflt_ratio,aiv_vec_mte_cflt_ratio,aiv_vec_wait_ratio,aiv_mte1_wait_ratio,aiv_mte2_wait_ratio,aiv_mte3_wait_ratio,
0,vector0,NA,NA,NA,NA,NA,NA,28382.914062,46831806,0.069357,0.061398,0.007959,0.000000,0.000000,0.103734,0.000000,0.000000,0.021603,
1,vector0,NA,NA,NA,NA,NA,NA,26118.921875,43096220,0.069572,0.061588,0.007984,0.000000,0.000000,0.100991,0.000000,0.000000,0.021670,
2,vector0,NA,NA,NA,NA,NA,NA,28299.490234,46694162,0.069562,0.061579,0.007982,0.000000,0.000000,0.101106,0.000000,0.000000,0.021667,
3,vector0,NA,NA,NA,NA,NA,NA,26107.751953,43077792,0.069601,0.061614,0.007987,0.000000,0.000000,0.100567,0.000000,0.000000,0.021679,
4,vector0,NA,NA,NA,NA,NA,NA,28204.656250,46537684,0.069796,0.061786,0.008009,0.000000,0.000000,0.098197,0.000000,0.000000,0.021740,
5,vector0,NA,NA,NA,NA,NA,NA,26047.390625,42978195,0.069763,0.061757,0.008006,0.000000,0.000000,0.098574,0.000000,0.000000,0.021730,
6,vector0,NA,NA,NA,NA,NA,NA,28195.101562,46521917,0.069819,0.061807,0.008012,0.000000,0.000000,0.097867,0.000000,0.000000,0.021747,
7,vector0,NA,NA,NA,NA,NA,NA,26062.152344,43002551,0.069723,0.061722,0.008001,0.000000,0.000000,0.099070,0.000000,0.000000,0.021717,
8,vector0,NA,NA,NA,NA,NA,NA,28224.630859,46570638,0.069746,0.061743,0.008004,0.000000,0.000000,0.098800,0.000000,0.000000,0.021725,
9,vector0,NA,NA,NA,NA,NA,NA,26105.746094,43074478,0.069607,0.061619,0.007988,0.000000,0.000000,0.100485,0.000000,0.000000,0.021681,
10,vector0,NA,NA,NA,NA,NA,NA,28311.564453,46714079,0.069532,0.061553,0.007979,0.000000,0.000000,0.101443,0.000000,0.000000,0.021658,
11,vector0,NA,NA,NA,NA,NA,NA,26041.662109,42968745,0.069778,0.061771,0.008007,0.000000,0.000000,0.098434,0.000000,0.000000,0.021734,
12,vector0,NA,NA,NA,NA,NA,NA,28237.146484,46591293,0.069715,0.061715,0.008000,0.000000,0.000000,0.099227,0.000000,0.000000,0.021715,
13,vector0,NA,NA,NA,NA,NA,NA,26107.689453,43077690,0.069602,0.061614,0.007987,0.000000,0.000000,0.100639,0.000000,0.000000,0.021679,
14,vector0,NA,NA,NA,NA,NA,NA,28282.062500,46665405,0.069605,0.061617,0.007987,0.000000,0.000000,0.100513,0.000000,0.000000,0.021680,
15,vector0,NA,NA,NA,NA,NA,NA,26111.074219,43083272,0.069592,0.061606,0.007986,0.000000,0.000000,0.100758,0.000000,0.000000,0.021677,
16,vector0,NA,NA,NA,NA,NA,NA,28275.849609,46655153,0.069620,0.061631,0.007989,0.000000,0.000000,0.100351,0.000000,0.000000,0.021685,
17,vector0,NA,NA,NA,NA,NA,NA,26060.052734,42999086,0.069729,0.061727,0.008002,0.000000,0.000000,0.099043,0.000000,0.000000,0.021719,
18,vector0,NA,NA,NA,NA,NA,NA,28303.541016,46700843,0.069552,0.061570,0.007981,0.000000,0.000000,0.101251,0.000000,0.000000,0.021664,
19,vector0,NA,NA,NA,NA,NA,NA,26025.193359,42941568,0.069822,0.061810,0.008012,0.000000,0.000000,0.097882,0.000000,0.000000,0.021748,
20,vector0,NA,NA,NA,NA,NA,NA,28195.308594,46522261,0.069819,0.061807,0.008012,0.000000,0.000000,0.097996,0.000000,0.000000,0.021747,
21,vector0,NA,NA,NA,NA,NA,NA,26059.394531,42998001,0.069730,0.061729,0.008002,0.000000,0.000000,0.099084,0.000000,0.000000,0.021720,
22,vector0,NA,NA,NA,NA,NA,NA,28258.666016,46626801,0.069662,0.061668,0.007994,0.000000,0.000000,0.099878,0.000000,0.000000,0.021698,
23,vector0,NA,NA,NA,NA,NA,NA,26106.111328,43075085,0.069606,0.061618,0.007988,0.000000,0.000000,0.100569,0.000000,0.000000,0.021681,
24,vector0,NA,NA,NA,NA,NA,NA,28300.605469,46695999,0.069559,0.061577,0.007982,0.000000,0.000000,0.100835,0.000000,0.000000,0.021666,
25,vector0,NA,NA,NA,NA,NA,NA,26100.720703,43066188,0.069620,0.061631,0.007989,0.000000,0.000000,0.100033,0.000000,0.000000,0.021685,
26,vector0,NA,NA,NA,NA,NA,NA,28212.529297,46550672,0.069776,0.061769,0.008007,0.000000,0.000000,0.098449,0.000000,0.000000,0.021734,
27,vector0,NA,NA,NA,NA,NA,NA,26107.568359,43077487,0.069602,0.061615,0.007987,0.000000,0.000000,0.100597,0.000000,0.000000,0.021680,
28,vector0,NA,NA,NA,NA,NA,NA,28226.224609,46573273,0.069742,0.061739,0.008003,0.000000,0.000000,0.098888,0.000000,0.000000,0.021723,
29,vector0,NA,NA,NA,NA,NA,NA,26043.496094,42971768,0.069773,0.061766,0.008007,0.000000,0.000000,0.098510,0.000000,0.000000,0.021733,
30,vector0,NA,NA,NA,NA,NA,NA,28254.203125,46619435,0.069673,0.061678,0.007995,0.000000,0.000000,0.099818,0.000000,0.000000,0.021702,
31,vector0,NA,NA,NA,NA,NA,NA,26076.886719,43026865,0.069684,0.061687,0.007996,0.000000,0.000000,0.099675,0.000000,0.000000,0.021705,
32,vector0,NA,NA,NA,NA,NA,NA,28253.367188,46618055,0.069675,0.061680,0.007996,0.000000,0.000000,0.099676,0.000000,0.000000,0.021702,
33,vector0,NA,NA,NA,NA,NA,NA,26085.193359,43040569,0.069662,0.061668,0.007994,0.000000,0.000000,0.099842,0.000000,0.000000,0.021698,
34,vector0,NA,NA,NA,NA,NA,NA,28216.755859,46557646,0.069766,0.061760,0.008006,0.000000,0.000000,0.098578,0.000000,0.000000,0.021731,
35,vector0,NA,NA,NA,NA,NA,NA,26029.464844,42948617,0.069811,0.061800,0.008011,0.000000,0.000000,0.098040,0.000000,0.000000,0.021745,
36,vector0,NA,NA,NA,NA,NA,NA,28207.128906,46541764,0.069790,0.061781,0.008009,0.000000,0.000000,0.098219,0.000000,0.000000,0.021738,
37,vector0,NA,NA,NA,NA,NA,NA,26056.203125,42992736,0.069739,0.061736,0.008003,0.000000,0.000000,0.098872,0.000000,0.000000,0.021723,
38,vector0,NA,NA,NA,NA,NA,NA,28215.408203,46555422,0.069769,0.061763,0.008006,0.000000,0.000000,0.098547,0.000000,0.000000,0.021732,
39,vector0,NA,NA,NA,NA,NA,NA,25673.146484,42360693,0.069737,0.061734,0.008003,0.000000,0.000000,0.098917,0.000000,0.000000,0.021722,
