block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_ratio,aic_cube_fp16_ratio,aic_cube_int8_ratio,aic_cube_fops,aic_cube_total_instr_number,aic_cube_fp_instr_number,aic_cube_int_instr_number,aiv_time(us),aiv_total_cycles,aiv_vec_ratio,aiv_vec_fp32_ratio,aiv_vec_fp16_ratio,aiv_vec_int32_ratio,aiv_vec_int16_ratio,aiv_vec_misc_ratio,aiv_vec_fops,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,27233.416016,44935138,0.488659,0.161747,0.000000,0.000000,0.000000,0.018225,491366528,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,27184.425781,44854306,0.489540,0.162039,0.000000,0.000000,0.000000,0.018258,491366528,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,27209.505859,44895683,0.489089,0.161889,0.000000,0.000000,0.000000,0.018241,491366528,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,27189.488281,44862656,0.489449,0.162008,0.000000,0.000000,0.000000,0.018255,491366528,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,27135.980469,44774369,0.490414,0.162328,0.000000,0.000000,0.000000,0.018291,491366528,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,27154.408203,44804772,0.490081,0.162218,0.000000,0.000000,0.000000,0.018278,491366528,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,27128.369141,44761810,0.490551,0.162373,0.000000,0.000000,0.000000,0.018296,491366528,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,27165.876953,44823696,0.489721,0.162099,0.000000,0.000000,0.000000,0.018265,491212928,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,27169.394531,44829500,0.489811,0.162128,0.000000,0.000000,0.000000,0.018268,491366528,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,27218.892578,44911173,0.488920,0.161833,0.000000,0.000000,0.000000,0.018235,491366528,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,27211.939453,44899701,0.489045,0.161875,0.000000,0.000000,0.000000,0.018239,491366528,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,27193.943359,44870010,0.489368,0.161982,0.000000,0.000000,0.000000,0.018252,491366528,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,27197.183594,44875351,0.489310,0.161963,0.000000,0.000000,0.000000,0.018249,491366528,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,27214.955078,44904677,0.488991,0.161857,0.000000,0.000000,0.000000,0.018237,491366528,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,27203.144531,44885187,0.489203,0.161927,0.000000,0.000000,0.000000,0.018245,491366528,
15,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,27134.158203,44771362,0.490293,0.162288,0.000000,0.000000,0.000000,0.018286,491212928,
16,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,27207.017578,44891580,0.489133,0.161904,0.000000,0.000000,0.000000,0.018243,491366528,
17,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,27205.953125,44889825,0.489152,0.161910,0.000000,0.000000,0.000000,0.018244,491366528,
18,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,27138.812500,44779042,0.490363,0.162311,0.000000,0.000000,0.000000,0.018289,491366528,
19,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,27191.689453,44866289,0.489409,0.161995,0.000000,0.000000,0.000000,0.018253,491366528,
20,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,27161.566406,44816583,0.489952,0.162175,0.000000,0.000000,0.000000,0.018273,491366528,
21,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,27131.953125,44767724,0.490487,0.162352,0.000000,0.000000,0.000000,0.018293,491366528,
22,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,27197.033203,44875103,0.489313,0.161963,0.000000,0.000000,0.000000,0.018249,491366528,
23,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,27173.505859,44836285,0.489583,0.162053,0.000000,0.000000,0.000000,0.018260,491212928,
24,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,27152.289062,44801276,0.490119,0.162230,0.000000,0.000000,0.000000,0.018280,491366528,
25,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,27171.931641,44833689,0.489765,0.162113,0.000000,0.000000,0.000000,0.018266,491366528,
26,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,27167.214844,44825906,0.489850,0.162141,0.000000,0.000000,0.000000,0.018270,491366528,
27,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,27130.222656,44764867,0.490518,0.162362,0.000000,0.000000,0.000000,0.018294,491366528,
28,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,27179.898438,44846834,0.489621,0.162066,0.000000,0.000000,0.000000,0.018261,491366528,
29,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,27167.074219,44825672,0.489853,0.162142,0.000000,0.000000,0.000000,0.018270,491366528,
