block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_write_cache_hit,aic_write_cache_miss_allocate,aic_r0_read_cache_hit,aic_r0_read_cache_miss_allocate,aic_r1_read_cache_hit,aic_r1_read_cache_miss_allocate,aic_write_hit_rate(%),aic_read_hit_rate(%),aic_total_hit_rate(%),aiv_time(us),aiv_total_cycles,aiv_write_cache_hit,aiv_write_cache_miss_allocate,aiv_r0_read_cache_hit,aiv_r0_read_cache_miss_allocate,aiv_r1_read_cache_hit,aiv_r1_read_cache_miss_allocate,aiv_write_hit_rate(%),aiv_read_hit_rate(%),aiv_total_hit_rate(%),
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27233.416016,44935138,2816,399,95510,865,95499,878,87.589424,99.095726,98.906960,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27184.425781,44854306,2815,400,51241,1242,51265,1244,87.558319,97.632202,97.332893,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27209.505859,44895683,2815,400,70719,1213,70702,1205,87.558319,98.318954,98.083694,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27189.488281,44862656,2815,400,58355,1212,58328,1206,87.558319,97.969788,97.696129,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27135.980469,44774369,2815,400,14164,1255,14194,1257,87.558319,91.862648,91.456650,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27154.408203,44804772,2815,400,27235,1254,27275,1256,87.558319,95.598038,95.168922,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27128.369141,44761810,2815,400,6055,1311,6032,1293,87.558319,82.274864,83.223503,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27165.876953,44823696,2815,399,36968,1302,37013,1302,87.585564,96.599854,96.236794,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27169.394531,44829500,2815,400,31837,1352,31792,1351,87.558319,95.925041,95.538269,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27218.892578,44911173,2815,400,72708,1374,72808,1370,87.558319,98.149200,97.924408,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27211.939453,44899701,2815,400,74222,1342,74112,1356,87.558319,98.213623,97.991531,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27193.943359,44870010,2815,400,36026,1395,36075,1395,87.558319,96.274590,95.915810,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27197.183594,44875351,2815,400,37786,1660,37737,1659,87.558319,95.790314,95.467781,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27214.955078,44904677,2815,400,75659,1450,75819,1446,87.558319,98.124039,97.908485,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27203.144531,44885187,2815,400,68392,1442,68238,1440,87.558319,97.934227,97.700508,
15,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27134.158203,44771362,2815,399,15694,1541,15671,1538,87.585564,91.060852,90.764244,
16,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27207.017578,44891580,2815,400,66045,1535,66072,1533,87.558319,97.730515,97.494217,
17,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27205.953125,44889825,2815,400,64428,1533,64489,1537,87.558319,97.674011,97.433472,
18,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27138.812500,44779042,2815,400,11677,1627,11612,1627,87.558319,87.740646,87.720947,
19,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27191.689453,44866289,2815,400,45534,1631,45572,1625,87.558319,96.549461,96.253212,
20,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27161.566406,44816583,2815,400,21867,1673,21833,1675,87.558319,92.883865,92.543221,
21,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27131.953125,44767724,2815,400,6138,1767,6148,1767,87.558319,77.661186,79.332809,
22,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27197.033203,44875103,2816,399,57180,1764,57163,1770,87.589424,97.001961,96.752060,
23,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27173.505859,44836285,2814,400,40295,1812,40282,1814,87.554451,95.693741,95.394485,
24,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27152.289062,44801276,2815,400,16431,1914,16456,1900,87.558319,89.607910,89.442833,
25,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27171.931641,44833689,2815,400,36909,1954,36897,1952,87.558319,94.973747,94.679153,
26,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27167.214844,44825906,2815,400,34591,2000,34608,1998,87.558319,94.538025,94.244362,
27,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27130.222656,44764867,2815,400,3637,2139,3576,2140,87.558319,62.765404,68.185219,
28,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27179.898438,44846834,2815,400,42098,2183,42153,2189,87.558319,95.066742,94.803894,
29,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27167.074219,44825672,2816,399,31016,2279,31041,2277,87.589424,93.160492,92.903992,
30,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27144.158203,44787859,2815,400,11293,2413,11259,2423,87.558319,82.342628,82.890564,
31,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27135.525391,44773616,2814,400,14227,2557,14159,2559,87.554451,84.729271,84.976578,
32,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27148.445312,44794934,2815,400,18483,2744,18550,2742,87.558319,87.097534,87.129929,
33,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27178.589844,44844670,2815,400,39288,2882,39242,2884,87.558319,93.159821,92.954025,
34,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27139.146484,44779592,2815,400,7031,3207,7072,3211,87.558319,68.724724,71.275696,
35,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27171.375000,44832768,2815,400,30407,3481,30453,3493,87.558319,89.719017,89.621246,
36,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27149.521484,44796714,2816,399,11231,3996,11167,4002,87.589424,73.687325,75.017105,
37,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27168.599609,44828187,2815,400,16746,4739,16485,4747,87.558319,77.793381,78.476875,
38,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27180.066406,44847107,2815,400,19847,6134,20093,6142,87.558319,76.489967,77.131927,
39,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27176.562500,44841326,2813,401,6205,14677,6200,14681,87.523338,29.703325,33.835072,
