block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_l1_read_bw(GB/s),aic_l1_write_bw(GB/s),aic_main_mem_read_bw(GB/s),aic_main_mem_write_bw(GB/s),aic_mte1_instructions,aic_mte1_ratio,aic_mte2_instructions,aic_mte2_ratio,aic_mte3_instructions,aic_mte3_ratio,aiv_time(us),aiv_total_cycles,aiv_ub_to_gm_bw(GB/s),aiv_gm_to_ub_bw(GB/s),aiv_main_mem_read_bw(GB/s),aiv_main_mem_write_bw(GB/s),aiv_mte2_instructions,aiv_mte2_ratio,aiv_mte3_instructions,aiv_mte3_ratio,read_main_memory_datas(KB),write_main_memory_datas(KB),GM_to_L1_datas(KB),GM_to_L1_bw_usage_rate(%),L1_to_GM_datas(KB)(estimate),L1_to_GM_bw_usage_rate(%)(estimate),L0C_to_L1_datas(KB),L0C_to_L1_bw_usage_rate(%),L0C_to_GM_datas(KB),L0C_to_GM_bw_usage_rate(%),GM_to_UB_datas(KB),GM_to_UB_bw_usage_rate(%),UB_to_GM_datas(KB),UB_to_GM_bw_usage_rate(%),
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27233.416016,44935138,0.014003,0.843102,0.843737,0.014073,155,0.005404,3200,0.014567,24094.000000,401.875000,NA,NA,NA,NA,NA,NA,NA,NA,24075.875000,0.432360,399.875000,0.007956,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27184.425781,44854306,0.014028,0.460030,0.460411,0.014098,98,0.003258,3200,0.013963,13124.000000,401.875000,NA,NA,NA,NA,NA,NA,NA,NA,13113.125000,0.235913,399.875000,0.007971,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27209.505859,44895683,0.014015,0.629691,0.630182,0.014085,123,0.004280,3200,0.014076,17979.875000,401.875000,NA,NA,NA,NA,NA,NA,NA,NA,17965.875000,0.322919,399.875000,0.007963,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27189.488281,44862656,0.014026,0.521764,0.522185,0.014096,107,0.003521,3200,0.013831,14887.625000,401.875000,NA,NA,NA,NA,NA,NA,NA,NA,14875.625000,0.267571,399.875000,0.007969,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27135.980469,44774369,0.014053,0.135450,0.135613,0.014124,49,0.001246,3200,0.013950,3858.750000,401.875000,NA,NA,NA,NA,NA,NA,NA,NA,3854.125000,0.069462,399.875000,0.007985,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27154.408203,44804772,0.014044,0.250079,0.250321,0.014114,67,0.002066,3200,0.013863,7127.500000,401.875000,NA,NA,NA,NA,NA,NA,NA,NA,7120.625000,0.128246,399.875000,0.007979,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27128.369141,44761810,0.014057,0.064442,0.064556,0.014128,39,0.000879,3200,0.014005,1836.375000,401.875000,NA,NA,NA,NA,NA,NA,NA,NA,1833.125000,0.033047,399.875000,0.007987,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27165.876953,44823696,0.014033,0.335772,0.336070,0.014104,81,0.002445,3199,0.013999,9573.125000,401.750000,NA,NA,NA,NA,NA,NA,NA,NA,9564.625000,0.172191,399.750000,0.007974,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27169.394531,44829500,0.014036,0.290773,0.291040,0.014106,75,0.002199,3200,0.014143,8291.500000,401.875000,NA,NA,NA,NA,NA,NA,NA,NA,8283.875000,0.149114,399.875000,0.007975,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27218.892578,44911173,0.014011,0.648824,0.649327,0.014081,129,0.005742,3200,0.014425,18532.500000,401.875000,NA,NA,NA,NA,NA,NA,NA,NA,18518.125000,0.332730,399.875000,0.007961,
