block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_l0a_read_bw(GB/s),aic_l0a_write_bw(GB/s),aic_l0b_read_bw(GB/s),aic_l0b_write_bw(GB/s),aic_l0c_read_bw_cube(GB/s),aic_l0c_write_bw_cube(GB/s),aiv_time(us),aiv_total_cycles,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,27233.416016,44935138,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,27184.425781,44854306,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,27209.505859,44895683,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,27189.488281,44862656,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,27135.980469,44774369,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,27154.408203,44804772,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,27128.369141,44761810,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,27165.876953,44823696,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,27169.394531,44829500,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,27218.892578,44911173,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,27211.939453,44899701,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,27193.943359,44870010,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,27197.183594,44875351,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,27214.955078,44904677,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,27203.144531,44885187,
15,vector0,NA,NA,NA,NA,NA,NA,NA,NA,27134.158203,44771362,
16,vector0,NA,NA,NA,NA,NA,NA,NA,NA,27207.017578,44891580,
17,vector0,NA,NA,NA,NA,NA,NA,NA,NA,27205.953125,44889825,
18,vector0,NA,NA,NA,NA,NA,NA,NA,NA,27138.812500,44779042,
19,vector0,NA,NA,NA,NA,NA,NA,NA,NA,27191.689453,44866289,
20,vector0,NA,NA,NA,NA,NA,NA,NA,NA,27161.566406,44816583,
21,vector0,NA,NA,NA,NA,NA,NA,NA,NA,27131.953125,44767724,
22,vector0,NA,NA,NA,NA,NA,NA,NA,NA,27197.033203,44875103,
23,vector0,NA,NA,NA,NA,NA,NA,NA,NA,27173.505859,44836285,
24,vector0,NA,NA,NA,NA,NA,NA,NA,NA,27152.289062,44801276,
25,vector0,NA,NA,NA,NA,NA,NA,NA,NA,27171.931641,44833689,
26,vector0,NA,NA,NA,NA,NA,NA,NA,NA,27167.214844,44825906,
27,vector0,NA,NA,NA,NA,NA,NA,NA,NA,27130.222656,44764867,
28,vector0,NA,NA,NA,NA,NA,NA,NA,NA,27179.898438,44846834,
29,vector0,NA,NA,NA,NA,NA,NA,NA,NA,27167.074219,44825672,
30,vector0,NA,NA,NA,NA,NA,NA,NA,NA,27144.158203,44787859,
31,vector0,NA,NA,NA,NA,NA,NA,NA,NA,27135.525391,44773616,
32,vector0,NA,NA,NA,NA,NA,NA,NA,NA,27148.445312,44794934,
33,vector0,NA,NA,NA,NA,NA,NA,NA,NA,27178.589844,44844670,
34,vector0,NA,NA,NA,NA,NA,NA,NA,NA,27139.146484,44779592,
35,vector0,NA,NA,NA,NA,NA,NA,NA,NA,27171.375000,44832768,
36,vector0,NA,NA,NA,NA,NA,NA,NA,NA,27149.521484,44796714,
37,vector0,NA,NA,NA,NA,NA,NA,NA,NA,27168.599609,44828187,
38,vector0,NA,NA,NA,NA,NA,NA,NA,NA,27180.066406,44847107,
39,vector0,NA,NA,NA,NA,NA,NA,NA,NA,27176.562500,44841326,
