block_id,sub_block_id,aic_time(us),aic_total_cycles,aiv_time(us),aiv_total_cycles,aiv_ub_read_bw_vector(GB/s),aiv_ub_write_bw_vector(GB/s),aiv_ub_read_bw_scalar(GB/s),aiv_ub_write_bw_scalar(GB/s),
0,vector0,NA,NA,27233.416016,44935138,84.690369,42.569229,0.028008,0.056012,
1,vector0,NA,NA,27184.425781,44854306,84.842995,42.645943,0.028059,0.056113,
2,vector0,NA,NA,27209.505859,44895683,84.764786,42.606636,0.028033,0.056061,
3,vector0,NA,NA,27189.488281,44862656,84.827194,42.638004,0.028054,0.056103,
4,vector0,NA,NA,27135.980469,44774369,84.994461,42.722080,0.028109,0.056213,
5,vector0,NA,NA,27154.408203,44804772,84.936783,42.693085,0.028090,0.056175,
6,vector0,NA,NA,27128.369141,44761810,85.018303,42.734066,0.028117,0.056229,
7,vector0,NA,NA,27165.876953,44823696,84.874382,42.661724,0.028069,0.056134,
8,vector0,NA,NA,27169.394531,44829500,84.889931,42.669537,0.028074,0.056144,
9,vector0,NA,NA,27218.892578,44911173,84.735558,42.591942,0.028023,0.056042,
10,vector0,NA,NA,27211.939453,44899701,84.757210,42.602825,0.028030,0.056056,
11,vector0,NA,NA,27193.943359,44870010,84.813293,42.631020,0.028049,0.056093,
12,vector0,NA,NA,27197.183594,44875351,84.803192,42.625938,0.028046,0.056087,
13,vector0,NA,NA,27214.955078,44904677,84.747818,42.598106,0.028027,0.056050,
14,vector0,NA,NA,27203.144531,44885187,84.784607,42.616600,0.028039,0.056074,
15,vector0,NA,NA,27134.158203,44771362,84.973595,42.711594,0.028102,0.056199,
16,vector0,NA,NA,27207.017578,44891580,84.772537,42.610531,0.028035,0.056066,
17,vector0,NA,NA,27205.953125,44889825,84.775856,42.612198,0.028037,0.056069,
18,vector0,NA,NA,27138.812500,44779042,84.985588,42.717621,0.028106,0.056207,
19,vector0,NA,NA,27191.689453,44866289,84.820328,42.634552,0.028051,0.056098,
20,vector0,NA,NA,27161.566406,44816583,84.914398,42.681835,0.028082,0.056160,
21,vector0,NA,NA,27131.953125,44767724,85.007072,42.728420,0.028113,0.056222,
22,vector0,NA,NA,27197.033203,44875103,84.803665,42.626175,0.028046,0.056087,
23,vector0,NA,NA,27173.505859,44836285,84.850555,42.649746,0.028061,0.056118,
24,vector0,NA,NA,27152.289062,44801276,84.943413,42.696419,0.028092,0.056180,
25,vector0,NA,NA,27171.931641,44833689,84.882004,42.665554,0.028072,0.056139,
26,vector0,NA,NA,27167.214844,44825906,84.896744,42.672962,0.028077,0.056149,
27,vector0,NA,NA,27130.222656,44764867,85.012497,42.731144,0.028115,0.056225,
28,vector0,NA,NA,27179.898438,44846834,84.857124,42.653046,0.028063,0.056122,
29,vector0,NA,NA,27167.074219,44825672,84.897179,42.673183,0.028077,0.056149,
30,vector0,NA,NA,27144.158203,44787859,84.968857,42.709209,0.028100,0.056196,
31,vector0,NA,NA,27135.525391,44773616,84.969315,42.709442,0.028101,0.056197,
32,vector0,NA,NA,27148.445312,44794934,84.955437,42.702465,0.028096,0.056187,
33,vector0,NA,NA,27178.589844,44844670,84.861206,42.655102,0.028065,0.056125,
34,vector0,NA,NA,27139.146484,44779592,84.984543,42.717094,0.028106,0.056207,
35,vector0,NA,NA,27171.375000,44832768,84.883743,42.666428,0.028072,0.056140,
36,vector0,NA,NA,27149.521484,44796714,84.952065,42.700771,0.028095,0.056185,
37,vector0,NA,NA,27168.599609,44828187,84.892410,42.670788,0.028075,0.056146,
38,vector0,NA,NA,27180.066406,44847107,84.856598,42.652782,0.028063,0.056122,
39,vector0,NA,NA,27176.562500,44841326,84.834366,42.641613,0.028056,0.056107,
