block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_time(us),aic_cube_ratio,aic_scalar_time(us),aic_scalar_ratio,aic_mte1_time(us),aic_mte1_ratio,aic_mte2_time(us),aic_mte2_ratio,aic_mte3_time(us),aic_mte3_ratio,aic_fixpipe_time(us),aic_fixpipe_ratio,aic_icache_miss_rate,aiv_time(us),aiv_total_cycles,aiv_vec_time(us),aiv_vec_ratio,aiv_scalar_time(us),aiv_scalar_ratio,aiv_mte2_time(us),aiv_mte2_ratio,aiv_mte3_time(us),aiv_mte3_ratio,aiv_icache_miss_rate,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27233.416016,44935138,13307.859375,0.488659,17036.849609,0.625586,147.181213,0.005404,396.700012,0.014567,0.000000,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27184.425781,44854306,13307.859375,0.489540,17033.199219,0.626579,88.559998,0.003258,379.587280,0.013963,0.000000,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27209.505859,44895683,13307.859375,0.489089,17034.964844,0.626067,116.444244,0.004280,382.993347,0.014076,0.000000,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27189.488281,44862656,13307.859375,0.489449,17034.146484,0.626498,95.734543,0.003521,376.058197,0.013831,0.000000,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27135.980469,44774369,13307.859375,0.490414,17031.494141,0.627635,33.802425,0.001246,378.533936,0.013950,0.000000,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27154.408203,44804772,13307.859375,0.490081,17031.841797,0.627222,56.105453,0.002066,376.433929,0.013863,0.000000,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27128.369141,44761810,13307.859375,0.490551,17030.730469,0.627783,23.846060,0.000879,379.944855,0.014005,0.000000,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27165.876953,44823696,13303.699219,0.489721,17028.720703,0.626842,66.417572,0.002445,380.302429,0.013999,0.000000,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27169.394531,44829500,13307.859375,0.489811,17031.259766,0.626855,59.751514,0.002199,384.265442,0.014143,0.000000,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27218.892578,44911173,13307.859375,0.488920,17034.572266,0.625836,156.284241,0.005742,392.621216,0.014425,0.000000,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27211.939453,44899701,13307.859375,0.489045,17035.296875,0.626023,158.525452,0.005826,397.483643,0.014607,0.000000,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27193.943359,44870010,13307.859375,0.489368,17034.228516,0.626398,64.958786,0.002389,398.124847,0.014640,0.000000,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27197.183594,44875351,13307.859375,0.489310,17031.791016,0.626234,68.898788,0.002533,401.575745,0.014765,0.000000,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27214.955078,44904677,13307.859375,0.488991,17035.468750,0.625960,131.161819,0.004819,386.683624,0.014208,0.000000,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27203.144531,44885187,13307.859375,0.489203,17035.158203,0.626220,120.095154,0.004415,388.931519,0.014297,0.000000,
