block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_wait_ratio,aic_mte1_wait_ratio,aic_mte2_wait_ratio,aic_mte3_wait_ratio,aiv_time(us),aiv_total_cycles,aiv_vec_total_cflt_ratio,aiv_vec_bankgroup_cflt_ratio,aiv_vec_bank_cflt_ratio,aiv_vec_resc_cflt_ratio,aiv_vec_mte_cflt_ratio,aiv_vec_wait_ratio,aiv_mte1_wait_ratio,aiv_mte2_wait_ratio,aiv_mte3_wait_ratio,
0,vector0,NA,NA,NA,NA,NA,NA,27233.416016,44935138,0.069483,0.061509,0.007973,0.000000,0.000000,0.101247,0.000000,0.000000,0.021969,
1,vector0,NA,NA,NA,NA,NA,NA,27184.425781,44854306,0.069608,0.061620,0.007988,0.000000,0.000000,0.099627,0.000000,0.000000,0.021990,
2,vector0,NA,NA,NA,NA,NA,NA,27209.505859,44895683,0.069544,0.061564,0.007980,0.000000,0.000000,0.100373,0.000000,0.000000,0.021978,
3,vector0,NA,NA,NA,NA,NA,NA,27189.488281,44862656,0.069595,0.061609,0.007986,0.000000,0.000000,0.099786,0.000000,0.000000,0.021989,
4,vector0,NA,NA,NA,NA,NA,NA,27135.980469,44774369,0.069732,0.061730,0.008002,0.000000,0.000000,0.098077,0.000000,0.000000,0.022012,
5,vector0,NA,NA,NA,NA,NA,NA,27154.408203,44804772,0.069685,0.061688,0.007997,0.000000,0.000000,0.098667,0.000000,0.000000,0.022003,
6,vector0,NA,NA,NA,NA,NA,NA,27128.369141,44761810,0.069752,0.061748,0.008004,0.000000,0.000000,0.097770,0.000000,0.000000,0.022015,
7,vector0,NA,NA,NA,NA,NA,NA,27165.876953,44823696,0.069634,0.061643,0.007991,0.000000,0.000000,0.098964,0.000000,0.000000,0.021992,
8,vector0,NA,NA,NA,NA,NA,NA,27169.394531,44829500,0.069647,0.061654,0.007992,0.000000,0.000000,0.098746,0.000000,0.000000,0.021993,
9,vector0,NA,NA,NA,NA,NA,NA,27218.892578,44911173,0.069520,0.061542,0.007978,0.000000,0.000000,0.101753,0.000000,0.000000,0.021971,
10,vector0,NA,NA,NA,NA,NA,NA,27211.939453,44899701,0.069538,0.061558,0.007980,0.000000,0.000000,0.101794,0.000000,0.000000,0.021978,
11,vector0,NA,NA,NA,NA,NA,NA,27193.943359,44870010,0.069584,0.061599,0.007985,0.000000,0.000000,0.098861,0.000000,0.000000,0.021975,
12,vector0,NA,NA,NA,NA,NA,NA,27197.183594,44875351,0.069575,0.061591,0.007984,0.000000,0.000000,0.098947,0.000000,0.000000,0.021974,
13,vector0,NA,NA,NA,NA,NA,NA,27214.955078,44904677,0.069530,0.061551,0.007979,0.000000,0.000000,0.100630,0.000000,0.000000,0.021976,
14,vector0,NA,NA,NA,NA,NA,NA,27203.144531,44885187,0.069560,0.061578,0.007982,0.000000,0.000000,0.100376,0.000000,0.000000,0.021982,
15,vector0,NA,NA,NA,NA,NA,NA,27134.158203,44771362,0.069715,0.061715,0.008000,0.000000,0.000000,0.098146,0.000000,0.000000,0.022008,
16,vector0,NA,NA,NA,NA,NA,NA,27207.017578,44891580,0.069550,0.061569,0.007981,0.000000,0.000000,0.100211,0.000000,0.000000,0.021978,
17,vector0,NA,NA,NA,NA,NA,NA,27205.953125,44889825,0.069553,0.061572,0.007981,0.000000,0.000000,0.100364,0.000000,0.000000,0.021978,
18,vector0,NA,NA,NA,NA,NA,NA,27138.812500,44779042,0.069725,0.061724,0.008001,0.000000,0.000000,0.098268,0.000000,0.000000,0.022009,
19,vector0,NA,NA,NA,NA,NA,NA,27191.689453,44866289,0.069590,0.061604,0.007986,0.000000,0.000000,0.099390,0.000000,0.000000,0.021981,
20,vector0,NA,NA,NA,NA,NA,NA,27161.566406,44816583,0.069667,0.061672,0.007995,0.000000,0.000000,0.098390,0.000000,0.000000,0.021995,
