block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_ratio,aic_cube_fp16_ratio,aic_cube_int8_ratio,aic_cube_fops,aic_cube_total_instr_number,aic_cube_fp_instr_number,aic_cube_int_instr_number,aiv_time(us),aiv_total_cycles,aiv_vec_ratio,aiv_vec_fp32_ratio,aiv_vec_fp16_ratio,aiv_vec_int32_ratio,aiv_vec_int16_ratio,aiv_vec_misc_ratio,aiv_vec_fops,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,30852.513672,50906648,0.431338,0.142774,0.000000,0.000000,0.000000,0.016087,491366528,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,30928.332031,51031748,0.430281,0.142424,0.000000,0.000000,0.000000,0.016048,491366528,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,30938.664062,51048795,0.430137,0.142376,0.000000,0.000000,0.000000,0.016042,491366528,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,30910.001953,51001505,0.430536,0.142508,0.000000,0.000000,0.000000,0.016057,491366528,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,30892.201172,50972132,0.430784,0.142590,0.000000,0.000000,0.000000,0.016067,491366528,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,32185.851562,53106657,0.413469,0.136859,0.000000,0.000000,0.000000,0.015421,491366528,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,32268.513672,53243049,0.412410,0.136508,0.000000,0.000000,0.000000,0.015381,491366528,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,31137.810547,51377388,0.427252,0.141421,0.000000,0.000000,0.000000,0.015935,491212928,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,31120.486328,51348803,0.427624,0.141544,0.000000,0.000000,0.000000,0.015949,491366528,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,30862.544922,50923202,0.431198,0.142727,0.000000,0.000000,0.000000,0.016082,491366528,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,30879.013672,50950371,0.430968,0.142651,0.000000,0.000000,0.000000,0.016073,491366528,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,30928.126953,51031409,0.430283,0.142425,0.000000,0.000000,0.000000,0.016048,491366528,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,30974.525391,51107970,0.429639,0.142211,0.000000,0.000000,0.000000,0.016024,491366528,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,31000.388672,51150639,0.429280,0.142093,0.000000,0.000000,0.000000,0.016011,491366528,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,31001.416016,51152334,0.429266,0.142088,0.000000,0.000000,0.000000,0.016010,491366528,
15,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,31060.042969,51249074,0.428322,0.141775,0.000000,0.000000,0.000000,0.015975,491212928,
16,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,31023.796875,51189266,0.428957,0.141985,0.000000,0.000000,0.000000,0.015998,491366528,
17,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,31933.386719,52690089,0.416738,0.137941,0.000000,0.000000,0.000000,0.015543,491366528,
18,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,31984.783203,52774891,0.416068,0.137719,0.000000,0.000000,0.000000,0.015518,491366528,
19,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,31399.625000,51809379,0.423822,0.140286,0.000000,0.000000,0.000000,0.015807,491366528,
20,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,31413.158203,51831714,0.423640,0.140225,0.000000,0.000000,0.000000,0.015800,491366528,
21,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,30992.435547,51137521,0.429391,0.142129,0.000000,0.000000,0.000000,0.016015,491366528,
22,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,30943.619141,51056971,0.430068,0.142353,0.000000,0.000000,0.000000,0.016040,491366528,
23,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,31269.292969,51594333,0.425456,0.140827,0.000000,0.000000,0.000000,0.015868,491212928,
24,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,31281.650391,51614724,0.425421,0.140815,0.000000,0.000000,0.000000,0.015867,491366528,
25,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,32116.529297,52992270,0.414362,0.137154,0.000000,0.000000,0.000000,0.015454,491366528,
26,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,32040.144531,52866240,0.415350,0.137481,0.000000,0.000000,0.000000,0.015491,491366528,
27,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,31065.208984,51257595,0.428385,0.141796,0.000000,0.000000,0.000000,0.015977,491366528,
28,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,31064.863281,51257023,0.428389,0.141798,0.000000,0.000000,0.000000,0.015977,491366528,
29,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,30959.568359,51083289,0.429846,0.142280,0.000000,0.000000,0.000000,0.016032,491366528,
30,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,31044.726562,51223798,0.428667,0.141890,0.000000,0.000000,0.000000,0.015988,491366528,
31,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,30823.107422,50858129,0.431614,0.142865,0.000000,0.000000,0.000000,0.016098,491212928,
32,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,30792.019531,50806831,0.432185,0.143054,0.000000,0.000000,0.000000,0.016119,491366528,
33,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,30855.654297,50911828,0.431294,0.142759,0.000000,0.000000,0.000000,0.016086,491366528,
34,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,30951.152344,51069402,0.429963,0.142319,0.000000,0.000000,0.000000,0.016036,491366528,
35,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,31088.103516,51295372,0.428069,0.141692,0.000000,0.000000,0.000000,0.015965,491366528,
36,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,31042.724609,51220496,0.428695,0.141899,0.000000,0.000000,0.000000,0.015989,491366528,
37,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,31720.421875,52338698,0.419536,0.138867,0.000000,0.000000,0.000000,0.015647,491366528,
38,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,31646.414062,52216586,0.420517,0.139192,0.000000,0.000000,0.000000,0.015684,491366528,
39,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,30836.908203,50880899,0.431388,0.142790,0.000000,0.000000,0.000000,0.016089,491174528,
