block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_write_cache_hit,aic_write_cache_miss_allocate,aic_r0_read_cache_hit,aic_r0_read_cache_miss_allocate,aic_r1_read_cache_hit,aic_r1_read_cache_miss_allocate,aic_write_hit_rate(%),aic_read_hit_rate(%),aic_total_hit_rate(%),aiv_time(us),aiv_total_cycles,aiv_write_cache_hit,aiv_write_cache_miss_allocate,aiv_r0_read_cache_hit,aiv_r0_read_cache_miss_allocate,aiv_r1_read_cache_hit,aiv_r1_read_cache_miss_allocate,aiv_write_hit_rate(%),aiv_read_hit_rate(%),aiv_total_hit_rate(%),
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30852.513672,50906648,2816,399,2412390,1175,2412132,1150,87.589424,99.951828,99.943604,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30928.332031,51031748,2815,400,2405586,1416,2405660,1379,87.558319,99.941940,99.933678,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30938.664062,51048795,2815,400,2412039,1356,2412018,1340,87.558319,99.944145,99.935898,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30910.001953,51001505,2815,400,2411800,1388,2412099,1372,87.558319,99.942818,99.934570,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30892.201172,50972132,2815,400,2405851,1311,2405589,1290,87.558319,99.945969,99.937706,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32185.851562,53106657,2815,400,2412525,1431,2411437,1454,87.558319,99.940231,99.931984,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32268.513672,53243049,2815,400,2411679,1353,2412755,1343,87.558319,99.944145,99.935905,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31137.810547,51377388,2815,399,2404937,1374,2404906,1414,87.585564,99.942070,99.933823,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31120.486328,51348803,2815,400,2411984,1539,2411980,1533,87.558319,99.936363,99.928116,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30862.544922,50923202,2815,400,2411817,1499,2412055,1571,87.558319,99.936401,99.928162,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30879.013672,50950371,2815,400,2405794,1523,2405455,1551,87.558319,99.936150,99.927887,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30928.126953,51031409,2815,400,2405845,1559,2405313,1606,87.558319,99.934258,99.926003,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30974.525391,51107970,2815,400,2411844,1620,2412312,1637,87.558319,99.932533,99.924294,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31000.388672,51150639,2815,400,2405477,1651,2405586,1609,87.558319,99.932289,99.924026,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31001.416016,51152334,2815,400,2412187,1412,2412063,1469,87.558319,99.940315,99.932076,
15,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31060.042969,51249074,2815,399,2404792,1541,2405143,1531,87.585564,99.936172,99.927933,
16,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31023.796875,51189266,2815,400,2412420,1551,2412115,1516,87.558319,99.936470,99.928230,
17,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31933.386719,52690089,2815,400,2406001,1684,2405288,1632,87.558319,99.931122,99.922867,
18,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31984.783203,52774891,2815,400,2411678,1741,2412447,1736,87.558319,99.927979,99.919746,
19,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31399.625000,51809379,2815,400,2410830,1618,2413424,1636,87.558319,99.932594,99.924362,
20,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31413.158203,51831714,2815,400,2413537,1665,2410907,1682,87.558319,99.930679,99.922440,
21,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30992.435547,51137521,2815,400,2405752,1764,2405789,1770,87.558319,99.926605,99.918350,
22,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30943.619141,51056971,2816,399,2411935,1982,2411948,1926,87.589424,99.919052,99.910843,
23,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31269.292969,51594333,2814,400,2411342,2000,2411036,2000,87.554451,99.917122,99.908897,
24,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31281.650391,51614724,2815,400,2405427,2052,2405750,2034,87.558319,99.915146,99.906898,
25,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32116.529297,52992270,2815,400,2412563,1839,2412039,1822,87.558319,99.924171,99.915947,
26,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32040.144531,52866240,2815,400,2411705,2203,2412280,2169,87.558319,99.909454,99.901230,
27,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31065.208984,51257595,2815,400,2413187,2336,2410895,2317,87.558319,99.903641,99.895424,
28,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31064.863281,51257023,2815,400,2411030,2182,2413331,2192,87.558319,99.909416,99.901199,
29,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30959.568359,51083289,2816,399,2411146,2480,2412941,2451,87.589424,99.897888,99.889702,
30,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31044.726562,51223798,2815,400,2413073,2367,2411395,2278,87.558319,99.903809,99.895599,
31,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30823.107422,50858129,2814,400,2406568,2697,2403388,2704,87.554451,99.887833,99.879608,
32,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30792.019531,50806831,2815,400,2404467,2565,2407658,2547,87.558319,99.893883,99.885658,
33,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30855.654297,50911828,2815,400,2408851,2532,2403298,2556,87.558319,99.894379,99.886147,
34,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30951.152344,51069402,2815,400,2403386,2891,2408908,2898,87.558319,99.879852,99.871635,
35,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31088.103516,51295372,2815,400,2406243,3098,2405996,3122,87.558319,99.870911,99.862701,
36,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31042.724609,51220496,2816,399,2405712,3970,2405878,4027,87.589424,99.834076,99.825912,
37,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31720.421875,52338698,2815,400,2412275,4726,2412354,4665,87.558319,99.805733,99.797585,
38,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31646.414062,52216586,2815,400,2412935,5406,2412857,5465,87.558319,99.775238,99.767120,
39,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30836.908203,50880899,2813,401,2406464,13434,2406789,13392,87.523338,99.445755,99.437836,
