block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_l1_read_bw(GB/s),aic_l1_write_bw(GB/s),aic_main_mem_read_bw(GB/s),aic_main_mem_write_bw(GB/s),aic_mte1_instructions,aic_mte1_ratio,aic_mte2_instructions,aic_mte2_ratio,aic_mte3_instructions,aic_mte3_ratio,aiv_time(us),aiv_total_cycles,aiv_ub_to_gm_bw(GB/s),aiv_gm_to_ub_bw(GB/s),aiv_main_mem_read_bw(GB/s),aiv_main_mem_write_bw(GB/s),aiv_mte2_instructions,aiv_mte2_ratio,aiv_mte3_instructions,aiv_mte3_ratio,read_main_memory_datas(KB),write_main_memory_datas(KB),GM_to_L1_datas(KB),GM_to_L1_bw_usage_rate(%),L1_to_GM_datas(KB)(estimate),L1_to_GM_bw_usage_rate(%)(estimate),L0C_to_L1_datas(KB),L0C_to_L1_bw_usage_rate(%),L0C_to_GM_datas(KB),L0C_to_GM_bw_usage_rate(%),GM_to_UB_datas(KB),GM_to_UB_bw_usage_rate(%),UB_to_GM_datas(KB),UB_to_GM_bw_usage_rate(%),
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30852.513672,50906648,0.012360,18.650112,18.650183,0.012422,12834,0.135645,3200,0.012690,603355.875000,401.875000,NA,NA,NA,NA,NA,NA,NA,NA,603353.625000,9.564160,399.875000,0.007023,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30928.332031,51031748,0.012330,18.555037,18.555105,0.012392,12836,0.137908,3200,0.012911,601755.125000,401.875000,NA,NA,NA,NA,NA,NA,NA,NA,601752.875000,9.515404,399.875000,0.007006,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30938.664062,51048795,0.012326,18.597820,18.597889,0.012388,12835,0.138179,3200,0.013018,603344.125000,401.875000,NA,NA,NA,NA,NA,NA,NA,NA,603341.875000,9.537343,399.875000,0.007003,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30910.001953,51001505,0.012337,18.614700,18.614769,0.012399,12835,0.137408,3200,0.012559,603332.375000,401.875000,NA,NA,NA,NA,NA,NA,NA,NA,603330.125000,9.546000,399.875000,0.007010,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30892.201172,50972132,0.012345,18.576738,18.576807,0.012406,12836,0.136500,3200,0.012636,601755.125000,401.875000,NA,NA,NA,NA,NA,NA,NA,NA,601752.875000,9.526532,399.875000,0.007014,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32185.851562,53106657,0.011848,17.877508,17.877575,0.011908,12836,0.171945,3200,0.012052,603355.875000,401.875000,NA,NA,NA,NA,NA,NA,NA,NA,603353.625000,9.167953,399.875000,0.006732,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32268.513672,53243049,0.011818,17.832756,17.832825,0.011877,12838,0.173928,3200,0.012125,603391.250000,401.875000,NA,NA,NA,NA,NA,NA,NA,NA,603389.000000,9.145003,399.875000,0.006715,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31137.810547,51377388,0.012243,18.424809,18.424877,0.012305,12834,0.144462,3199,0.012816,601578.875000,401.750000,NA,NA,NA,NA,NA,NA,NA,NA,601576.625000,9.448620,399.750000,0.006956,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31120.486328,51348803,0.012254,18.490246,18.490314,0.012315,12839,0.143777,3200,0.012974,603379.500000,401.875000,NA,NA,NA,NA,NA,NA,NA,NA,603377.250000,9.482177,399.875000,0.006963,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30862.544922,50923202,0.012356,18.644419,18.644487,0.012418,12839,0.135890,3200,0.012741,603367.750000,401.875000,NA,NA,NA,NA,NA,NA,NA,NA,603365.500000,9.561240,399.875000,0.007021,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30879.013672,50950371,0.012350,18.585758,18.585829,0.012412,12839,0.136469,3200,0.012837,601790.375000,401.875000,NA,NA,NA,NA,NA,NA,NA,NA,601788.125000,9.531158,399.875000,0.007017,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30928.126953,51031409,0.012330,18.556244,18.556314,0.012392,12841,0.137963,3200,0.012349,601790.375000,401.875000,NA,NA,NA,NA,NA,NA,NA,NA,601788.125000,9.516023,399.875000,0.007006,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30974.525391,51107970,0.012312,18.578825,18.578896,0.012373,12842,0.139256,3200,0.012411,603426.625000,401.875000,NA,NA,NA,NA,NA,NA,NA,NA,603424.375000,9.527602,399.875000,0.006995,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31000.388672,51150639,0.012301,18.512989,18.513060,0.012363,12842,0.139935,3200,0.012128,601790.375000,401.875000,NA,NA,NA,NA,NA,NA,NA,NA,601788.125000,9.493841,399.875000,0.006989,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31001.416016,51152334,0.012301,18.561626,18.561695,0.012363,12842,0.139999,3200,0.012269,603391.375000,401.875000,NA,NA,NA,NA,NA,NA,NA,NA,603389.125000,9.518783,399.875000,0.006989,
15,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31060.042969,51249074,0.012274,18.472383,18.472450,0.012335,12840,0.142223,3199,0.012099,601625.875000,401.750000,NA,NA,NA,NA,NA,NA,NA,NA,601623.625000,9.473018,399.750000,0.006974,
16,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31023.796875,51189266,0.012292,18.550047,18.550116,0.012354,12845,0.140568,3200,0.012277,603450.250000,401.875000,NA,NA,NA,NA,NA,NA,NA,NA,603448.000000,9.512844,399.875000,0.006984,
17,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31933.386719,52690089,0.011942,17.973148,17.973215,0.012002,12845,0.165235,3200,0.011940,601825.625000,401.875000,NA,NA,NA,NA,NA,NA,NA,NA,601823.375000,9.216999,399.875000,0.006785,
18,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31984.783203,52774891,0.011923,17.992708,17.992775,0.011983,12847,0.166555,3200,0.012006,603450.250000,401.875000,NA,NA,NA,NA,NA,NA,NA,NA,603448.000000,9.227030,399.875000,0.006774,
19,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31399.625000,51809379,0.012145,18.327660,18.327728,0.012206,12847,0.152040,3200,0.012555,603438.500000,401.875000,NA,NA,NA,NA,NA,NA,NA,NA,603436.250000,9.398800,399.875000,0.006901,
20,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31413.158203,51831714,0.012140,18.320837,18.320906,0.012201,12849,0.152506,3200,0.012639,603473.875000,401.875000,NA,NA,NA,NA,NA,NA,NA,NA,603471.625000,9.395301,399.875000,0.006898,
21,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30992.435547,51137521,0.012305,18.520632,18.520700,0.012366,12852,0.139637,3200,0.013382,601884.375000,401.875000,NA,NA,NA,NA,NA,NA,NA,NA,601882.125000,9.497760,399.875000,0.006991,
