block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_l0a_read_bw(GB/s),aic_l0a_write_bw(GB/s),aic_l0b_read_bw(GB/s),aic_l0b_write_bw(GB/s),aic_l0c_read_bw_cube(GB/s),aic_l0c_write_bw_cube(GB/s),aiv_time(us),aiv_total_cycles,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,30852.513672,50906648,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,30928.332031,51031748,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,30938.664062,51048795,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,30910.001953,51001505,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,30892.201172,50972132,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,32185.851562,53106657,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,32268.513672,53243049,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,31137.810547,51377388,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,31120.486328,51348803,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,30862.544922,50923202,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,30879.013672,50950371,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,30928.126953,51031409,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,30974.525391,51107970,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,31000.388672,51150639,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,31001.416016,51152334,
15,vector0,NA,NA,NA,NA,NA,NA,NA,NA,31060.042969,51249074,
16,vector0,NA,NA,NA,NA,NA,NA,NA,NA,31023.796875,51189266,
17,vector0,NA,NA,NA,NA,NA,NA,NA,NA,31933.386719,52690089,
18,vector0,NA,NA,NA,NA,NA,NA,NA,NA,31984.783203,52774891,
19,vector0,NA,NA,NA,NA,NA,NA,NA,NA,31399.625000,51809379,
20,vector0,NA,NA,NA,NA,NA,NA,NA,NA,31413.158203,51831714,
21,vector0,NA,NA,NA,NA,NA,NA,NA,NA,30992.435547,51137521,
22,vector0,NA,NA,NA,NA,NA,NA,NA,NA,30943.619141,51056971,
23,vector0,NA,NA,NA,NA,NA,NA,NA,NA,31269.292969,51594333,
24,vector0,NA,NA,NA,NA,NA,NA,NA,NA,31281.650391,51614724,
25,vector0,NA,NA,NA,NA,NA,NA,NA,NA,32116.529297,52992270,
26,vector0,NA,NA,NA,NA,NA,NA,NA,NA,32040.144531,52866240,
27,vector0,NA,NA,NA,NA,NA,NA,NA,NA,31065.208984,51257595,
28,vector0,NA,NA,NA,NA,NA,NA,NA,NA,31064.863281,51257023,
29,vector0,NA,NA,NA,NA,NA,NA,NA,NA,30959.568359,51083289,
30,vector0,NA,NA,NA,NA,NA,NA,NA,NA,31044.726562,51223798,
31,vector0,NA,NA,NA,NA,NA,NA,NA,NA,30823.107422,50858129,
32,vector0,NA,NA,NA,NA,NA,NA,NA,NA,30792.019531,50806831,
33,vector0,NA,NA,NA,NA,NA,NA,NA,NA,30855.654297,50911828,
34,vector0,NA,NA,NA,NA,NA,NA,NA,NA,30951.152344,51069402,
35,vector0,NA,NA,NA,NA,NA,NA,NA,NA,31088.103516,51295372,
36,vector0,NA,NA,NA,NA,NA,NA,NA,NA,31042.724609,51220496,
37,vector0,NA,NA,NA,NA,NA,NA,NA,NA,31720.421875,52338698,
38,vector0,NA,NA,NA,NA,NA,NA,NA,NA,31646.414062,52216586,
39,vector0,NA,NA,NA,NA,NA,NA,NA,NA,30836.908203,50880899,
