block_id,sub_block_id,aic_time(us),aic_total_cycles,aiv_time(us),aiv_total_cycles,aiv_ub_read_bw_vector(GB/s),aiv_ub_write_bw_vector(GB/s),aiv_ub_read_bw_scalar(GB/s),aiv_ub_write_bw_scalar(GB/s),
0,vector0,NA,NA,30852.513672,50906648,74.755920,37.575722,0.024723,0.049442,
1,vector0,NA,NA,30928.332031,51031748,74.572662,37.483608,0.024662,0.049321,
2,vector0,NA,NA,30938.664062,51048795,74.547760,37.471092,0.024654,0.049304,
3,vector0,NA,NA,30910.001953,51001505,74.616882,37.505836,0.024677,0.049350,
4,vector0,NA,NA,30892.201172,50972132,74.659882,37.527451,0.024691,0.049378,
5,vector0,NA,NA,32185.851562,53106657,71.659065,36.019104,0.023699,0.047394,
6,vector0,NA,NA,32268.513672,53243049,71.475494,35.926834,0.023638,0.047272,
7,vector0,NA,NA,31137.810547,51377388,74.047821,37.219803,0.024489,0.048973,
8,vector0,NA,NA,31120.486328,51348803,74.112213,37.252167,0.024510,0.049016,
9,vector0,NA,NA,30862.544922,50923202,74.731621,37.563511,0.024715,0.049426,
10,vector0,NA,NA,30879.013672,50950371,74.691765,37.543476,0.024702,0.049399,
11,vector0,NA,NA,30928.126953,51031409,74.573158,37.483856,0.024662,0.049321,
12,vector0,NA,NA,30974.525391,51107970,74.461449,37.427708,0.024625,0.049247,
13,vector0,NA,NA,31000.388672,51150639,74.399323,37.396484,0.024605,0.049206,
14,vector0,NA,NA,31001.416016,51152334,74.396858,37.395245,0.024604,0.049204,
15,vector0,NA,NA,31060.042969,51249074,74.233223,37.312992,0.024550,0.049096,
16,vector0,NA,NA,31023.796875,51189266,74.343185,37.368267,0.024586,0.049169,
17,vector0,NA,NA,31933.386719,52690089,72.225601,36.303871,0.023886,0.047768,
18,vector0,NA,NA,31984.783203,52774891,72.109543,36.245533,0.023848,0.047691,
19,vector0,NA,NA,31399.625000,51809379,73.453362,36.920998,0.024292,0.048580,
20,vector0,NA,NA,31413.158203,51831714,73.421715,36.905090,0.024282,0.048559,
21,vector0,NA,NA,30992.435547,51137521,74.418419,37.406078,0.024611,0.049219,
22,vector0,NA,NA,30943.619141,51056971,74.535820,37.465092,0.024650,0.049296,
23,vector0,NA,NA,31269.292969,51594333,73.736458,37.063297,0.024386,0.048768,
24,vector0,NA,NA,31281.650391,51614724,73.730377,37.060242,0.024384,0.048763,
25,vector0,NA,NA,32116.529297,52992270,71.813736,36.096848,0.023750,0.047496,
26,vector0,NA,NA,32040.144531,52866240,71.984947,36.182903,0.023806,0.047609,
27,vector0,NA,NA,31065.208984,51257595,74.244087,37.318451,0.024554,0.049103,
28,vector0,NA,NA,31064.863281,51257023,74.244911,37.318867,0.024554,0.049104,
29,vector0,NA,NA,30959.568359,51083289,74.497421,37.445789,0.024637,0.049271,
30,vector0,NA,NA,31044.726562,51223798,74.293068,37.343075,0.024570,0.049136,
31,vector0,NA,NA,30823.107422,50858129,74.803848,37.599815,0.024739,0.049473,
32,vector0,NA,NA,30792.019531,50806831,74.902786,37.649544,0.024771,0.049539,
33,vector0,NA,NA,30855.654297,50911828,74.748306,37.571899,0.024720,0.049437,
34,vector0,NA,NA,30951.152344,51069402,74.517677,37.455971,0.024644,0.049284,
35,vector0,NA,NA,31088.103516,51295372,74.189407,37.290970,0.024535,0.049067,
36,vector0,NA,NA,31042.724609,51220496,74.297859,37.345482,0.024571,0.049139,
37,vector0,NA,NA,31720.421875,52338698,72.710510,36.547607,0.024046,0.048089,
38,vector0,NA,NA,31646.414062,52216586,72.880547,36.633076,0.024103,0.048201,
39,vector0,NA,NA,30836.908203,50880899,74.764519,37.580048,0.024726,0.049447,
