block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_time(us),aic_cube_ratio,aic_scalar_time(us),aic_scalar_ratio,aic_mte1_time(us),aic_mte1_ratio,aic_mte2_time(us),aic_mte2_ratio,aic_mte3_time(us),aic_mte3_ratio,aic_fixpipe_time(us),aic_fixpipe_ratio,aic_icache_miss_rate,aiv_time(us),aiv_total_cycles,aiv_vec_time(us),aiv_vec_ratio,aiv_scalar_time(us),aiv_scalar_ratio,aiv_mte2_time(us),aiv_mte2_ratio,aiv_mte3_time(us),aiv_mte3_ratio,aiv_icache_miss_rate,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30852.513672,50906648,13307.859375,0.431338,17952.083984,0.581868,4184.983398,0.135645,391.531525,0.012690,0.000000,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30928.332031,51031748,13307.859375,0.430281,17952.886719,0.580467,4265.279297,0.137908,399.301208,0.012911,0.000000,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30938.664062,51048795,13307.859375,0.430137,17953.285156,0.580286,4275.063477,0.138179,402.769104,0.013018,0.000000,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30910.001953,51001505,13307.859375,0.430536,17952.787109,0.580808,4247.296875,0.137408,388.187286,0.012559,0.000000,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30892.201172,50972132,13307.859375,0.430784,17953.478516,0.581165,4216.796387,0.136500,390.362427,0.012636,0.000000,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32185.851562,53106657,13307.859375,0.413469,17954.509766,0.557839,5534.193848,0.171945,387.909088,0.012052,0.000000,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32268.513672,53243049,13307.859375,0.412410,17954.199219,0.556400,5612.394043,0.173928,391.264252,0.012125,0.000000,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31137.810547,51377388,13303.699219,0.427252,17950.171875,0.576475,4498.241211,0.144462,399.059387,0.012816,0.000000,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31120.486328,51348803,13307.859375,0.427624,17951.845703,0.576850,4474.422852,0.143777,403.758789,0.012974,0.000000,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30862.544922,50923202,13307.859375,0.431198,17955.128906,0.581777,4193.922852,0.135890,393.223633,0.012741,0.000000,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30879.013672,50950371,13307.859375,0.430968,17952.570312,0.581384,4214.018066,0.136469,396.389099,0.012837,0.000000,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30928.126953,51031409,13307.859375,0.430283,17952.882812,0.580471,4266.942871,0.137963,381.923035,0.012349,0.000000,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30974.525391,51107970,13307.859375,0.429639,17952.480469,0.579589,4313.382812,0.139256,384.427887,0.012411,0.000000,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31000.388672,51150639,13307.859375,0.429280,17953.410156,0.579135,4338.028320,0.139935,375.985443,0.012128,0.000000,
