block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_wait_ratio,aic_mte1_wait_ratio,aic_mte2_wait_ratio,aic_mte3_wait_ratio,aiv_time(us),aiv_total_cycles,aiv_vec_total_cflt_ratio,aiv_vec_bankgroup_cflt_ratio,aiv_vec_bank_cflt_ratio,aiv_vec_resc_cflt_ratio,aiv_vec_mte_cflt_ratio,aiv_vec_wait_ratio,aiv_mte1_wait_ratio,aiv_mte2_wait_ratio,aiv_mte3_wait_ratio,
0,vector0,NA,NA,NA,NA,NA,NA,30852.513672,50906648,0.061332,0.054294,0.007038,0.000000,0.000000,0.192667,0.000000,0.000000,0.019355,
1,vector0,NA,NA,NA,NA,NA,NA,30928.332031,51031748,0.061182,0.054161,0.007021,0.000000,0.000000,0.194602,0.000000,0.000000,0.019307,
2,vector0,NA,NA,NA,NA,NA,NA,30938.664062,51048795,0.061162,0.054143,0.007019,0.000000,0.000000,0.194991,0.000000,0.000000,0.019301,
3,vector0,NA,NA,NA,NA,NA,NA,30910.001953,51001505,0.061218,0.054193,0.007025,0.000000,0.000000,0.194008,0.000000,0.000000,0.019319,
4,vector0,NA,NA,NA,NA,NA,NA,30892.201172,50972132,0.061254,0.054224,0.007029,0.000000,0.000000,0.193206,0.000000,0.000000,0.019330,
5,vector0,NA,NA,NA,NA,NA,NA,32185.851562,53106657,0.058792,0.052045,0.006747,0.000000,0.000000,0.227035,0.000000,0.000000,0.018553,
6,vector0,NA,NA,NA,NA,NA,NA,32268.513672,53243049,0.058641,0.051912,0.006729,0.000000,0.000000,0.228668,0.000000,0.000000,0.018506,
7,vector0,NA,NA,NA,NA,NA,NA,31137.810547,51377388,0.060751,0.053780,0.006971,0.000000,0.000000,0.200793,0.000000,0.000000,0.019172,
8,vector0,NA,NA,NA,NA,NA,NA,31120.486328,51348803,0.060804,0.053827,0.006978,0.000000,0.000000,0.200241,0.000000,0.000000,0.019188,
9,vector0,NA,NA,NA,NA,NA,NA,30862.544922,50923202,0.061312,0.054277,0.007036,0.000000,0.000000,0.192839,0.000000,0.000000,0.019349,
10,vector0,NA,NA,NA,NA,NA,NA,30879.013672,50950371,0.061280,0.054248,0.007032,0.000000,0.000000,0.193450,0.000000,0.000000,0.019338,
11,vector0,NA,NA,NA,NA,NA,NA,30928.126953,51031409,0.061182,0.054161,0.007021,0.000000,0.000000,0.194966,0.000000,0.000000,0.019308,
12,vector0,NA,NA,NA,NA,NA,NA,30974.525391,51107970,0.061091,0.054080,0.007010,0.000000,0.000000,0.196077,0.000000,0.000000,0.019279,
13,vector0,NA,NA,NA,NA,NA,NA,31000.388672,51150639,0.061040,0.054035,0.007005,0.000000,0.000000,0.197287,0.000000,0.000000,0.019263,
14,vector0,NA,NA,NA,NA,NA,NA,31001.416016,51152334,0.061038,0.054033,0.007004,0.000000,0.000000,0.197264,0.000000,0.000000,0.019262,
15,vector0,NA,NA,NA,NA,NA,NA,31060.042969,51249074,0.060904,0.053915,0.006989,0.000000,0.000000,0.198884,0.000000,0.000000,0.019220,
16,vector0,NA,NA,NA,NA,NA,NA,31023.796875,51189266,0.060994,0.053994,0.006999,0.000000,0.000000,0.197464,0.000000,0.000000,0.019248,
17,vector0,NA,NA,NA,NA,NA,NA,31933.386719,52690089,0.059256,0.052456,0.006800,0.000000,0.000000,0.219944,0.000000,0.000000,0.018700,
