block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_ratio,aic_cube_fp16_ratio,aic_cube_int8_ratio,aic_cube_fops,aic_cube_total_instr_number,aic_cube_fp_instr_number,aic_cube_int_instr_number,aiv_time(us),aiv_total_cycles,aiv_vec_ratio,aiv_vec_fp32_ratio,aiv_vec_fp16_ratio,aiv_vec_int32_ratio,aiv_vec_int16_ratio,aiv_vec_misc_ratio,aiv_vec_fops,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,30965.503906,51093081,0.429764,0.142253,0.000000,0.000000,0.000000,0.016029,491366528,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,30880.150391,50952249,0.430952,0.142646,0.000000,0.000000,0.000000,0.016073,491366528,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,30886.927734,50963430,0.430857,0.142615,0.000000,0.000000,0.000000,0.016069,491366528,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,30864.330078,50926143,0.431105,0.142697,0.000000,0.000000,0.000000,0.016079,491289728,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,30880.591797,50952977,0.430946,0.142644,0.000000,0.000000,0.000000,0.016073,491366528,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,31151.941406,51400702,0.427192,0.141401,0.000000,0.000000,0.000000,0.015933,491366528,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,31169.724609,51430043,0.426948,0.141321,0.000000,0.000000,0.000000,0.015924,491366528,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,31228.199219,51526526,0.426082,0.141034,0.000000,0.000000,0.000000,0.015891,491289728,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,31239.078125,51544480,0.426000,0.141007,0.000000,0.000000,0.000000,0.015888,491366528,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,30955.365234,51076351,0.429905,0.142299,0.000000,0.000000,0.000000,0.016034,491366528,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,30957.316406,51079571,0.429878,0.142290,0.000000,0.000000,0.000000,0.016033,491366528,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,30920.841797,51019388,0.430318,0.142436,0.000000,0.000000,0.000000,0.016049,491289728,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,30925.890625,51027720,0.430315,0.142435,0.000000,0.000000,0.000000,0.016049,491366528,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,30930.855469,51035911,0.430245,0.142412,0.000000,0.000000,0.000000,0.016047,491366528,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,30945.972656,51060856,0.430035,0.142342,0.000000,0.000000,0.000000,0.016039,491366528,
15,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,31209.177734,51495146,0.426342,0.141120,0.000000,0.000000,0.000000,0.015901,491289728,
16,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,31214.320312,51503627,0.426338,0.141119,0.000000,0.000000,0.000000,0.015901,491366528,
17,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,31146.453125,51391646,0.427267,0.141426,0.000000,0.000000,0.000000,0.015935,491366528,
18,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,31149.193359,51396168,0.427230,0.141414,0.000000,0.000000,0.000000,0.015934,491366528,
19,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,30845.148438,50894494,0.431373,0.142785,0.000000,0.000000,0.000000,0.016089,491289728,
20,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,30856.203125,50912736,0.431286,0.142757,0.000000,0.000000,0.000000,0.016085,491366528,
21,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,30871.419922,50937843,0.431074,0.142686,0.000000,0.000000,0.000000,0.016077,491366528,
22,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,30877.048828,50947133,0.430995,0.142660,0.000000,0.000000,0.000000,0.016074,491366528,
23,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,30950.857422,51068916,0.429900,0.142298,0.000000,0.000000,0.000000,0.016034,491289728,
