block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_write_cache_hit,aic_write_cache_miss_allocate,aic_r0_read_cache_hit,aic_r0_read_cache_miss_allocate,aic_r1_read_cache_hit,aic_r1_read_cache_miss_allocate,aic_write_hit_rate(%),aic_read_hit_rate(%),aic_total_hit_rate(%),aiv_time(us),aiv_total_cycles,aiv_write_cache_hit,aiv_write_cache_miss_allocate,aiv_r0_read_cache_hit,aiv_r0_read_cache_miss_allocate,aiv_r1_read_cache_hit,aiv_r1_read_cache_miss_allocate,aiv_write_hit_rate(%),aiv_read_hit_rate(%),aiv_total_hit_rate(%),
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30965.503906,51093081,6015,399,2398549,7070,2398359,7061,93.779236,99.706284,99.698387,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30880.150391,50952249,6014,400,2399705,5646,2399990,5617,93.763641,99.765892,99.757896,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30886.927734,50963430,6014,400,2403689,1950,2403429,1955,93.763641,99.918831,99.910637,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30864.330078,50926143,6013,400,2403877,837,2404262,835,93.762672,99.965233,99.956978,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30880.591797,50952977,6014,400,2404424,1327,2404086,1282,93.763641,99.945770,99.937546,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31151.941406,51400702,6014,400,2400222,5352,2399839,5352,93.763641,99.777504,99.769485,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31169.724609,51430043,6014,400,2393555,11802,2393937,11803,93.763641,99.509361,99.501709,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31228.199219,51526526,6014,399,2403954,460,2405324,468,93.778259,99.980713,99.972450,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31239.078125,51544480,6014,400,2405775,465,2404399,463,93.763641,99.980713,99.972435,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30955.365234,51076351,6014,400,2403584,2049,2403334,2045,93.763641,99.914902,99.906708,
