block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_l1_read_bw(GB/s),aic_l1_write_bw(GB/s),aic_main_mem_read_bw(GB/s),aic_main_mem_write_bw(GB/s),aic_mte1_instructions,aic_mte1_ratio,aic_mte2_instructions,aic_mte2_ratio,aic_mte3_instructions,aic_mte3_ratio,aiv_time(us),aiv_total_cycles,aiv_ub_to_gm_bw(GB/s),aiv_gm_to_ub_bw(GB/s),aiv_main_mem_read_bw(GB/s),aiv_main_mem_write_bw(GB/s),aiv_mte2_instructions,aiv_mte2_ratio,aiv_mte3_instructions,aiv_mte3_ratio,read_main_memory_datas(KB),write_main_memory_datas(KB),GM_to_L1_datas(KB),GM_to_L1_bw_usage_rate(%),L1_to_GM_datas(KB)(estimate),L1_to_GM_bw_usage_rate(%)(estimate),L0C_to_L1_datas(KB),L0C_to_L1_bw_usage_rate(%),L0C_to_GM_datas(KB),L0C_to_GM_bw_usage_rate(%),GM_to_UB_datas(KB),GM_to_UB_bw_usage_rate(%),UB_to_GM_datas(KB),UB_to_GM_bw_usage_rate(%),
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30965.503906,51093081,0.024631,18.521202,18.521273,0.024692,12834,0.139857,6399,0.024826,601379.875000,801.750000,NA,NA,NA,NA,NA,NA,NA,NA,601377.625000,9.498053,799.750000,0.013995,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30880.150391,50952249,0.024699,18.572084,18.572153,0.024761,12836,0.137076,6399,0.024898,601369.750000,801.750000,NA,NA,NA,NA,NA,NA,NA,NA,601367.500000,9.524146,799.750000,0.014033,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30886.927734,50963430,0.024693,18.568260,18.568329,0.024755,12835,0.137169,6399,0.025110,601377.875000,801.750000,NA,NA,NA,NA,NA,NA,NA,NA,601375.625000,9.522185,799.750000,0.014030,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30864.330078,50926143,0.024708,18.577173,18.577242,0.024769,12833,0.136393,6398,0.025776,601226.375000,801.625000,NA,NA,NA,NA,NA,NA,NA,NA,601224.125000,9.526755,799.625000,0.014038,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30880.591797,50952977,0.024698,18.572439,18.572508,0.024760,12836,0.136785,6399,0.025933,601389.875000,801.750000,NA,NA,NA,NA,NA,NA,NA,NA,601387.625000,9.524327,799.750000,0.014033,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31151.941406,51400702,0.024483,18.409307,18.409378,0.024544,12836,0.144342,6399,0.025934,601345.625000,801.750000,NA,NA,NA,NA,NA,NA,NA,NA,601343.375000,9.440671,799.750000,0.013911,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31169.724609,51430043,0.024469,18.400076,18.400145,0.024530,12838,0.145037,6399,0.026155,601387.125000,801.750000,NA,NA,NA,NA,NA,NA,NA,NA,601384.875000,9.435936,799.750000,0.013903,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31228.199219,51526526,0.024420,18.362221,18.362289,0.024481,12836,0.146750,6398,0.025010,601275.750000,801.625000,NA,NA,NA,NA,NA,NA,NA,NA,601273.500000,9.416523,799.625000,0.013875,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31239.078125,51544480,0.024415,18.359245,18.359314,0.024476,12839,0.146756,6399,0.025302,601387.750000,801.750000,NA,NA,NA,NA,NA,NA,NA,NA,601385.500000,9.414998,799.750000,0.013872,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30955.365234,51076351,0.024639,18.527166,18.527235,0.024700,12839,0.139077,6399,0.025237,601376.500000,801.750000,NA,NA,NA,NA,NA,NA,NA,NA,601374.250000,9.501111,799.750000,0.013999,
