block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_l0a_read_bw(GB/s),aic_l0a_write_bw(GB/s),aic_l0b_read_bw(GB/s),aic_l0b_write_bw(GB/s),aic_l0c_read_bw_cube(GB/s),aic_l0c_write_bw_cube(GB/s),aiv_time(us),aiv_total_cycles,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,30965.503906,51093081,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,30880.150391,50952249,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,30886.927734,50963430,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,30864.330078,50926143,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,30880.591797,50952977,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,31151.941406,51400702,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,31169.724609,51430043,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,31228.199219,51526526,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,31239.078125,51544480,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,30955.365234,51076351,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,30957.316406,51079571,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,30920.841797,51019388,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,30925.890625,51027720,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,30930.855469,51035911,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,30945.972656,51060856,
15,vector0,NA,NA,NA,NA,NA,NA,NA,NA,31209.177734,51495146,
16,vector0,NA,NA,NA,NA,NA,NA,NA,NA,31214.320312,51503627,
17,vector0,NA,NA,NA,NA,NA,NA,NA,NA,31146.453125,51391646,
18,vector0,NA,NA,NA,NA,NA,NA,NA,NA,31149.193359,51396168,
19,vector0,NA,NA,NA,NA,NA,NA,NA,NA,30845.148438,50894494,
20,vector0,NA,NA,NA,NA,NA,NA,NA,NA,30856.203125,50912736,
21,vector0,NA,NA,NA,NA,NA,NA,NA,NA,30871.419922,50937843,
22,vector0,NA,NA,NA,NA,NA,NA,NA,NA,30877.048828,50947133,
23,vector0,NA,NA,NA,NA,NA,NA,NA,NA,30950.857422,51068916,
24,vector0,NA,NA,NA,NA,NA,NA,NA,NA,30960.349609,51084575,
25,vector0,NA,NA,NA,NA,NA,NA,NA,NA,31071.306641,51267655,
26,vector0,NA,NA,NA,NA,NA,NA,NA,NA,31080.775391,51283279,
27,vector0,NA,NA,NA,NA,NA,NA,NA,NA,31232.328125,51533341,
28,vector0,NA,NA,NA,NA,NA,NA,NA,NA,31247.175781,51557840,
29,vector0,NA,NA,NA,NA,NA,NA,NA,NA,31303.375000,51650569,
30,vector0,NA,NA,NA,NA,NA,NA,NA,NA,31321.589844,51680622,
31,vector0,NA,NA,NA,NA,NA,NA,NA,NA,30964.976562,51092211,
32,vector0,NA,NA,NA,NA,NA,NA,NA,NA,30971.490234,51102959,
33,vector0,NA,NA,NA,NA,NA,NA,NA,NA,31302.359375,51648892,
34,vector0,NA,NA,NA,NA,NA,NA,NA,NA,31309.294922,51660336,
35,vector0,NA,NA,NA,NA,NA,NA,NA,NA,31236.392578,51540047,
36,vector0,NA,NA,NA,NA,NA,NA,NA,NA,31254.904297,51570593,
37,vector0,NA,NA,NA,NA,NA,NA,NA,NA,31072.533203,51269679,
38,vector0,NA,NA,NA,NA,NA,NA,NA,NA,31090.361328,51299096,
39,vector0,NA,NA,NA,NA,NA,NA,NA,NA,30965.343750,51092816,
