block_id,sub_block_id,aic_time(us),aic_total_cycles,aiv_time(us),aiv_total_cycles,aiv_ub_read_bw_vector(GB/s),aiv_ub_write_bw_vector(GB/s),aiv_ub_read_bw_scalar(GB/s),aiv_ub_write_bw_scalar(GB/s),
0,vector0,NA,NA,30965.503906,51093081,76.453590,37.438614,0.024633,0.049261,
1,vector0,NA,NA,30880.150391,50952249,76.664909,37.542095,0.024701,0.049397,
2,vector0,NA,NA,30886.927734,50963430,76.648087,37.533855,0.024695,0.049387,
3,vector0,NA,NA,30864.330078,50926143,76.692223,37.555470,0.024709,0.049415,
4,vector0,NA,NA,30880.591797,50952977,76.663818,37.541557,0.024700,0.049397,
5,vector0,NA,NA,31151.941406,51400702,75.996033,37.214550,0.024485,0.048967,
6,vector0,NA,NA,31169.724609,51430043,75.952675,37.193317,0.024471,0.048939,
7,vector0,NA,NA,31228.199219,51526526,75.798607,37.117874,0.024422,0.048839,
8,vector0,NA,NA,31239.078125,51544480,75.784058,37.110744,0.024417,0.048830,
9,vector0,NA,NA,30955.365234,51076351,76.478630,37.450874,0.024641,0.049277,
10,vector0,NA,NA,30957.316406,51079571,76.473816,37.448513,0.024639,0.049274,
11,vector0,NA,NA,30920.841797,51019388,76.552055,37.486832,0.024664,0.049325,
12,vector0,NA,NA,30925.890625,51027720,76.551521,37.486568,0.024664,0.049324,
13,vector0,NA,NA,30930.855469,51035911,76.539238,37.480553,0.024660,0.049317,
14,vector0,NA,NA,30945.972656,51060856,76.501846,37.462242,0.024648,0.049292,
15,vector0,NA,NA,31209.177734,51495146,75.844803,37.140495,0.024436,0.048869,
16,vector0,NA,NA,31214.320312,51503627,75.844162,37.140182,0.024436,0.048869,
17,vector0,NA,NA,31146.453125,51391646,76.009422,37.221107,0.024489,0.048975,
18,vector0,NA,NA,31149.193359,51396168,76.002739,37.217834,0.024487,0.048971,
19,vector0,NA,NA,30845.148438,50894494,76.739914,37.578823,0.024725,0.049446,
20,vector0,NA,NA,30856.203125,50912736,76.724411,37.571228,0.024720,0.049436,
21,vector0,NA,NA,30871.419922,50937843,76.686592,37.552711,0.024708,0.049411,
22,vector0,NA,NA,30877.048828,50947133,76.672615,37.545864,0.024703,0.049402,
23,vector0,NA,NA,30950.857422,51068916,76.477814,37.450478,0.024640,0.049277,
24,vector0,NA,NA,30960.349609,51084575,76.466316,37.444847,0.024637,0.049270,
25,vector0,NA,NA,31071.306641,51267655,76.193253,37.311127,0.024549,0.049094,
26,vector0,NA,NA,31080.775391,51283279,76.170044,37.299763,0.024541,0.049079,
27,vector0,NA,NA,31232.328125,51533341,75.788589,37.112968,0.024418,0.048833,
28,vector0,NA,NA,31247.175781,51557840,75.764412,37.101128,0.024411,0.048817,
29,vector0,NA,NA,31303.375000,51650569,75.628395,37.034519,0.024367,0.048730,
30,vector0,NA,NA,31321.589844,51680622,75.584412,37.012985,0.024353,0.048701,
31,vector0,NA,NA,30964.976562,51092211,76.442947,37.433399,0.024629,0.049254,
32,vector0,NA,NA,30971.490234,51102959,76.438812,37.431377,0.024628,0.049252,
33,vector0,NA,NA,31302.359375,51648892,75.630852,37.035721,0.024368,0.048731,
34,vector0,NA,NA,31309.294922,51660336,75.614098,37.027519,0.024362,0.048720,
35,vector0,NA,NA,31236.392578,51540047,75.778725,37.108139,0.024415,0.048827,
36,vector0,NA,NA,31254.904297,51570593,75.745682,37.091953,0.024405,0.048805,
37,vector0,NA,NA,31072.533203,51269679,76.190247,37.309654,0.024548,0.049092,
38,vector0,NA,NA,31090.361328,51299096,76.146561,37.288261,0.024534,0.049064,
39,vector0,NA,NA,30965.343750,51092816,76.436066,37.430035,0.024627,0.049250,
